Search Term,you are what you eat
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,2
2020-02-01,2
2020-02-08,2
2020-02-15,2
2020-02-22,1
2020-02-29,2
2020-03-07,1
2020-03-14,1
2020-03-21,1
2020-03-28,1
2020-04-04,2
2020-04-11,1
2020-04-18,2
2020-04-25,2
2020-05-02,2
2020-05-09,2
2020-05-16,1
2020-05-23,1
2020-05-30,1
2020-06-06,1
2020-06-13,2
2020-06-20,1
2020-06-27,1
2020-07-04,1
2020-07-11,1
2020-07-18,1
2020-07-25,1
2020-08-01,1
2020-08-08,1
2020-08-15,2
2020-08-22,1
2020-08-29,1
2020-09-05,2
2020-09-12,2
2020-09-19,1
2020-09-26,2
2020-10-03,2
2020-10-10,1
2020-10-17,1
2020-10-24,2
2020-10-31,1
2020-11-07,1
2020-11-14,1
2020-11-21,1
2020-11-28,2
2020-12-05,1
2020-12-12,1
2020-12-19,0
2020-12-26,1
2021-01-02,1
2021-01-09,2
2021-01-16,2
2021-01-23,2
2021-01-30,2
2021-02-06,1
2021-02-13,0
2021-02-20,2
2021-02-27,1
2021-03-06,1
2021-03-13,1
2021-03-20,1
2021-03-27,1
2021-04-03,1
2021-04-10,1
2021-04-17,1
2021-04-24,1
2021-05-01,1
2021-05-08,1
2021-05-15,0
2021-05-22,1
2021-05-29,2
2021-06-05,1
2021-06-12,1
2021-06-19,1
2021-06-26,1
2021-07-03,1
2021-07-10,1
2021-07-17,0
2021-07-24,0
2021-07-31,0
2021-08-07,1
2021-08-14,1
2021-08-21,0
2021-08-28,1
2021-09-04,1
2021-09-11,2
2021-09-18,1
2021-09-25,2
2021-10-02,1
2021-10-09,1
2021-10-16,1
2021-10-23,1
2021-10-30,1
2021-11-06,1
2021-11-13,1
2021-11-20,0
2021-11-27,1
2021-12-04,1
2021-12-11,1
2021-12-18,0
2021-12-25,1
2022-01-01,0
2022-01-08,1
2022-01-15,1
2022-01-22,1
2022-01-29,1
2022-02-05,2
2022-02-12,1
2022-02-19,2
2022-02-26,2
2022-03-05,1
2022-03-12,1
2022-03-19,1
2022-03-26,1
2022-04-02,1
2022-04-09,1
2022-04-16,1
2022-04-23,1
2022-04-30,1
2022-05-07,1
2022-05-14,1
2022-05-21,1
2022-05-28,1
2022-06-04,1
2022-06-11,1
2022-06-18,1
2022-06-25,1
2022-07-02,1
2022-07-09,0
2022-07-16,1
2022-07-23,1
2022-07-30,1
2022-08-06,1
2022-08-13,1
2022-08-20,2
2022-08-27,1
2022-09-03,2
2022-09-10,2
2022-09-17,1
2022-09-24,1
2022-10-01,2
2022-10-08,2
2022-10-15,1
2022-10-22,1
2022-10-29,2
2022-11-05,1
2022-11-12,1
2022-11-19,0
2022-11-26,1
2022-12-03,1
2022-12-10,1
2022-12-17,1
2022-12-24,0
2022-12-31,1
2023-01-07,1
2023-01-14,1
2023-01-21,2
2023-01-28,1
2023-02-04,1
2023-02-11,1
2023-02-18,1
2023-02-25,1
2023-03-04,1
2023-03-11,1
2023-03-18,1
2023-03-25,1
2023-04-01,1
2023-04-08,1
2023-04-15,1
2023-04-22,1
2023-04-29,1
2023-05-06,1
2023-05-13,1
2023-05-20,1
2023-05-27,1
2023-06-03,1
2023-06-10,1
2023-06-17,1
2023-06-24,0
2023-07-01,1
2023-07-08,0
2023-07-15,1
2023-07-22,1
2023-07-29,0
2023-08-05,0
2023-08-12,1
2023-08-19,2
2023-08-26,2
2023-09-02,1
2023-09-09,1
2023-09-16,2
2023-09-23,1
2023-09-30,2
2023-10-07,1
2023-10-14,1
2023-10-21,1
2023-10-28,2
2023-11-04,1
2023-11-11,1
2023-11-18,0
2023-11-25,2
2023-12-02,1
2023-12-09,1
2023-12-16,2
2023-12-23,3
2023-12-30,100
2024-01-06,83
2024-01-13,42
2024-01-20,24
2024-01-27,20
2024-02-03,14
2024-02-10,10
2024-02-17,10
2024-02-24,7
2024-03-02,6
2024-03-09,5
2024-03-16,7
2024-03-23,5
2024-03-30,4
2024-04-06,4
2024-04-13,4
2024-04-20,4
2024-04-27,5
2024-05-04,4
2024-05-11,3
2024-05-18,2
2024-05-25,3
