Search Term,vegan diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,0
2004-01-31,0
2004-02-29,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-31,0
2004-08-31,0
2004-09-30,0
2004-10-31,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-30,0
2005-05-31,0
2005-06-30,0
2005-07-31,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-31,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-30,0
2006-05-31,0
2006-06-30,0
2006-07-31,0
2006-08-31,0
2006-09-30,0
2006-10-31,0
2006-11-30,0
2006-12-31,0
2007-01-31,10
2007-02-28,7
2007-03-31,0
2007-04-30,0
2007-05-31,0
2007-06-30,7
2007-07-31,7
2007-08-31,6
2007-09-30,12
2007-10-31,5
2007-11-30,8
2007-12-31,7
2008-01-31,5
2008-02-29,8
2008-03-31,8
2008-04-30,8
2008-05-31,8
2008-06-30,6
2008-07-31,10
2008-08-31,11
2008-09-30,8
2008-10-31,11
2008-11-30,9
2008-12-31,13
2009-01-31,9
2009-02-28,8
2009-03-31,13
2009-04-30,13
2009-05-31,16
2009-06-30,16
2009-07-31,16
2009-08-31,19
2009-09-30,15
2009-10-31,28
2009-11-30,16
2009-12-31,28
2010-01-31,26
2010-02-28,35
2010-03-31,26
2010-04-30,22
2010-05-31,24
2010-06-30,19
2010-07-31,19
2010-08-31,23
2010-09-30,20
2010-10-31,20
2010-11-30,19
2010-12-31,23
2011-01-31,31
2011-02-28,32
2011-03-31,30
2011-04-30,25
2011-05-31,23
2011-06-30,24
2011-07-31,35
2011-08-31,37
2011-09-30,30
2011-10-31,31
2011-11-30,29
2011-12-31,37
2012-01-31,35
2012-02-29,33
2012-03-31,37
2012-04-30,39
2012-05-31,47
2012-06-30,42
2012-07-31,43
2012-08-31,38
2012-09-30,35
2012-10-31,36
2012-11-30,36
2012-12-31,41
2013-01-31,40
2013-02-28,36
2013-03-31,40
2013-04-30,36
2013-05-31,34
2013-06-30,37
2013-07-31,37
2013-08-31,35
2013-09-30,34
2013-10-31,30
2013-11-30,40
2013-12-31,67
2014-01-31,68
2014-02-28,58
2014-03-31,48
2014-04-30,49
2014-05-31,43
2014-06-30,48
2014-07-31,42
2014-08-31,39
2014-09-30,37
2014-10-31,37
2014-11-30,35
2014-12-31,43
2015-01-31,50
2015-02-28,39
2015-03-31,49
2015-04-30,52
2015-05-31,61
2015-06-30,45
2015-07-31,47
2015-08-31,43
2015-09-30,41
2015-10-31,43
2015-11-30,42
2015-12-31,51
2016-01-31,55
2016-02-29,49
2016-03-31,56
2016-04-30,54
2016-05-31,52
2016-06-30,48
2016-07-31,46
2016-08-31,43
2016-09-30,38
2016-10-31,40
2016-11-30,38
2016-12-31,53
2017-01-31,49
2017-02-28,52
2017-03-31,50
2017-04-30,47
2017-05-31,57
2017-06-30,100
2017-07-31,84
2017-08-31,64
2017-09-30,59
2017-10-31,58
2017-11-30,62
2017-12-31,80
2018-01-31,62
2018-02-28,59
2018-03-31,65
2018-04-30,53
2018-05-31,52
2018-06-30,50
2018-07-31,52
2018-08-31,46
2018-09-30,43
2018-10-31,43
2018-11-30,39
2018-12-31,56
2019-01-31,49
2019-02-28,46
2019-03-31,50
2019-04-30,44
2019-05-31,49
2019-06-30,49
2019-07-31,52
2019-08-31,45
2019-09-30,67
2019-10-31,85
2019-11-30,64
2019-12-31,73
2020-01-31,55
2020-02-29,30
2020-03-31,40
2020-04-30,48
2020-05-31,45
2020-06-30,41
2020-07-31,41
2020-08-31,39
2020-09-30,33
2020-10-31,30
2020-11-30,30
2020-12-31,40
2021-01-31,34
2021-02-28,32
2021-03-31,37
2021-04-30,31
2021-05-31,30
2021-06-30,31
2021-07-31,26
2021-08-31,26
2021-09-30,23
2021-10-31,24
2021-11-30,24
2021-12-31,29
2022-01-31,26
2022-02-28,24
2022-03-31,22
2022-04-30,23
2022-05-31,23
2022-06-30,22
2022-07-31,21
2022-08-31,17
2022-09-30,18
2022-10-31,19
2022-11-30,18
2022-12-31,20
2023-01-31,20
2023-02-28,18
2023-03-31,17
2023-04-30,16
2023-05-31,16
2023-06-30,17
2023-07-31,16
2023-08-31,14
2023-09-30,13
2023-10-31,13
2023-11-30,12
2023-12-31,33
2024-01-31,17
2024-02-29,16
2024-03-31,14
2024-04-30,13
