Search Term,vegan recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,16
2004-01-31,16
2004-02-29,13
2004-03-31,15
2004-04-30,13
2004-05-31,13
2004-06-30,17
2004-07-31,15
2004-08-31,15
2004-09-30,16
2004-10-31,22
2004-11-30,20
2004-12-31,17
2005-01-31,17
2005-02-28,16
2005-03-31,14
2005-04-30,14
2005-05-31,15
2005-06-30,15
2005-07-31,17
2005-08-31,14
2005-09-30,17
2005-10-31,20
2005-11-30,20
2005-12-31,16
2006-01-31,15
2006-02-28,15
2006-03-31,15
2006-04-30,13
2006-05-31,14
2006-06-30,15
2006-07-31,17
2006-08-31,16
2006-09-30,16
2006-10-31,18
2006-11-30,20
2006-12-31,16
2007-01-31,17
2007-02-28,16
2007-03-31,15
2007-04-30,15
2007-05-31,15
2007-06-30,16
2007-07-31,15
2007-08-31,16
2007-09-30,18
2007-10-31,21
2007-11-30,22
2007-12-31,19
2008-01-31,17
2008-02-29,18
2008-03-31,16
2008-04-30,17
2008-05-31,18
2008-06-30,17
2008-07-31,18
2008-08-31,17
2008-09-30,17
2008-10-31,24
2008-11-30,25
2008-12-31,19
2009-01-31,20
2009-02-28,20
2009-03-31,21
2009-04-30,19
2009-05-31,21
2009-06-30,21
2009-07-31,24
2009-08-31,23
2009-09-30,24
2009-10-31,29
2009-11-30,29
2009-12-31,27
2010-01-31,27
2010-02-28,24
2010-03-31,24
2010-04-30,22
2010-05-31,22
2010-06-30,23
2010-07-31,25
2010-08-31,23
2010-09-30,23
2010-10-31,28
2010-11-30,28
2010-12-31,25
2011-01-31,25
2011-02-28,24
2011-03-31,27
2011-04-30,22
2011-05-31,23
2011-06-30,23
2011-07-31,25
2011-08-31,26
2011-09-30,34
2011-10-31,37
2011-11-30,37
2011-12-31,37
2012-01-31,35
2012-02-29,33
2012-03-31,34
2012-04-30,32
2012-05-31,38
2012-06-30,37
2012-07-31,36
2012-08-31,38
2012-09-30,37
2012-10-31,41
2012-11-30,42
2012-12-31,43
2013-01-31,44
2013-02-28,43
2013-03-31,38
2013-04-30,35
2013-05-31,37
2013-06-30,39
2013-07-31,38
2013-08-31,37
2013-09-30,35
2013-10-31,42
2013-11-30,43
2013-12-31,40
2014-01-31,38
2014-02-28,39
2014-03-31,36
2014-04-30,31
2014-05-31,32
2014-06-30,32
2014-07-31,33
2014-08-31,31
2014-09-30,33
2014-10-31,36
2014-11-30,36
2014-12-31,35
2015-01-31,34
2015-02-28,31
2015-03-31,29
2015-04-30,29
2015-05-31,31
2015-06-30,32
2015-07-31,33
2015-08-31,34
2015-09-30,36
2015-10-31,40
2015-11-30,43
2015-12-31,39
2016-01-31,42
2016-02-29,40
2016-03-31,38
2016-04-30,40
2016-05-31,41
2016-06-30,38
2016-07-31,35
2016-08-31,37
2016-09-30,38
2016-10-31,44
2016-11-30,45
2016-12-31,47
2017-01-31,43
2017-02-28,46
2017-03-31,44
2017-04-30,40
2017-05-31,43
2017-06-30,56
2017-07-31,59
2017-08-31,57
2017-09-30,58
2017-10-31,66
2017-11-30,69
2017-12-31,69
2018-01-31,65
2018-02-28,60
2018-03-31,54
2018-04-30,49
2018-05-31,50
2018-06-30,52
2018-07-31,54
2018-08-31,51
2018-09-30,56
2018-10-31,63
2018-11-30,69
2018-12-31,63
2019-01-31,57
2019-02-28,54
2019-03-31,51
2019-04-30,51
2019-05-31,53
2019-06-30,53
2019-07-31,55
2019-08-31,56
2019-09-30,63
2019-10-31,84
2019-11-30,84
2019-12-31,83
2020-01-31,73
2020-02-29,78
2020-03-31,100
2020-04-30,88
2020-05-31,74
2020-06-30,70
2020-07-31,68
2020-08-31,61
2020-09-30,62
2020-10-31,69
2020-11-30,72
2020-12-31,68
2021-01-31,66
2021-02-28,55
2021-03-31,55
2021-04-30,52
2021-05-31,51
2021-06-30,52
2021-07-31,52
2021-08-31,49
2021-09-30,51
2021-10-31,61
2021-11-30,66
2021-12-31,65
2022-01-31,55
2022-02-28,52
2022-03-31,52
2022-04-30,46
2022-05-31,48
2022-06-30,48
2022-07-31,44
2022-08-31,46
2022-09-30,51
2022-10-31,54
2022-11-30,64
2022-12-31,51
2023-01-31,50
2023-02-28,45
2023-03-31,45
2023-04-30,38
2023-05-31,41
2023-06-30,42
2023-07-31,40
2023-08-31,41
2023-09-30,42
2023-10-31,52
2023-11-30,59
2023-12-31,55
2024-01-31,49
2024-02-29,48
2024-03-31,42
2024-04-30,40
