Search Term,vegan recipes
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,29
2004-01-31,26
2004-02-29,23
2004-03-31,24
2004-04-30,21
2004-05-31,24
2004-06-30,23
2004-07-31,22
2004-08-31,20
2004-09-30,24
2004-10-31,30
2004-11-30,29
2004-12-31,25
2005-01-31,24
2005-02-28,25
2005-03-31,24
2005-04-30,24
2005-05-31,21
2005-06-30,22
2005-07-31,23
2005-08-31,20
2005-09-30,23
2005-10-31,28
2005-11-30,25
2005-12-31,21
2006-01-31,21
2006-02-28,20
2006-03-31,21
2006-04-30,18
2006-05-31,21
2006-06-30,22
2006-07-31,21
2006-08-31,20
2006-09-30,22
2006-10-31,22
2006-11-30,23
2006-12-31,21
2007-01-31,22
2007-02-28,24
2007-03-31,21
2007-04-30,21
2007-05-31,20
2007-06-30,20
2007-07-31,23
2007-08-31,21
2007-09-30,25
2007-10-31,26
2007-11-30,26
2007-12-31,26
2008-01-31,24
2008-02-29,24
2008-03-31,22
2008-04-30,20
2008-05-31,23
2008-06-30,21
2008-07-31,22
2008-08-31,22
2008-09-30,23
2008-10-31,27
2008-11-30,27
2008-12-31,27
2009-01-31,24
2009-02-28,24
2009-03-31,26
2009-04-30,23
2009-05-31,25
2009-06-30,25
2009-07-31,28
2009-08-31,26
2009-09-30,26
2009-10-31,36
2009-11-30,32
2009-12-31,34
2010-01-31,34
2010-02-28,33
2010-03-31,29
2010-04-30,27
2010-05-31,28
2010-06-30,26
2010-07-31,27
2010-08-31,28
2010-09-30,29
2010-10-31,32
2010-11-30,32
2010-12-31,33
2011-01-31,37
2011-02-28,33
2011-03-31,35
2011-04-30,29
2011-05-31,28
2011-06-30,29
2011-07-31,33
2011-08-31,40
2011-09-30,40
2011-10-31,46
2011-11-30,42
2011-12-31,50
2012-01-31,45
2012-02-29,44
2012-03-31,42
2012-04-30,39
2012-05-31,42
2012-06-30,43
2012-07-31,41
2012-08-31,42
2012-09-30,40
2012-10-31,43
2012-11-30,43
2012-12-31,52
2013-01-31,47
2013-02-28,49
2013-03-31,45
2013-04-30,41
2013-05-31,42
2013-06-30,43
2013-07-31,44
2013-08-31,43
2013-09-30,42
2013-10-31,45
2013-11-30,46
2013-12-31,53
2014-01-31,48
2014-02-28,48
2014-03-31,43
2014-04-30,39
2014-05-31,38
2014-06-30,41
2014-07-31,39
2014-08-31,37
2014-09-30,39
2014-10-31,43
2014-11-30,41
2014-12-31,45
2015-01-31,40
2015-02-28,39
2015-03-31,39
2015-04-30,37
2015-05-31,40
2015-06-30,39
2015-07-31,40
2015-08-31,40
2015-09-30,42
2015-10-31,48
2015-11-30,46
2015-12-31,53
2016-01-31,47
2016-02-29,50
2016-03-31,50
2016-04-30,52
2016-05-31,46
2016-06-30,44
2016-07-31,45
2016-08-31,42
2016-09-30,44
2016-10-31,49
2016-11-30,49
2016-12-31,58
2017-01-31,48
2017-02-28,51
2017-03-31,48
2017-04-30,45
2017-05-31,52
2017-06-30,86
2017-07-31,87
2017-08-31,74
2017-09-30,72
2017-10-31,73
2017-11-30,74
2017-12-31,90
2018-01-31,74
2018-02-28,74
2018-03-31,66
2018-04-30,57
2018-05-31,59
2018-06-30,60
2018-07-31,58
2018-08-31,58
2018-09-30,58
2018-10-31,65
2018-11-30,68
2018-12-31,74
2019-01-31,60
2019-02-28,58
2019-03-31,59
2019-04-30,50
2019-05-31,58
2019-06-30,54
2019-07-31,53
2019-08-31,55
2019-09-30,68
2019-10-31,100
2019-11-30,83
2019-12-31,98
2020-01-31,75
2020-02-29,65
2020-03-31,81
2020-04-30,74
2020-05-31,67
2020-06-30,67
2020-07-31,65
2020-08-31,58
2020-09-30,60
2020-10-31,58
2020-11-30,59
2020-12-31,68
2021-01-31,55
2021-02-28,49
2021-03-31,52
2021-04-30,46
2021-05-31,44
2021-06-30,46
2021-07-31,42
2021-08-31,41
2021-09-30,43
2021-10-31,46
2021-11-30,46
2021-12-31,54
2022-01-31,42
2022-02-28,42
2022-03-31,41
2022-04-30,35
2022-05-31,35
2022-06-30,37
2022-07-31,33
2022-08-31,32
2022-09-30,33
2022-10-31,37
2022-11-30,36
2022-12-31,37
2023-01-31,31
2023-02-28,31
2023-03-31,28
2023-04-30,26
2023-05-31,26
2023-06-30,28
2023-07-31,26
2023-08-31,25
2023-09-30,26
2023-10-31,28
2023-11-30,29
2023-12-31,46
2024-01-31,31
2024-02-29,30
2024-03-31,25
2024-04-30,24
