Search Term,vegetarian diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,35
2004-01-31,0
2004-02-29,0
2004-03-31,0
2004-04-30,39
2004-05-31,0
2004-06-30,0
2004-07-31,39
2004-08-31,0
2004-09-30,0
2004-10-31,0
2004-11-30,0
2004-12-31,24
2005-01-31,0
2005-02-28,21
2005-03-31,0
2005-04-30,26
2005-05-31,25
2005-06-30,22
2005-07-31,18
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,27
2005-12-31,30
2006-01-31,15
2006-02-28,13
2006-03-31,20
2006-04-30,22
2006-05-31,21
2006-06-30,0
2006-07-31,0
2006-08-31,18
2006-09-30,23
2006-10-31,19
2006-11-30,15
2006-12-31,25
2007-01-31,12
2007-02-28,19
2007-03-31,18
2007-04-30,19
2007-05-31,25
2007-06-30,15
2007-07-31,14
2007-08-31,18
2007-09-30,21
2007-10-31,17
2007-11-30,15
2007-12-31,25
2008-01-31,23
2008-02-29,21
2008-03-31,17
2008-04-30,13
2008-05-31,20
2008-06-30,25
2008-07-31,18
2008-08-31,15
2008-09-30,15
2008-10-31,18
2008-11-30,23
2008-12-31,28
2009-01-31,25
2009-02-28,26
2009-03-31,29
2009-04-30,38
2009-05-31,34
2009-06-30,38
2009-07-31,35
2009-08-31,33
2009-09-30,34
2009-10-31,41
2009-11-30,36
2009-12-31,54
2010-01-31,47
2010-02-28,55
2010-03-31,51
2010-04-30,55
2010-05-31,51
2010-06-30,44
2010-07-31,44
2010-08-31,45
2010-09-30,39
2010-10-31,42
2010-11-30,38
2010-12-31,60
2011-01-31,49
2011-02-28,51
2011-03-31,51
2011-04-30,48
2011-05-31,46
2011-06-30,51
2011-07-31,57
2011-08-31,51
2011-09-30,48
2011-10-31,49
2011-11-30,46
2011-12-31,70
2012-01-31,55
2012-02-29,53
2012-03-31,56
2012-04-30,60
2012-05-31,69
2012-06-30,71
2012-07-31,67
2012-08-31,63
2012-09-30,55
2012-10-31,50
2012-11-30,55
2012-12-31,68
2013-01-31,62
2013-02-28,61
2013-03-31,67
2013-04-30,62
2013-05-31,62
2013-06-30,67
2013-07-31,58
2013-08-31,57
2013-09-30,54
2013-10-31,51
2013-11-30,58
2013-12-31,84
2014-01-31,69
2014-02-28,72
2014-03-31,69
2014-04-30,70
2014-05-31,73
2014-06-30,69
2014-07-31,66
2014-08-31,61
2014-09-30,59
2014-10-31,58
2014-11-30,55
2014-12-31,75
2015-01-31,72
2015-02-28,75
2015-03-31,79
2015-04-30,68
2015-05-31,71
2015-06-30,74
2015-07-31,70
2015-08-31,69
2015-09-30,65
2015-10-31,64
2015-11-30,64
2015-12-31,77
2016-01-31,75
2016-02-29,71
2016-03-31,75
2016-04-30,74
2016-05-31,72
2016-06-30,75
2016-07-31,63
2016-08-31,65
2016-09-30,58
2016-10-31,65
2016-11-30,68
2016-12-31,89
2017-01-31,76
2017-02-28,80
2017-03-31,87
2017-04-30,74
2017-05-31,82
2017-06-30,92
2017-07-31,83
2017-08-31,86
2017-09-30,77
2017-10-31,76
2017-11-30,71
2017-12-31,100
2018-01-31,82
2018-02-28,85
2018-03-31,83
2018-04-30,82
2018-05-31,82
2018-06-30,83
2018-07-31,73
2018-08-31,66
2018-09-30,64
2018-10-31,64
2018-11-30,67
2018-12-31,84
2019-01-31,67
2019-02-28,74
2019-03-31,70
2019-04-30,74
2019-05-31,75
2019-06-30,74
2019-07-31,72
2019-08-31,68
2019-09-30,68
2019-10-31,89
2019-11-30,70
2019-12-31,78
2020-01-31,69
2020-02-29,47
2020-03-31,56
2020-04-30,64
2020-05-31,68
2020-06-30,69
2020-07-31,65
2020-08-31,64
2020-09-30,56
2020-10-31,52
2020-11-30,57
2020-12-31,63
2021-01-31,60
2021-02-28,58
2021-03-31,58
2021-04-30,59
2021-05-31,56
2021-06-30,57
2021-07-31,53
2021-08-31,46
2021-09-30,39
2021-10-31,36
2021-11-30,41
2021-12-31,49
2022-01-31,49
2022-02-28,48
2022-03-31,46
2022-04-30,48
2022-05-31,45
2022-06-30,46
2022-07-31,40
2022-08-31,38
2022-09-30,32
2022-10-31,31
2022-11-30,34
2022-12-31,40
2023-01-31,41
2023-02-28,43
2023-03-31,44
2023-04-30,41
2023-05-31,43
2023-06-30,44
2023-07-31,40
2023-08-31,43
2023-09-30,38
2023-10-31,33
2023-11-30,34
2023-12-31,42
2024-01-31,35
2024-02-29,36
2024-03-31,33
2024-04-30,37
