Search Term,vegetarian recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,96
2004-01-31,71
2004-02-29,76
2004-03-31,58
2004-04-30,62
2004-05-31,57
2004-06-30,63
2004-07-31,72
2004-08-31,66
2004-09-30,74
2004-10-31,89
2004-11-30,80
2004-12-31,75
2005-01-31,78
2005-02-28,66
2005-03-31,62
2005-04-30,62
2005-05-31,55
2005-06-30,64
2005-07-31,60
2005-08-31,60
2005-09-30,71
2005-10-31,85
2005-11-30,75
2005-12-31,75
2006-01-31,74
2006-02-28,64
2006-03-31,58
2006-04-30,52
2006-05-31,54
2006-06-30,53
2006-07-31,60
2006-08-31,64
2006-09-30,64
2006-10-31,69
2006-11-30,67
2006-12-31,69
2007-01-31,64
2007-02-28,54
2007-03-31,52
2007-04-30,50
2007-05-31,52
2007-06-30,49
2007-07-31,50
2007-08-31,54
2007-09-30,60
2007-10-31,65
2007-11-30,71
2007-12-31,70
2008-01-31,63
2008-02-29,59
2008-03-31,51
2008-04-30,51
2008-05-31,49
2008-06-30,52
2008-07-31,51
2008-08-31,55
2008-09-30,60
2008-10-31,69
2008-11-30,69
2008-12-31,68
2009-01-31,65
2009-02-28,60
2009-03-31,59
2009-04-30,62
2009-05-31,64
2009-06-30,60
2009-07-31,71
2009-08-31,72
2009-09-30,81
2009-10-31,92
2009-11-30,96
2009-12-31,99
2010-01-31,91
2010-02-28,73
2010-03-31,75
2010-04-30,73
2010-05-31,69
2010-06-30,70
2010-07-31,69
2010-08-31,70
2010-09-30,78
2010-10-31,91
2010-11-30,95
2010-12-31,97
2011-01-31,80
2011-02-28,77
2011-03-31,72
2011-04-30,65
2011-05-31,69
2011-06-30,71
2011-07-31,77
2011-08-31,81
2011-09-30,87
2011-10-31,93
2011-11-30,95
2011-12-31,97
2012-01-31,83
2012-02-29,78
2012-03-31,73
2012-04-30,75
2012-05-31,77
2012-06-30,79
2012-07-31,79
2012-08-31,90
2012-09-30,85
2012-10-31,87
2012-11-30,92
2012-12-31,95
2013-01-31,89
2013-02-28,85
2013-03-31,79
2013-04-30,72
2013-05-31,75
2013-06-30,75
2013-07-31,77
2013-08-31,80
2013-09-30,79
2013-10-31,89
2013-11-30,92
2013-12-31,95
2014-01-31,83
2014-02-28,79
2014-03-31,71
2014-04-30,66
2014-05-31,68
2014-06-30,69
2014-07-31,73
2014-08-31,69
2014-09-30,73
2014-10-31,81
2014-11-30,81
2014-12-31,84
2015-01-31,75
2015-02-28,70
2015-03-31,66
2015-04-30,60
2015-05-31,60
2015-06-30,63
2015-07-31,64
2015-08-31,66
2015-09-30,66
2015-10-31,81
2015-11-30,80
2015-12-31,77
2016-01-31,73
2016-02-29,65
2016-03-31,61
2016-04-30,62
2016-05-31,58
2016-06-30,60
2016-07-31,54
2016-08-31,62
2016-09-30,62
2016-10-31,66
2016-11-30,73
2016-12-31,78
2017-01-31,67
2017-02-28,62
2017-03-31,60
2017-04-30,59
2017-05-31,59
2017-06-30,66
2017-07-31,65
2017-08-31,69
2017-09-30,71
2017-10-31,76
2017-11-30,82
2017-12-31,87
2018-01-31,77
2018-02-28,68
2018-03-31,60
2018-04-30,56
2018-05-31,58
2018-06-30,60
2018-07-31,59
2018-08-31,63
2018-09-30,66
2018-10-31,71
2018-11-30,76
2018-12-31,76
2019-01-31,67
2019-02-28,65
2019-03-31,58
2019-04-30,56
2019-05-31,58
2019-06-30,58
2019-07-31,56
2019-08-31,63
2019-09-30,67
2019-10-31,84
2019-11-30,82
2019-12-31,87
2020-01-31,74
2020-02-29,74
2020-03-31,100
2020-04-30,93
2020-05-31,75
2020-06-30,72
2020-07-31,70
2020-08-31,70
2020-09-30,68
2020-10-31,71
2020-11-30,75
2020-12-31,78
2021-01-31,71
2021-02-28,56
2021-03-31,58
2021-04-30,55
2021-05-31,55
2021-06-30,54
2021-07-31,53
2021-08-31,51
2021-09-30,58
2021-10-31,62
2021-11-30,68
2021-12-31,81
2022-01-31,61
2022-02-28,54
2022-03-31,53
2022-04-30,50
2022-05-31,47
2022-06-30,51
2022-07-31,49
2022-08-31,52
2022-09-30,57
2022-10-31,62
2022-11-30,72
2022-12-31,64
2023-01-31,58
2023-02-28,52
2023-03-31,48
2023-04-30,42
2023-05-31,43
2023-06-30,47
2023-07-31,45
2023-08-31,47
2023-09-30,52
2023-10-31,58
2023-11-30,62
2023-12-31,70
2024-01-31,57
2024-02-29,49
2024-03-31,42
2024-04-30,42
