Search Term,vegetarian restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,92
2004-01-31,96
2004-02-29,69
2004-03-31,67
2004-04-30,71
2004-05-31,75
2004-06-30,83
2004-07-31,81
2004-08-31,77
2004-09-30,72
2004-10-31,73
2004-11-30,73
2004-12-31,68
2005-01-31,80
2005-02-28,75
2005-03-31,64
2005-04-30,78
2005-05-31,82
2005-06-30,85
2005-07-31,77
2005-08-31,67
2005-09-30,70
2005-10-31,73
2005-11-30,63
2005-12-31,72
2006-01-31,71
2006-02-28,74
2006-03-31,63
2006-04-30,72
2006-05-31,69
2006-06-30,75
2006-07-31,72
2006-08-31,65
2006-09-30,63
2006-10-31,60
2006-11-30,60
2006-12-31,59
2007-01-31,68
2007-02-28,59
2007-03-31,61
2007-04-30,69
2007-05-31,67
2007-06-30,74
2007-07-31,69
2007-08-31,62
2007-09-30,62
2007-10-31,63
2007-11-30,63
2007-12-31,62
2008-01-31,65
2008-02-29,62
2008-03-31,59
2008-04-30,64
2008-05-31,64
2008-06-30,64
2008-07-31,66
2008-08-31,55
2008-09-30,56
2008-10-31,49
2008-11-30,51
2008-12-31,55
2009-01-31,58
2009-02-28,54
2009-03-31,55
2009-04-30,59
2009-05-31,50
2009-06-30,59
2009-07-31,61
2009-08-31,53
2009-09-30,54
2009-10-31,51
2009-11-30,51
2009-12-31,56
2010-01-31,60
2010-02-28,57
2010-03-31,57
2010-04-30,56
2010-05-31,57
2010-06-30,64
2010-07-31,63
2010-08-31,61
2010-09-30,59
2010-10-31,51
2010-11-30,51
2010-12-31,57
2011-01-31,59
2011-02-28,55
2011-03-31,59
2011-04-30,57
2011-05-31,59
2011-06-30,60
2011-07-31,60
2011-08-31,57
2011-09-30,53
2011-10-31,53
2011-11-30,54
2011-12-31,58
2012-01-31,58
2012-02-29,53
2012-03-31,56
2012-04-30,54
2012-05-31,60
2012-06-30,61
2012-07-31,63
2012-08-31,59
2012-09-30,56
2012-10-31,50
2012-11-30,51
2012-12-31,53
2013-01-31,57
2013-02-28,59
2013-03-31,56
2013-04-30,56
2013-05-31,62
2013-06-30,58
2013-07-31,63
2013-08-31,57
2013-09-30,57
2013-10-31,61
2013-11-30,54
2013-12-31,58
2014-01-31,56
2014-02-28,59
2014-03-31,61
2014-04-30,64
2014-05-31,59
2014-06-30,62
2014-07-31,64
2014-08-31,57
2014-09-30,57
2014-10-31,60
2014-11-30,57
2014-12-31,61
2015-01-31,63
2015-02-28,64
2015-03-31,62
2015-04-30,65
2015-05-31,63
2015-06-30,65
2015-07-31,73
2015-08-31,62
2015-09-30,69
2015-10-31,60
2015-11-30,69
2015-12-31,68
2016-01-31,74
2016-02-29,69
2016-03-31,77
2016-04-30,83
2016-05-31,79
2016-06-30,80
2016-07-31,78
2016-08-31,77
2016-09-30,75
2016-10-31,69
2016-11-30,78
2016-12-31,82
2017-01-31,77
2017-02-28,77
2017-03-31,84
2017-04-30,84
2017-05-31,88
2017-06-30,99
2017-07-31,97
2017-08-31,91
2017-09-30,89
2017-10-31,81
2017-11-30,92
2017-12-31,90
2018-01-31,92
2018-02-28,90
2018-03-31,86
2018-04-30,89
2018-05-31,92
2018-06-30,92
2018-07-31,93
2018-08-31,88
2018-09-30,90
2018-10-31,80
2018-11-30,89
2018-12-31,88
2019-01-31,90
2019-02-28,90
2019-03-31,91
2019-04-30,94
2019-05-31,91
2019-06-30,100
2019-07-31,100
2019-08-31,91
2019-09-30,92
2019-10-31,90
2019-11-30,91
2019-12-31,93
2020-01-31,86
2020-02-29,42
2020-03-31,18
2020-04-30,26
2020-05-31,35
2020-06-30,49
2020-07-31,57
2020-08-31,60
2020-09-30,56
2020-10-31,42
2020-11-30,49
2020-12-31,44
2021-01-31,50
2021-02-28,56
2021-03-31,53
2021-04-30,52
2021-05-31,55
2021-06-30,69
2021-07-31,64
2021-08-31,63
2021-09-30,72
2021-10-31,66
2021-11-30,76
2021-12-31,71
2022-01-31,75
2022-02-28,74
2022-03-31,87
2022-04-30,86
2022-05-31,82
2022-06-30,91
2022-07-31,89
2022-08-31,94
2022-09-30,86
2022-10-31,77
2022-11-30,90
2022-12-31,91
2023-01-31,89
2023-02-28,80
2023-03-31,88
2023-04-30,88
2023-05-31,92
2023-06-30,98
2023-07-31,97
2023-08-31,94
2023-09-30,93
2023-10-31,81
2023-11-30,97
2023-12-31,83
2024-01-31,86
2024-02-29,84
2024-03-31,80
2024-04-30,86
