Search Term,animal welfare
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,86
2004-01-31,83
2004-02-29,100
2004-03-31,85
2004-04-30,77
2004-05-31,75
2004-06-30,82
2004-07-31,73
2004-08-31,79
2004-09-30,80
2004-10-31,83
2004-11-30,65
2004-12-31,78
2005-01-31,85
2005-02-28,80
2005-03-31,83
2005-04-30,77
2005-05-31,71
2005-06-30,68
2005-07-31,66
2005-08-31,78
2005-09-30,76
2005-10-31,84
2005-11-30,65
2005-12-31,76
2006-01-31,71
2006-02-28,74
2006-03-31,70
2006-04-30,70
2006-05-31,68
2006-06-30,65
2006-07-31,67
2006-08-31,69
2006-09-30,70
2006-10-31,70
2006-11-30,56
2006-12-31,69
2007-01-31,70
2007-02-28,68
2007-03-31,71
2007-04-30,67
2007-05-31,61
2007-06-30,60
2007-07-31,60
2007-08-31,63
2007-09-30,76
2007-10-31,65
2007-11-30,56
2007-12-31,70
2008-01-31,62
2008-02-29,62
2008-03-31,71
2008-04-30,63
2008-05-31,59
2008-06-30,57
2008-07-31,55
2008-08-31,57
2008-09-30,55
2008-10-31,58
2008-11-30,49
2008-12-31,57
2009-01-31,59
2009-02-28,58
2009-03-31,53
2009-04-30,57
2009-05-31,53
2009-06-30,48
2009-07-31,51
2009-08-31,52
2009-09-30,55
2009-10-31,59
2009-11-30,46
2009-12-31,50
2010-01-31,49
2010-02-28,53
2010-03-31,51
2010-04-30,51
2010-05-31,49
2010-06-30,45
2010-07-31,47
2010-08-31,49
2010-09-30,50
2010-10-31,52
2010-11-30,40
2010-12-31,51
2011-01-31,47
2011-02-28,52
2011-03-31,46
2011-04-30,48
2011-05-31,42
2011-06-30,41
2011-07-31,42
2011-08-31,47
2011-09-30,48
2011-10-31,49
2011-11-30,40
2011-12-31,48
2012-01-31,49
2012-02-29,49
2012-03-31,46
2012-04-30,47
2012-05-31,45
2012-06-30,42
2012-07-31,42
2012-08-31,48
2012-09-30,47
2012-10-31,45
2012-11-30,38
2012-12-31,46
2013-01-31,45
2013-02-28,44
2013-03-31,45
2013-04-30,45
2013-05-31,42
2013-06-30,39
2013-07-31,41
2013-08-31,45
2013-09-30,45
2013-10-31,44
2013-11-30,40
2013-12-31,46
2014-01-31,46
2014-02-28,46
2014-03-31,44
2014-04-30,48
2014-05-31,42
2014-06-30,42
2014-07-31,42
2014-08-31,45
2014-09-30,44
2014-10-31,46
2014-11-30,38
2014-12-31,45
2015-01-31,44
2015-02-28,45
2015-03-31,46
2015-04-30,45
2015-05-31,44
2015-06-30,40
2015-07-31,42
2015-08-31,46
2015-09-30,44
2015-10-31,44
2015-11-30,40
2015-12-31,45
2016-01-31,44
2016-02-29,46
2016-03-31,44
2016-04-30,46
2016-05-31,42
2016-06-30,40
2016-07-31,38
2016-08-31,44
2016-09-30,43
2016-10-31,37
2016-11-30,29
2016-12-31,31
2017-01-31,35
2017-02-28,34
2017-03-31,32
2017-04-30,37
2017-05-31,35
2017-06-30,30
2017-07-31,31
2017-08-31,34
2017-09-30,36
2017-10-31,38
2017-11-30,29
2017-12-31,32
2018-01-31,39
2018-02-28,55
2018-03-31,54
2018-04-30,61
2018-05-31,52
2018-06-30,48
2018-07-31,52
2018-08-31,53
2018-09-30,52
2018-10-31,52
2018-11-30,46
2018-12-31,52
2019-01-31,52
2019-02-28,46
2019-03-31,51
2019-04-30,52
2019-05-31,56
2019-06-30,52
2019-07-31,51
2019-08-31,52
2019-09-30,53
2019-10-31,47
2019-11-30,41
2019-12-31,51
2020-01-31,49
2020-02-29,42
2020-03-31,38
2020-04-30,44
2020-05-31,49
2020-06-30,48
2020-07-31,49
2020-08-31,54
2020-09-30,46
2020-10-31,42
2020-11-30,39
2020-12-31,41
2021-01-31,44
2021-02-28,44
2021-03-31,44
2021-04-30,56
2021-05-31,51
2021-06-30,44
2021-07-31,43
2021-08-31,45
2021-09-30,55
2021-10-31,57
2021-11-30,51
2021-12-31,59
2022-01-31,63
2022-02-28,60
2022-03-31,59
2022-04-30,57
2022-05-31,54
2022-06-30,48
2022-07-31,53
2022-08-31,56
2022-09-30,60
2022-10-31,58
2022-11-30,50
2022-12-31,54
2023-01-31,77
2023-02-28,61
2023-03-31,58
2023-04-30,60
2023-05-31,58
2023-06-30,55
2023-07-31,57
2023-08-31,79
2023-09-30,79
2023-10-31,61
2023-11-30,47
2023-12-31,50
2024-01-31,52
2024-02-29,51
2024-03-31,57
2024-04-30,56
