Search Term,recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,43
2004-01-31,38
2004-02-29,35
2004-03-31,38
2004-04-30,35
2004-05-31,34
2004-06-30,39
2004-07-31,37
2004-08-31,35
2004-09-30,39
2004-10-31,45
2004-11-30,55
2004-12-31,39
2005-01-31,37
2005-02-28,39
2005-03-31,35
2005-04-30,33
2005-05-31,35
2005-06-30,38
2005-07-31,37
2005-08-31,36
2005-09-30,41
2005-10-31,48
2005-11-30,58
2005-12-31,39
2006-01-31,39
2006-02-28,35
2006-03-31,35
2006-04-30,34
2006-05-31,34
2006-06-30,39
2006-07-31,37
2006-08-31,39
2006-09-30,41
2006-10-31,43
2006-11-30,55
2006-12-31,38
2007-01-31,37
2007-02-28,35
2007-03-31,34
2007-04-30,34
2007-05-31,34
2007-06-30,38
2007-07-31,37
2007-08-31,36
2007-09-30,39
2007-10-31,45
2007-11-30,55
2007-12-31,37
2008-01-31,35
2008-02-29,36
2008-03-31,31
2008-04-30,32
2008-05-31,34
2008-06-30,34
2008-07-31,36
2008-08-31,37
2008-09-30,40
2008-10-31,48
2008-11-30,56
2008-12-31,44
2009-01-31,40
2009-02-28,40
2009-03-31,40
2009-04-30,41
2009-05-31,42
2009-06-30,47
2009-07-31,50
2009-08-31,47
2009-09-30,55
2009-10-31,59
2009-11-30,69
2009-12-31,56
2010-01-31,54
2010-02-28,50
2010-03-31,49
2010-04-30,48
2010-05-31,47
2010-06-30,52
2010-07-31,52
2010-08-31,49
2010-09-30,54
2010-10-31,62
2010-11-30,70
2010-12-31,54
2011-01-31,52
2011-02-28,50
2011-03-31,52
2011-04-30,48
2011-05-31,47
2011-06-30,51
2011-07-31,53
2011-08-31,51
2011-09-30,60
2011-10-31,65
2011-11-30,73
2011-12-31,58
2012-01-31,57
2012-02-29,52
2012-03-31,54
2012-04-30,55
2012-05-31,58
2012-06-30,62
2012-07-31,59
2012-08-31,63
2012-09-30,63
2012-10-31,74
2012-11-30,81
2012-12-31,63
2013-01-31,65
2013-02-28,58
2013-03-31,56
2013-04-30,55
2013-05-31,58
2013-06-30,65
2013-07-31,61
2013-08-31,60
2013-09-30,63
2013-10-31,69
2013-11-30,80
2013-12-31,64
2014-01-31,60
2014-02-28,58
2014-03-31,54
2014-04-30,52
2014-05-31,54
2014-06-30,57
2014-07-31,58
2014-08-31,57
2014-09-30,57
2014-10-31,66
2014-11-30,73
2014-12-31,63
2015-01-31,64
2015-02-28,54
2015-03-31,52
2015-04-30,51
2015-05-31,51
2015-06-30,56
2015-07-31,53
2015-08-31,52
2015-09-30,55
2015-10-31,62
2015-11-30,66
2015-12-31,61
2016-01-31,56
2016-02-29,49
2016-03-31,47
2016-04-30,48
2016-05-31,47
2016-06-30,49
2016-07-31,46
2016-08-31,49
2016-09-30,52
2016-10-31,54
2016-11-30,66
2016-12-31,53
2017-01-31,51
2017-02-28,48
2017-03-31,46
2017-04-30,46
2017-05-31,50
2017-06-30,50
2017-07-31,48
2017-08-31,48
2017-09-30,51
2017-10-31,58
2017-11-30,67
2017-12-31,52
2018-01-31,54
2018-02-28,50
2018-03-31,46
2018-04-30,45
2018-05-31,47
2018-06-30,48
2018-07-31,48
2018-08-31,50
2018-09-30,47
2018-10-31,57
2018-11-30,63
2018-12-31,52
2019-01-31,49
2019-02-28,48
2019-03-31,44
2019-04-30,46
2019-05-31,47
2019-06-30,47
2019-07-31,48
2019-08-31,47
2019-09-30,53
2019-10-31,61
2019-11-30,66
2019-12-31,53
2020-01-31,49
2020-02-29,60
2020-03-31,100
2020-04-30,82
2020-05-31,66
2020-06-30,64
2020-07-31,61
2020-08-31,55
2020-09-30,55
2020-10-31,59
2020-11-30,71
2020-12-31,59
2021-01-31,60
2021-02-28,49
2021-03-31,51
2021-04-30,49
2021-05-31,44
2021-06-30,49
2021-07-31,50
2021-08-31,47
2021-09-30,51
2021-10-31,56
2021-11-30,67
2021-12-31,62
2022-01-31,51
2022-02-28,47
2022-03-31,48
2022-04-30,45
2022-05-31,45
2022-06-30,54
2022-07-31,48
2022-08-31,48
2022-09-30,52
2022-10-31,56
2022-11-30,63
2022-12-31,55
2023-01-31,54
2023-02-28,49
2023-03-31,50
2023-04-30,45
2023-05-31,49
2023-06-30,49
2023-07-31,46
2023-08-31,47
2023-09-30,48
2023-10-31,55
2023-11-30,70
2023-12-31,58
2024-01-31,51
2024-02-29,52
2024-03-31,47
2024-04-30,47
