Search Term,recipes
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,95
2004-01-31,84
2004-02-29,76
2004-03-31,81
2004-04-30,78
2004-05-31,72
2004-06-30,74
2004-07-31,72
2004-08-31,72
2004-09-30,82
2004-10-31,95
2004-11-30,100
2004-12-31,79
2005-01-31,77
2005-02-28,74
2005-03-31,68
2005-04-30,66
2005-05-31,65
2005-06-30,66
2005-07-31,66
2005-08-31,68
2005-09-30,78
2005-10-31,89
2005-11-30,95
2005-12-31,72
2006-01-31,69
2006-02-28,66
2006-03-31,65
2006-04-30,61
2006-05-31,63
2006-06-30,64
2006-07-31,65
2006-08-31,66
2006-09-30,77
2006-10-31,82
2006-11-30,87
2006-12-31,72
2007-01-31,69
2007-02-28,62
2007-03-31,64
2007-04-30,59
2007-05-31,59
2007-06-30,66
2007-07-31,60
2007-08-31,61
2007-09-30,69
2007-10-31,79
2007-11-30,84
2007-12-31,70
2008-01-31,63
2008-02-29,63
2008-03-31,52
2008-04-30,54
2008-05-31,51
2008-06-30,55
2008-07-31,57
2008-08-31,64
2008-09-30,69
2008-10-31,83
2008-11-30,81
2008-12-31,75
2009-01-31,65
2009-02-28,64
2009-03-31,65
2009-04-30,66
2009-05-31,66
2009-06-30,73
2009-07-31,79
2009-08-31,75
2009-09-30,85
2009-10-31,90
2009-11-30,99
2009-12-31,90
2010-01-31,84
2010-02-28,75
2010-03-31,73
2010-04-30,71
2010-05-31,69
2010-06-30,73
2010-07-31,73
2010-08-31,69
2010-09-30,76
2010-10-31,84
2010-11-30,92
2010-12-31,86
2011-01-31,75
2011-02-28,71
2011-03-31,70
2011-04-30,65
2011-05-31,69
2011-06-30,73
2011-07-31,74
2011-08-31,78
2011-09-30,79
2011-10-31,84
2011-11-30,91
2011-12-31,86
2012-01-31,77
2012-02-29,67
2012-03-31,68
2012-04-30,66
2012-05-31,73
2012-06-30,70
2012-07-31,71
2012-08-31,71
2012-09-30,78
2012-10-31,78
2012-11-30,74
2012-12-31,79
2013-01-31,70
2013-02-28,73
2013-03-31,68
2013-04-30,65
2013-05-31,70
2013-06-30,73
2013-07-31,71
2013-08-31,71
2013-09-30,72
2013-10-31,79
2013-11-30,82
2013-12-31,81
2014-01-31,70
2014-02-28,69
2014-03-31,64
2014-04-30,60
2014-05-31,60
2014-06-30,66
2014-07-31,63
2014-08-31,63
2014-09-30,65
2014-10-31,71
2014-11-30,70
2014-12-31,75
2015-01-31,67
2015-02-28,61
2015-03-31,59
2015-04-30,56
2015-05-31,55
2015-06-30,60
2015-07-31,58
2015-08-31,56
2015-09-30,63
2015-10-31,65
2015-11-30,68
2015-12-31,69
2016-01-31,61
2016-02-29,53
2016-03-31,51
2016-04-30,48
2016-05-31,51
2016-06-30,51
2016-07-31,49
2016-08-31,51
2016-09-30,52
2016-10-31,55
2016-11-30,58
2016-12-31,61
2017-01-31,52
2017-02-28,52
2017-03-31,49
2017-04-30,48
2017-05-31,49
2017-06-30,51
2017-07-31,50
2017-08-31,51
2017-09-30,52
2017-10-31,57
2017-11-30,59
2017-12-31,59
2018-01-31,54
2018-02-28,54
2018-03-31,48
2018-04-30,45
2018-05-31,45
2018-06-30,49
2018-07-31,47
2018-08-31,47
2018-09-30,48
2018-10-31,51
2018-11-30,55
2018-12-31,58
2019-01-31,47
2019-02-28,47
2019-03-31,45
2019-04-30,43
2019-05-31,44
2019-06-30,43
2019-07-31,45
2019-08-31,44
2019-09-30,47
2019-10-31,54
2019-11-30,54
2019-12-31,56
2020-01-31,48
2020-02-29,52
2020-03-31,78
2020-04-30,69
2020-05-31,57
2020-06-30,56
2020-07-31,53
2020-08-31,50
2020-09-30,49
2020-10-31,50
2020-11-30,57
2020-12-31,59
2021-01-31,53
2021-02-28,43
2021-03-31,40
2021-04-30,41
2021-05-31,39
2021-06-30,43
2021-07-31,40
2021-08-31,39
2021-09-30,43
2021-10-31,42
2021-11-30,47
2021-12-31,51
2022-01-31,40
2022-02-28,38
2022-03-31,38
2022-04-30,35
2022-05-31,35
2022-06-30,38
2022-07-31,36
2022-08-31,36
2022-09-30,39
2022-10-31,36
2022-11-30,39
2022-12-31,42
2023-01-31,37
2023-02-28,35
2023-03-31,34
2023-04-30,30
2023-05-31,31
2023-06-30,35
2023-07-31,33
2023-08-31,32
2023-09-30,33
2023-10-31,31
2023-11-30,36
2023-12-31,37
2024-01-31,33
2024-02-29,31
2024-03-31,31
2024-04-30,28
