Search Term,restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,50
2004-01-31,58
2004-02-29,47
2004-03-31,49
2004-04-30,47
2004-05-31,47
2004-06-30,50
2004-07-31,49
2004-08-31,44
2004-09-30,47
2004-10-31,48
2004-11-30,49
2004-12-31,48
2005-01-31,55
2005-02-28,48
2005-03-31,49
2005-04-30,49
2005-05-31,46
2005-06-30,49
2005-07-31,49
2005-08-31,44
2005-09-30,47
2005-10-31,47
2005-11-30,49
2005-12-31,45
2006-01-31,50
2006-02-28,47
2006-03-31,45
2006-04-30,47
2006-05-31,43
2006-06-30,48
2006-07-31,48
2006-08-31,44
2006-09-30,45
2006-10-31,46
2006-11-30,47
2006-12-31,42
2007-01-31,49
2007-02-28,43
2007-03-31,44
2007-04-30,44
2007-05-31,46
2007-06-30,47
2007-07-31,46
2007-08-31,39
2007-09-30,42
2007-10-31,41
2007-11-30,42
2007-12-31,41
2008-01-31,45
2008-02-29,39
2008-03-31,43
2008-04-30,40
2008-05-31,41
2008-06-30,41
2008-07-31,41
2008-08-31,38
2008-09-30,38
2008-10-31,36
2008-11-30,38
2008-12-31,38
2009-01-31,43
2009-02-28,36
2009-03-31,39
2009-04-30,39
2009-05-31,40
2009-06-30,43
2009-07-31,43
2009-08-31,40
2009-09-30,43
2009-10-31,41
2009-11-30,40
2009-12-31,41
2010-01-31,46
2010-02-28,44
2010-03-31,40
2010-04-30,42
2010-05-31,41
2010-06-30,48
2010-07-31,47
2010-08-31,42
2010-09-30,42
2010-10-31,41
2010-11-30,44
2010-12-31,43
2011-01-31,47
2011-02-28,44
2011-03-31,44
2011-04-30,47
2011-05-31,55
2011-06-30,63
2011-07-31,57
2011-08-31,56
2011-09-30,56
2011-10-31,53
2011-11-30,58
2011-12-31,59
2012-01-31,59
2012-02-29,59
2012-03-31,54
2012-04-30,55
2012-05-31,65
2012-06-30,71
2012-07-31,67
2012-08-31,64
2012-09-30,55
2012-10-31,55
2012-11-30,61
2012-12-31,56
2013-01-31,61
2013-02-28,61
2013-03-31,56
2013-04-30,58
2013-05-31,64
2013-06-30,63
2013-07-31,56
2013-08-31,50
2013-09-30,47
2013-10-31,50
2013-11-30,49
2013-12-31,48
2014-01-31,52
2014-02-28,51
2014-03-31,51
2014-04-30,52
2014-05-31,53
2014-06-30,55
2014-07-31,57
2014-08-31,48
2014-09-30,51
2014-10-31,48
2014-11-30,51
2014-12-31,51
2015-01-31,57
2015-02-28,49
2015-03-31,55
2015-04-30,57
2015-05-31,59
2015-06-30,67
2015-07-31,60
2015-08-31,58
2015-09-30,56
2015-10-31,54
2015-11-30,59
2015-12-31,54
2016-01-31,57
2016-02-29,58
2016-03-31,57
2016-04-30,62
2016-05-31,63
2016-06-30,70
2016-07-31,62
2016-08-31,60
2016-09-30,58
2016-10-31,58
2016-11-30,59
2016-12-31,59
2017-01-31,64
2017-02-28,64
2017-03-31,67
2017-04-30,64
2017-05-31,74
2017-06-30,84
2017-07-31,74
2017-08-31,68
2017-09-30,69
2017-10-31,65
2017-11-30,68
2017-12-31,64
2018-01-31,70
2018-02-28,72
2018-03-31,73
2018-04-30,77
2018-05-31,86
2018-06-30,100
2018-07-31,83
2018-08-31,76
2018-09-30,71
2018-10-31,70
2018-11-30,75
2018-12-31,69
2019-01-31,73
2019-02-28,77
2019-03-31,77
2019-04-30,78
2019-05-31,83
2019-06-30,89
2019-07-31,90
2019-08-31,73
2019-09-30,73
2019-10-31,75
2019-11-30,79
2019-12-31,72
2020-01-31,73
2020-02-29,51
2020-03-31,28
2020-04-30,40
2020-05-31,58
2020-06-30,63
2020-07-31,70
2020-08-31,66
2020-09-30,59
2020-10-31,48
2020-11-30,55
2020-12-31,51
2021-01-31,54
2021-02-28,58
2021-03-31,65
2021-04-30,73
2021-05-31,82
2021-06-30,93
2021-07-31,83
2021-08-31,75
2021-09-30,75
2021-10-31,70
2021-11-30,76
2021-12-31,62
2022-01-31,72
2022-02-28,74
2022-03-31,77
2022-04-30,75
2022-05-31,76
2022-06-30,83
2022-07-31,74
2022-08-31,69
2022-09-30,68
2022-10-31,57
2022-11-30,66
2022-12-31,65
2023-01-31,67
2023-02-28,65
2023-03-31,69
2023-04-30,67
2023-05-31,72
2023-06-30,79
2023-07-31,69
2023-08-31,66
2023-09-30,60
2023-10-31,57
2023-11-30,65
2023-12-31,57
2024-01-31,60
2024-02-29,60
2024-03-31,58
2024-04-30,60
