Search Term,intensive animal farming
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,56
2004-01-31,60
2004-02-29,53
2004-03-31,64
2004-04-30,55
2004-05-31,40
2004-06-30,25
2004-07-31,19
2004-08-31,39
2004-09-30,36
2004-10-31,51
2004-11-30,40
2004-12-31,38
2005-01-31,47
2005-02-28,45
2005-03-31,47
2005-04-30,47
2005-05-31,30
2005-06-30,22
2005-07-31,18
2005-08-31,35
2005-09-30,40
2005-10-31,48
2005-11-30,26
2005-12-31,36
2006-01-31,36
2006-02-28,35
2006-03-31,31
2006-04-30,34
2006-05-31,25
2006-06-30,16
2006-07-31,15
2006-08-31,26
2006-09-30,28
2006-10-31,31
2006-11-30,27
2006-12-31,27
2007-01-31,30
2007-02-28,35
2007-03-31,35
2007-04-30,33
2007-05-31,27
2007-06-30,17
2007-07-31,16
2007-08-31,28
2007-09-30,29
2007-10-31,39
2007-11-30,24
2007-12-31,26
2008-01-31,32
2008-02-29,31
2008-03-31,34
2008-04-30,28
2008-05-31,24
2008-06-30,16
2008-07-31,16
2008-08-31,21
2008-09-30,28
2008-10-31,30
2008-11-30,23
2008-12-31,23
2009-01-31,24
2009-02-28,33
2009-03-31,31
2009-04-30,31
2009-05-31,23
2009-06-30,16
2009-07-31,17
2009-08-31,22
2009-09-30,32
2009-10-31,39
2009-11-30,28
2009-12-31,27
2010-01-31,29
2010-02-28,35
2010-03-31,41
2010-04-30,34
2010-05-31,21
2010-06-30,17
2010-07-31,18
2010-08-31,26
2010-09-30,30
2010-10-31,40
2010-11-30,27
2010-12-31,30
2011-01-31,35
2011-02-28,33
2011-03-31,34
2011-04-30,33
2011-05-31,23
2011-06-30,16
2011-07-31,15
2011-08-31,23
2011-09-30,29
2011-10-31,36
2011-11-30,26
2011-12-31,28
2012-01-31,32
2012-02-29,31
2012-03-31,33
2012-04-30,30
2012-05-31,21
2012-06-30,16
2012-07-31,16
2012-08-31,21
2012-09-30,28
2012-10-31,31
2012-11-30,24
2012-12-31,25
2013-01-31,29
2013-02-28,29
2013-03-31,31
2013-04-30,28
2013-05-31,23
2013-06-30,18
2013-07-31,20
2013-08-31,25
2013-09-30,27
2013-10-31,31
2013-11-30,26
2013-12-31,27
2014-01-31,32
2014-02-28,32
2014-03-31,37
2014-04-30,34
2014-05-31,26
2014-06-30,20
2014-07-31,20
2014-08-31,24
2014-09-30,29
2014-10-31,34
2014-11-30,28
2014-12-31,29
2015-01-31,31
2015-02-28,37
2015-03-31,35
2015-04-30,31
2015-05-31,35
2015-06-30,26
2015-07-31,22
2015-08-31,29
2015-09-30,35
2015-10-31,36
2015-11-30,35
2015-12-31,34
2016-01-31,34
2016-02-29,36
2016-03-31,38
2016-04-30,38
2016-05-31,28
2016-06-30,19
2016-07-31,17
2016-08-31,25
2016-09-30,29
2016-10-31,43
2016-11-30,33
2016-12-31,33
2017-01-31,34
2017-02-28,38
2017-03-31,38
2017-04-30,43
2017-05-31,34
2017-06-30,31
2017-07-31,31
2017-08-31,32
2017-09-30,36
2017-10-31,40
2017-11-30,35
2017-12-31,34
2018-01-31,41
2018-02-28,40
2018-03-31,42
2018-04-30,40
2018-05-31,33
2018-06-30,28
2018-07-31,30
2018-08-31,33
2018-09-30,37
2018-10-31,41
2018-11-30,33
2018-12-31,35
2019-01-31,37
2019-02-28,36
2019-03-31,34
2019-04-30,37
2019-05-31,30
2019-06-30,26
2019-07-31,30
2019-08-31,34
2019-09-30,34
2019-10-31,42
2019-11-30,31
2019-12-31,36
2020-01-31,37
2020-02-29,77
2020-03-31,95
2020-04-30,79
2020-05-31,60
2020-06-30,44
2020-07-31,34
2020-08-31,36
2020-09-30,35
2020-10-31,44
2020-11-30,35
2020-12-31,100
2021-01-31,40
2021-02-28,38
2021-03-31,35
2021-04-30,30
2021-05-31,30
2021-06-30,25
2021-07-31,27
2021-08-31,25
2021-09-30,27
2021-10-31,30
2021-11-30,27
2021-12-31,34
2022-01-31,34
2022-02-28,40
2022-03-31,36
2022-04-30,36
2022-05-31,31
2022-06-30,23
2022-07-31,27
2022-08-31,31
2022-09-30,25
2022-10-31,26
2022-11-30,23
2022-12-31,26
2023-01-31,28
2023-02-28,32
2023-03-31,26
2023-04-30,31
2023-05-31,25
2023-06-30,24
2023-07-31,22
2023-08-31,24
2023-09-30,27
2023-10-31,29
2023-11-30,20
2023-12-31,24
2024-01-31,26
2024-02-29,27
2024-03-31,28
2024-04-30,31
