Search Term,sustainability
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,51
2004-01-31,58
2004-02-29,58
2004-03-31,63
2004-04-30,68
2004-05-31,56
2004-06-30,41
2004-07-31,44
2004-08-31,56
2004-09-30,60
2004-10-31,65
2004-11-30,50
2004-12-31,48
2005-01-31,53
2005-02-28,57
2005-03-31,59
2005-04-30,59
2005-05-31,54
2005-06-30,39
2005-07-31,43
2005-08-31,51
2005-09-30,56
2005-10-31,58
2005-11-30,43
2005-12-31,44
2006-01-31,49
2006-02-28,52
2006-03-31,49
2006-04-30,56
2006-05-31,54
2006-06-30,35
2006-07-31,38
2006-08-31,45
2006-09-30,53
2006-10-31,53
2006-11-30,38
2006-12-31,41
2007-01-31,48
2007-02-28,53
2007-03-31,51
2007-04-30,56
2007-05-31,50
2007-06-30,41
2007-07-31,43
2007-08-31,52
2007-09-30,59
2007-10-31,57
2007-11-30,41
2007-12-31,48
2008-01-31,51
2008-02-29,52
2008-03-31,60
2008-04-30,56
2008-05-31,52
2008-06-30,40
2008-07-31,45
2008-08-31,55
2008-09-30,58
2008-10-31,57
2008-11-30,41
2008-12-31,43
2009-01-31,48
2009-02-28,59
2009-03-31,54
2009-04-30,56
2009-05-31,50
2009-06-30,37
2009-07-31,45
2009-08-31,57
2009-09-30,58
2009-10-31,60
2009-11-30,43
2009-12-31,45
2010-01-31,50
2010-02-28,58
2010-03-31,60
2010-04-30,59
2010-05-31,51
2010-06-30,36
2010-07-31,41
2010-08-31,55
2010-09-30,54
2010-10-31,57
2010-11-30,38
2010-12-31,42
2011-01-31,47
2011-02-28,52
2011-03-31,49
2011-04-30,54
2011-05-31,48
2011-06-30,35
2011-07-31,42
2011-08-31,53
2011-09-30,54
2011-10-31,56
2011-11-30,37
2011-12-31,41
2012-01-31,46
2012-02-29,51
2012-03-31,47
2012-04-30,54
2012-05-31,50
2012-06-30,35
2012-07-31,41
2012-08-31,52
2012-09-30,56
2012-10-31,52
2012-11-30,33
2012-12-31,37
2013-01-31,41
2013-02-28,43
2013-03-31,48
2013-04-30,46
2013-05-31,41
2013-06-30,30
2013-07-31,36
2013-08-31,46
2013-09-30,49
2013-10-31,49
2013-11-30,32
2013-12-31,37
2014-01-31,41
2014-02-28,43
2014-03-31,43
2014-04-30,46
2014-05-31,39
2014-06-30,30
2014-07-31,35
2014-08-31,48
2014-09-30,48
2014-10-31,52
2014-11-30,32
2014-12-31,35
2015-01-31,41
2015-02-28,44
2015-03-31,44
2015-04-30,44
2015-05-31,39
2015-06-30,29
2015-07-31,35
2015-08-31,47
2015-09-30,46
2015-10-31,46
2015-11-30,33
2015-12-31,35
2016-01-31,43
2016-02-29,44
2016-03-31,47
2016-04-30,50
2016-05-31,40
2016-06-30,29
2016-07-31,34
2016-08-31,45
2016-09-30,48
2016-10-31,45
2016-11-30,31
2016-12-31,37
2017-01-31,45
2017-02-28,50
2017-03-31,46
2017-04-30,51
2017-05-31,42
2017-06-30,31
2017-07-31,39
2017-08-31,46
2017-09-30,48
2017-10-31,50
2017-11-30,33
2017-12-31,37
2018-01-31,46
2018-02-28,46
2018-03-31,48
2018-04-30,46
2018-05-31,37
2018-06-30,31
2018-07-31,37
2018-08-31,44
2018-09-30,47
2018-10-31,51
2018-11-30,38
2018-12-31,41
2019-01-31,46
2019-02-28,53
2019-03-31,53
2019-04-30,54
2019-05-31,49
2019-06-30,45
2019-07-31,52
2019-08-31,66
2019-09-30,64
2019-10-31,69
2019-11-30,49
2019-12-31,57
2020-01-31,62
2020-02-29,57
2020-03-31,56
2020-04-30,65
2020-05-31,62
2020-06-30,54
2020-07-31,55
2020-08-31,72
2020-09-30,68
2020-10-31,65
2020-11-30,57
2020-12-31,53
2021-01-31,67
2021-02-28,72
2021-03-31,72
2021-04-30,73
2021-05-31,69
2021-06-30,55
2021-07-31,57
2021-08-31,74
2021-09-30,76
2021-10-31,82
2021-11-30,64
2021-12-31,70
2022-01-31,91
2022-02-28,100
2022-03-31,94
2022-04-30,92
2022-05-31,86
2022-06-30,59
2022-07-31,71
2022-08-31,87
2022-09-30,87
2022-10-31,94
2022-11-30,67
2022-12-31,75
2023-01-31,85
2023-02-28,99
2023-03-31,85
2023-04-30,95
2023-05-31,87
2023-06-30,69
2023-07-31,76
2023-08-31,91
2023-09-30,100
2023-10-31,97
2023-11-30,72
2023-12-31,78
2024-01-31,98
2024-02-29,95
2024-03-31,98
2024-04-30,97
