Search Term,plant based diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,100
2020-02-01,89
2020-02-08,83
2020-02-15,98
2020-02-22,76
2020-02-29,75
2020-03-07,59
2020-03-14,35
2020-03-21,33
2020-03-28,37
2020-04-04,32
2020-04-11,36
2020-04-18,38
2020-04-25,58
2020-05-02,54
2020-05-09,55
2020-05-16,45
2020-05-23,63
2020-05-30,48
2020-06-06,48
2020-06-13,51
2020-06-20,64
2020-06-27,55
2020-07-04,63
2020-07-11,58
2020-07-18,49
2020-07-25,50
2020-08-01,45
2020-08-08,48
2020-08-15,45
2020-08-22,47
2020-08-29,40
2020-09-05,43
2020-09-12,46
2020-09-19,42
2020-09-26,51
2020-10-03,43
2020-10-10,47
2020-10-17,44
2020-10-24,45
2020-10-31,27
2020-11-07,35
2020-11-14,32
2020-11-21,26
2020-11-28,34
2020-12-05,34
2020-12-12,37
2020-12-19,29
2020-12-26,46
2021-01-02,50
2021-01-09,37
2021-01-16,49
2021-01-23,45
2021-01-30,30
2021-02-06,44
2021-02-13,38
2021-02-20,59
2021-02-27,41
2021-03-06,28
2021-03-13,29
2021-03-20,34
2021-03-27,52
2021-04-03,49
2021-04-10,43
2021-04-17,39
2021-04-24,31
2021-05-01,35
2021-05-08,25
2021-05-15,36
2021-05-22,45
2021-05-29,28
2021-06-05,30
2021-06-12,35
2021-06-19,38
2021-06-26,32
2021-07-03,38
2021-07-10,38
2021-07-17,39
2021-07-24,41
2021-07-31,35
2021-08-07,45
2021-08-14,23
2021-08-21,35
2021-08-28,27
2021-09-04,28
2021-09-11,32
2021-09-18,32
2021-09-25,14
2021-10-02,27
2021-10-09,25
2021-10-16,31
2021-10-23,33
2021-10-30,27
2021-11-06,32
2021-11-13,22
2021-11-20,17
2021-11-27,30
2021-12-04,22
2021-12-11,23
2021-12-18,20
2021-12-25,40
2022-01-01,37
2022-01-08,21
2022-01-15,34
2022-01-22,29
2022-01-29,23
2022-02-05,23
2022-02-12,25
2022-02-19,18
2022-02-26,26
2022-03-05,21
2022-03-12,19
2022-03-19,27
2022-03-26,26
2022-04-02,24
2022-04-09,21
2022-04-16,27
2022-04-23,25
2022-04-30,22
2022-05-07,26
2022-05-14,20
2022-05-21,18
2022-05-28,23
2022-06-04,28
2022-06-11,27
2022-06-18,23
2022-06-25,22
2022-07-02,18
2022-07-09,25
2022-07-16,20
2022-07-23,22
2022-07-30,21
2022-08-06,19
2022-08-13,20
2022-08-20,28
2022-08-27,15
2022-09-03,17
2022-09-10,20
2022-09-17,13
2022-09-24,17
2022-10-01,21
2022-10-08,20
2022-10-15,17
2022-10-22,19
2022-10-29,13
2022-11-05,19
2022-11-12,8
2022-11-19,17
2022-11-26,16
2022-12-03,19
2022-12-10,15
2022-12-17,13
2022-12-24,19
2022-12-31,23
2023-01-07,22
2023-01-14,19
2023-01-21,22
2023-01-28,17
2023-02-04,21
2023-02-11,21
2023-02-18,19
2023-02-25,18
2023-03-04,18
2023-03-11,15
2023-03-18,18
2023-03-25,19
2023-04-01,21
2023-04-08,38
2023-04-15,31
2023-04-22,19
2023-04-29,24
2023-05-06,21
2023-05-13,15
2023-05-20,14
2023-05-27,28
2023-06-03,16
2023-06-10,20
2023-06-17,23
2023-06-24,18
2023-07-01,16
2023-07-08,22
2023-07-15,21
2023-07-22,25
2023-07-29,18
2023-08-05,19
2023-08-12,16
2023-08-19,17
2023-08-26,14
2023-09-02,20
2023-09-09,16
2023-09-16,18
2023-09-23,18
2023-09-30,26
2023-10-07,14
2023-10-14,21
2023-10-21,13
2023-10-28,17
2023-11-04,15
2023-11-11,14
2023-11-18,15
2023-11-25,15
2023-12-02,13
2023-12-09,15
2023-12-16,0
2023-12-23,25
2023-12-30,74
2024-01-06,54
2024-01-13,35
2024-01-20,37
2024-01-27,24
2024-02-03,24
2024-02-10,25
2024-02-17,21
2024-02-24,16
2024-03-02,18
2024-03-09,10
2024-03-16,23
2024-03-23,22
2024-03-30,22
2024-04-06,13
2024-04-13,12
2024-04-20,17
2024-04-27,16
2024-05-04,15
2024-05-11,14
2024-05-18,15
2024-05-25,14
