Search Term,plant based near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,66
2020-02-01,62
2020-02-08,61
2020-02-15,71
2020-02-22,55
2020-02-29,53
2020-03-07,44
2020-03-14,23
2020-03-21,15
2020-03-28,20
2020-04-04,16
2020-04-11,24
2020-04-18,25
2020-04-25,24
2020-05-02,32
2020-05-09,34
2020-05-16,39
2020-05-23,33
2020-05-30,30
2020-06-06,33
2020-06-13,41
2020-06-20,47
2020-06-27,43
2020-07-04,47
2020-07-11,50
2020-07-18,43
2020-07-25,51
2020-08-01,53
2020-08-08,53
2020-08-15,54
2020-08-22,46
2020-08-29,53
2020-09-05,43
2020-09-12,46
2020-09-19,51
2020-09-26,48
2020-10-03,47
2020-10-10,54
2020-10-17,42
2020-10-24,41
2020-10-31,32
2020-11-07,42
2020-11-14,48
2020-11-21,38
2020-11-28,36
2020-12-05,46
2020-12-12,43
2020-12-19,48
2020-12-26,54
2021-01-02,63
2021-01-09,62
2021-01-16,55
2021-01-23,52
2021-01-30,51
2021-02-06,42
2021-02-13,52
2021-02-20,62
2021-02-27,43
2021-03-06,44
2021-03-13,56
2021-03-20,60
2021-03-27,73
2021-04-03,64
2021-04-10,59
2021-04-17,67
2021-04-24,57
2021-05-01,65
2021-05-08,61
2021-05-15,57
2021-05-22,64
2021-05-29,56
2021-06-05,65
2021-06-12,74
2021-06-19,63
2021-06-26,68
2021-07-03,69
2021-07-10,69
2021-07-17,76
2021-07-24,62
2021-07-31,59
2021-08-07,59
2021-08-14,64
2021-08-21,63
2021-08-28,57
2021-09-04,57
2021-09-11,59
2021-09-18,62
2021-09-25,60
2021-10-02,62
2021-10-09,61
2021-10-16,51
2021-10-23,53
2021-10-30,51
2021-11-06,47
2021-11-13,54
2021-11-20,50
2021-11-27,46
2021-12-04,46
2021-12-11,47
2021-12-18,49
2021-12-25,62
2022-01-01,64
2022-01-08,66
2022-01-15,88
2022-01-22,50
2022-01-29,66
2022-02-05,61
2022-02-12,54
2022-02-19,62
2022-02-26,51
2022-03-05,59
2022-03-12,57
2022-03-19,60
2022-03-26,49
2022-04-02,54
2022-04-09,48
2022-04-16,50
2022-04-23,54
2022-04-30,61
2022-05-07,52
2022-05-14,46
2022-05-21,36
2022-05-28,48
2022-06-04,47
2022-06-11,55
2022-06-18,53
2022-06-25,50
2022-07-02,51
2022-07-09,62
2022-07-16,51
2022-07-23,55
2022-07-30,56
2022-08-06,54
2022-08-13,48
2022-08-20,50
2022-08-27,47
2022-09-03,46
2022-09-10,74
2022-09-17,44
2022-09-24,53
2022-10-01,47
2022-10-08,44
2022-10-15,46
2022-10-22,43
2022-10-29,40
2022-11-05,41
2022-11-12,42
2022-11-19,34
2022-11-26,39
2022-12-03,36
2022-12-10,40
2022-12-17,37
2022-12-24,36
2022-12-31,42
2023-01-07,39
2023-01-14,54
2023-01-21,52
2023-01-28,64
2023-02-04,47
2023-02-11,49
2023-02-18,52
2023-02-25,51
2023-03-04,45
2023-03-11,57
2023-03-18,59
2023-03-25,47
2023-04-01,47
2023-04-08,72
2023-04-15,47
2023-04-22,51
2023-04-29,39
2023-05-06,65
2023-05-13,43
2023-05-20,46
2023-05-27,50
2023-06-03,49
2023-06-10,63
2023-06-17,46
2023-06-24,55
2023-07-01,49
2023-07-08,60
2023-07-15,48
2023-07-22,54
2023-07-29,45
2023-08-05,45
2023-08-12,66
2023-08-19,40
2023-08-26,49
2023-09-02,40
2023-09-09,57
2023-09-16,45
2023-09-23,41
2023-09-30,39
2023-10-07,45
2023-10-14,33
2023-10-21,40
2023-10-28,31
2023-11-04,40
2023-11-11,31
2023-11-18,29
2023-11-25,28
2023-12-02,33
2023-12-09,47
2023-12-16,37
2023-12-23,32
2023-12-30,100
2024-01-06,88
2024-01-13,72
2024-01-20,53
2024-01-27,48
2024-02-03,50
2024-02-10,44
2024-02-17,52
2024-02-24,47
2024-03-02,41
2024-03-09,40
2024-03-16,46
2024-03-23,35
2024-03-30,42
2024-04-06,44
2024-04-13,39
2024-04-20,45
2024-04-27,36
2024-05-04,40
2024-05-11,40
2024-05-18,42
2024-05-25,33
