Search Term,plant based recipes
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,23
2012-12-01,20
2012-12-08,22
2012-12-15,21
2012-12-22,30
2012-12-29,50
2013-01-05,38
2013-01-12,34
2013-01-19,39
2013-01-26,43
2013-02-02,38
2013-02-09,35
2013-02-16,30
2013-02-23,42
2013-03-02,38
2013-03-09,41
2013-03-16,41
2013-03-23,36
2013-03-30,31
2013-04-06,31
2013-04-13,42
2013-04-20,31
2013-04-27,32
2013-05-04,24
2013-05-11,23
2013-05-18,29
2013-05-25,29
2013-06-01,33
2013-06-08,22
2013-06-15,27
2013-06-22,22
2013-06-29,27
2013-07-06,27
2013-07-13,32
2013-07-20,29
2013-07-27,24
2013-08-03,27
2013-08-10,29
2013-08-17,25
2013-08-24,26
2013-08-31,30
2013-09-07,21
2013-09-14,26
2013-09-21,17
2013-09-28,19
2013-10-05,18
2013-10-12,24
2013-10-19,20
2013-10-26,26
2013-11-02,22
2013-11-09,19
2013-11-16,23
2013-11-23,14
2013-11-30,24
2013-12-07,20
2013-12-14,21
2013-12-21,22
2013-12-28,41
2014-01-04,33
2014-01-11,25
2014-01-18,28
2014-01-25,27
2014-02-01,34
2014-02-08,24
2014-02-15,29
2014-02-22,34
2014-03-01,23
2014-03-08,32
2014-03-15,24
2014-03-22,29
2014-03-29,19
2014-04-05,25
2014-04-12,20
2014-04-19,25
2014-04-26,26
2014-05-03,24
2014-05-10,23
2014-05-17,22
2014-05-24,23
2014-05-31,17
2014-06-07,25
2014-06-14,11
2014-06-21,14
2014-06-28,14
2014-07-05,22
2014-07-12,17
2014-07-19,16
2014-07-26,36
2014-08-02,21
2014-08-09,17
2014-08-16,27
2014-08-23,18
2014-08-30,20
2014-09-06,21
2014-09-13,19
2014-09-20,19
2014-09-27,22
2014-10-04,26
2014-10-11,20
2014-10-18,21
2014-10-25,24
2014-11-01,25
2014-11-08,23
2014-11-15,22
2014-11-22,18
2014-11-29,20
2014-12-06,16
2014-12-13,11
2014-12-20,21
2014-12-27,31
2015-01-03,33
2015-01-10,30
2015-01-17,31
2015-01-24,33
2015-01-31,27
2015-02-07,24
2015-02-14,23
2015-02-21,24
2015-02-28,24
2015-03-07,22
2015-03-14,16
2015-03-21,27
2015-03-28,18
2015-04-04,31
2015-04-11,23
2015-04-18,26
2015-04-25,25
2015-05-02,27
2015-05-09,29
2015-05-16,24
2015-05-23,34
2015-05-30,23
2015-06-06,32
2015-06-13,23
2015-06-20,25
2015-06-27,19
2015-07-04,28
2015-07-11,22
2015-07-18,25
2015-07-25,28
2015-08-01,26
2015-08-08,28
2015-08-15,24
2015-08-22,26
2015-08-29,22
2015-09-05,21
2015-09-12,21
2015-09-19,23
2015-09-26,26
2015-10-03,27
2015-10-10,25
2015-10-17,20
2015-10-24,28
2015-10-31,20
2015-11-07,15
2015-11-14,23
2015-11-21,14
2015-11-28,24
2015-12-05,19
2015-12-12,23
2015-12-19,17
2015-12-26,39
2016-01-02,43
2016-01-09,31
2016-01-16,31
2016-01-23,34
2016-01-30,32
2016-02-06,23
2016-02-13,32
2016-02-20,41
2016-02-27,58
2016-03-05,57
2016-03-12,45
2016-03-19,52
2016-03-26,44
2016-04-02,33
2016-04-09,37
2016-04-16,32
2016-04-23,31
2016-04-30,30
2016-05-07,21
2016-05-14,26
2016-05-21,30
2016-05-28,27
2016-06-04,29
2016-06-11,26
2016-06-18,24
2016-06-25,25
2016-07-02,38
2016-07-09,33
2016-07-16,38
2016-07-23,31
2016-07-30,25
2016-08-06,30
2016-08-13,30
2016-08-20,24
2016-08-27,28
2016-09-03,27
2016-09-10,24
2016-09-17,35
2016-09-24,34
2016-10-01,29
2016-10-08,30
2016-10-15,34
2016-10-22,26
2016-10-29,31
2016-11-05,35
2016-11-12,72
2016-11-19,64
2016-11-26,67
2016-12-03,47
2016-12-10,38
2016-12-17,37
2016-12-24,67
2016-12-31,100
