Search Term,plant based restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,67
2020-02-01,74
2020-02-08,75
2020-02-15,73
2020-02-22,68
2020-02-29,70
2020-03-07,50
2020-03-14,24
2020-03-21,0
2020-03-28,15
2020-04-04,15
2020-04-11,13
2020-04-18,23
2020-04-25,15
2020-05-02,28
2020-05-09,23
2020-05-16,13
2020-05-23,23
2020-05-30,28
2020-06-06,39
2020-06-13,43
2020-06-20,37
2020-06-27,35
2020-07-04,40
2020-07-11,55
2020-07-18,41
2020-07-25,27
2020-08-01,48
2020-08-08,37
2020-08-15,37
2020-08-22,33
2020-08-29,35
2020-09-05,42
2020-09-12,35
2020-09-19,46
2020-09-26,45
2020-10-03,42
2020-10-10,35
2020-10-17,33
2020-10-24,40
2020-10-31,23
2020-11-07,22
2020-11-14,32
2020-11-21,22
2020-11-28,31
2020-12-05,20
2020-12-12,29
2020-12-19,35
2020-12-26,28
2021-01-02,39
2021-01-09,40
2021-01-16,38
2021-01-23,34
2021-01-30,35
2021-02-06,42
2021-02-13,38
2021-02-20,47
2021-02-27,28
2021-03-06,30
2021-03-13,27
2021-03-20,46
2021-03-27,62
2021-04-03,50
2021-04-10,43
2021-04-17,44
2021-04-24,47
2021-05-01,56
2021-05-08,45
2021-05-15,50
2021-05-22,40
2021-05-29,53
2021-06-05,53
2021-06-12,53
2021-06-19,55
2021-06-26,54
2021-07-03,53
2021-07-10,48
2021-07-17,48
2021-07-24,63
2021-07-31,47
2021-08-07,50
2021-08-14,34
2021-08-21,46
2021-08-28,61
2021-09-04,46
2021-09-11,51
2021-09-18,48
2021-09-25,73
2021-10-02,64
2021-10-09,49
2021-10-16,53
2021-10-23,36
2021-10-30,46
2021-11-06,39
2021-11-13,49
2021-11-20,48
2021-11-27,48
2021-12-04,41
2021-12-11,27
2021-12-18,51
2021-12-25,45
2022-01-01,39
2022-01-08,52
2022-01-15,44
2022-01-22,56
2022-01-29,55
2022-02-05,61
2022-02-12,57
2022-02-19,71
2022-02-26,67
2022-03-05,56
2022-03-12,50
2022-03-19,76
2022-03-26,61
2022-04-02,62
2022-04-09,57
2022-04-16,60
2022-04-23,73
2022-04-30,62
2022-05-07,58
2022-05-14,58
2022-05-21,67
2022-05-28,51
2022-06-04,52
2022-06-11,64
2022-06-18,70
2022-06-25,60
2022-07-02,52
2022-07-09,62
2022-07-16,62
2022-07-23,41
2022-07-30,57
2022-08-06,69
2022-08-13,62
2022-08-20,71
2022-08-27,71
2022-09-03,49
2022-09-10,84
2022-09-17,56
2022-09-24,60
2022-10-01,34
2022-10-08,44
2022-10-15,46
2022-10-22,39
2022-10-29,43
2022-11-05,48
2022-11-12,44
2022-11-19,25
2022-11-26,30
2022-12-03,47
2022-12-10,42
2022-12-17,48
2022-12-24,48
2022-12-31,65
2023-01-07,41
2023-01-14,54
2023-01-21,57
2023-01-28,77
2023-02-04,60
2023-02-11,69
2023-02-18,77
2023-02-25,67
2023-03-04,62
2023-03-11,45
2023-03-18,55
2023-03-25,50
2023-04-01,59
2023-04-08,55
2023-04-15,61
2023-04-22,47
2023-04-29,56
2023-05-06,53
2023-05-13,49
2023-05-20,47
2023-05-27,53
2023-06-03,52
2023-06-10,48
2023-06-17,50
2023-06-24,40
2023-07-01,65
2023-07-08,49
2023-07-15,38
2023-07-22,60
2023-07-29,38
2023-08-05,75
2023-08-12,53
2023-08-19,45
2023-08-26,34
2023-09-02,43
2023-09-09,45
2023-09-16,50
2023-09-23,46
2023-09-30,54
2023-10-07,42
2023-10-14,50
2023-10-21,41
2023-10-28,42
2023-11-04,49
2023-11-11,42
2023-11-18,45
2023-11-25,40
2023-12-02,38
2023-12-09,34
2023-12-16,40
2023-12-23,34
2023-12-30,76
2024-01-06,100
2024-01-13,76
2024-01-20,46
2024-01-27,64
2024-02-03,52
2024-02-10,56
2024-02-17,65
2024-02-24,67
2024-03-02,52
2024-03-09,42
2024-03-16,61
2024-03-23,46
2024-03-30,49
2024-04-06,44
2024-04-13,59
2024-04-20,45
2024-04-27,37
2024-05-04,45
2024-05-11,38
2024-05-18,53
2024-05-25,43
