Search Term,plant based restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,0
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,0
2017-01-07,10
2017-01-14,0
2017-01-21,18
2017-01-28,0
2017-02-04,15
2017-02-11,0
2017-02-18,0
2017-02-25,10
2017-03-04,0
2017-03-11,0
2017-03-18,0
2017-03-25,0
2017-04-01,11
2017-04-08,0
2017-04-15,12
2017-04-22,0
2017-04-29,0
2017-05-06,0
2017-05-13,0
2017-05-20,0
2017-05-27,0
2017-06-03,0
2017-06-10,0
2017-06-17,18
2017-06-24,15
2017-07-01,0
2017-07-08,21
2017-07-15,34
2017-07-22,41
2017-07-29,29
2017-08-05,39
2017-08-12,27
2017-08-19,22
2017-08-26,18
2017-09-02,26
2017-09-09,18
2017-09-16,15
2017-09-23,11
2017-09-30,14
2017-10-07,21
2017-10-14,0
2017-10-21,14
2017-10-28,0
2017-11-04,11
2017-11-11,11
2017-11-18,0
2017-11-25,13
2017-12-02,0
2017-12-09,0
2017-12-16,15
2017-12-23,22
2017-12-30,22
2018-01-06,22
2018-01-13,16
2018-01-20,27
2018-01-27,18
2018-02-03,16
2018-02-10,20
2018-02-17,17
2018-02-24,12
2018-03-03,23
2018-03-10,17
2018-03-17,17
2018-03-24,16
2018-03-31,19
2018-04-07,18
2018-04-14,19
2018-04-21,17
2018-04-28,17
2018-05-05,14
2018-05-12,18
2018-05-19,23
2018-05-26,19
2018-06-02,18
2018-06-09,13
2018-06-16,18
2018-06-23,16
2018-06-30,13
2018-07-07,22
2018-07-14,15
2018-07-21,18
2018-07-28,19
2018-08-04,16
2018-08-11,19
2018-08-18,18
2018-08-25,17
2018-09-01,12
2018-09-08,19
2018-09-15,11
2018-09-22,20
2018-09-29,16
2018-10-06,15
2018-10-13,15
2018-10-20,19
2018-10-27,11
2018-11-03,11
2018-11-10,22
2018-11-17,11
2018-11-24,14
2018-12-01,23
2018-12-08,0
2018-12-15,10
2018-12-22,16
2018-12-29,23
2019-01-05,25
2019-01-12,25
2019-01-19,30
2019-01-26,26
2019-02-02,27
2019-02-09,27
2019-02-16,22
2019-02-23,21
2019-03-02,24
2019-03-09,26
2019-03-16,46
2019-03-23,31
2019-03-30,26
2019-04-06,33
2019-04-13,20
2019-04-20,22
2019-04-27,31
2019-05-04,34
2019-05-11,30
2019-05-18,29
2019-05-25,31
2019-06-01,25
2019-06-08,27
2019-06-15,31
2019-06-22,32
2019-06-29,36
2019-07-06,30
2019-07-13,32
2019-07-20,39
2019-07-27,35
2019-08-03,38
2019-08-10,44
2019-08-17,34
2019-08-24,35
2019-08-31,29
2019-09-07,41
2019-09-14,29
2019-09-21,33
2019-09-28,46
2019-10-05,44
2019-10-12,45
2019-10-19,88
2019-10-26,71
2019-11-02,79
2019-11-09,86
2019-11-16,100
2019-11-23,60
2019-11-30,68
2019-12-07,68
2019-12-14,51
2019-12-21,54
2019-12-28,96
2020-01-04,87
2020-01-11,78
2020-01-18,83
2020-01-25,77
2020-02-01,67
2020-02-08,68
2020-02-15,66
2020-02-22,68
2020-02-29,59
