Search Term,vegan diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,0
2008-12-06,0
2008-12-13,0
2008-12-20,0
2008-12-27,0
2009-01-03,26
2009-01-10,0
2009-01-17,0
2009-01-24,0
2009-01-31,38
2009-02-07,0
2009-02-14,0
2009-02-21,0
2009-02-28,0
2009-03-07,0
2009-03-14,0
2009-03-21,0
2009-03-28,0
2009-04-04,0
2009-04-11,0
2009-04-18,26
2009-04-25,0
2009-05-02,0
2009-05-09,0
2009-05-16,25
2009-05-23,24
2009-05-30,23
2009-06-06,25
2009-06-13,0
2009-06-20,30
2009-06-27,29
2009-07-04,0
2009-07-11,56
2009-07-18,32
2009-07-25,0
2009-08-01,26
2009-08-08,0
2009-08-15,25
2009-08-22,0
2009-08-29,0
2009-09-05,25
2009-09-12,33
2009-09-19,37
2009-09-26,26
2009-10-03,0
2009-10-10,22
2009-10-17,24
2009-10-24,28
2009-10-31,61
2009-11-07,62
2009-11-14,39
2009-11-21,25
2009-11-28,40
2009-12-05,25
2009-12-12,31
2009-12-19,0
2009-12-26,46
2010-01-02,45
2010-01-09,32
2010-01-16,38
2010-01-23,50
2010-01-30,49
2010-02-06,48
2010-02-13,40
2010-02-20,29
2010-02-27,43
2010-03-06,65
2010-03-13,54
2010-03-20,62
2010-03-27,57
2010-04-03,51
2010-04-10,45
2010-04-17,39
2010-04-24,43
2010-05-01,27
2010-05-08,34
2010-05-15,44
2010-05-22,23
2010-05-29,43
2010-06-05,56
2010-06-12,29
2010-06-19,34
2010-06-26,42
2010-07-03,35
2010-07-10,42
2010-07-17,0
2010-07-24,26
2010-07-31,27
2010-08-07,32
2010-08-14,32
2010-08-21,35
2010-08-28,30
2010-09-04,26
2010-09-11,33
2010-09-18,50
2010-09-25,27
2010-10-02,33
2010-10-09,29
2010-10-16,39
2010-10-23,27
2010-10-30,36
2010-11-06,40
2010-11-13,25
2010-11-20,25
2010-11-27,26
2010-12-04,26
2010-12-11,25
2010-12-18,20
2010-12-25,50
2011-01-01,46
2011-01-08,27
2011-01-15,49
2011-01-22,29
2011-01-29,100
2011-02-05,39
2011-02-12,40
2011-02-19,37
2011-02-26,38
2011-03-05,62
2011-03-12,40
2011-03-19,61
2011-03-26,50
2011-04-02,58
2011-04-09,34
2011-04-16,51
2011-04-23,53
2011-04-30,26
2011-05-07,50
2011-05-14,34
2011-05-21,43
2011-05-28,34
2011-06-04,44
2011-06-11,36
2011-06-18,46
2011-06-25,31
2011-07-02,38
2011-07-09,39
2011-07-16,42
2011-07-23,39
2011-07-30,40
2011-08-06,40
2011-08-13,76
2011-08-20,71
2011-08-27,55
2011-09-03,81
2011-09-10,64
2011-09-17,53
2011-09-24,46
2011-10-01,39
2011-10-08,49
2011-10-15,47
2011-10-22,46
2011-10-29,45
2011-11-05,53
2011-11-12,44
2011-11-19,47
2011-11-26,58
2011-12-03,41
2011-12-10,53
2011-12-17,29
2011-12-24,72
2011-12-31,67
2012-01-07,61
2012-01-14,55
2012-01-21,62
2012-01-28,54
2012-02-04,55
2012-02-11,55
2012-02-18,52
2012-02-25,64
2012-03-03,49
2012-03-10,60
2012-03-17,63
2012-03-24,50
2012-03-31,59
2012-04-07,63
2012-04-14,46
2012-04-21,64
2012-04-28,69
2012-05-05,59
2012-05-12,63
2012-05-19,76
2012-05-26,68
2012-06-02,93
2012-06-09,77
2012-06-16,73
2012-06-23,72
2012-06-30,63
2012-07-07,73
2012-07-14,77
2012-07-21,65
2012-07-28,65
2012-08-04,54
2012-08-11,82
2012-08-18,79
2012-08-25,64
2012-09-01,71
2012-09-08,67
2012-09-15,53
2012-09-22,53
2012-09-29,53
2012-10-06,65
2012-10-13,58
2012-10-20,54
2012-10-27,41
2012-11-03,60
2012-11-10,48
2012-11-17,56
2012-11-24,68
2012-12-01,54
2012-12-08,53
2012-12-15,49
2012-12-22,74
2012-12-29,79
