Search Term,vegan near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,77
2020-02-01,74
2020-02-08,81
2020-02-15,89
2020-02-22,72
2020-02-29,78
2020-03-07,62
2020-03-14,34
2020-03-21,21
2020-03-28,23
2020-04-04,25
2020-04-11,26
2020-04-18,28
2020-04-25,35
2020-05-02,36
2020-05-09,40
2020-05-16,45
2020-05-23,46
2020-05-30,50
2020-06-06,56
2020-06-13,59
2020-06-20,59
2020-06-27,71
2020-07-04,63
2020-07-11,68
2020-07-18,69
2020-07-25,73
2020-08-01,73
2020-08-08,80
2020-08-15,76
2020-08-22,72
2020-08-29,76
2020-09-05,72
2020-09-12,67
2020-09-19,66
2020-09-26,67
2020-10-03,62
2020-10-10,61
2020-10-17,58
2020-10-24,56
2020-10-31,47
2020-11-07,56
2020-11-14,50
2020-11-21,51
2020-11-28,48
2020-12-05,51
2020-12-12,51
2020-12-19,55
2020-12-26,60
2021-01-02,60
2021-01-09,65
2021-01-16,63
2021-01-23,56
2021-01-30,54
2021-02-06,58
2021-02-13,59
2021-02-20,64
2021-02-27,58
2021-03-06,72
2021-03-13,73
2021-03-20,74
2021-03-27,85
2021-04-03,82
2021-04-10,75
2021-04-17,81
2021-04-24,76
2021-05-01,79
2021-05-08,82
2021-05-15,78
2021-05-22,82
2021-05-29,89
2021-06-05,85
2021-06-12,94
2021-06-19,92
2021-06-26,93
2021-07-03,92
2021-07-10,94
2021-07-17,100
2021-07-24,90
2021-07-31,92
2021-08-07,93
2021-08-14,92
2021-08-21,86
2021-08-28,74
2021-09-04,80
2021-09-11,78
2021-09-18,80
2021-09-25,75
2021-10-02,73
2021-10-09,76
2021-10-16,74
2021-10-23,67
2021-10-30,69
2021-11-06,68
2021-11-13,68
2021-11-20,65
2021-11-27,60
2021-12-04,66
2021-12-11,65
2021-12-18,69
2021-12-25,73
2022-01-01,54
2022-01-08,57
2022-01-15,53
2022-01-22,52
2022-01-29,52
2022-02-05,56
2022-02-12,64
2022-02-19,60
2022-02-26,64
2022-03-05,61
2022-03-12,66
2022-03-19,68
2022-03-26,64
2022-04-02,68
2022-04-09,70
2022-04-16,62
2022-04-23,62
2022-04-30,65
2022-05-07,61
2022-05-14,54
2022-05-21,58
2022-05-28,62
2022-06-04,60
2022-06-11,64
2022-06-18,65
2022-06-25,64
2022-07-02,71
2022-07-09,65
2022-07-16,63
2022-07-23,59
2022-07-30,61
2022-08-06,63
2022-08-13,62
2022-08-20,56
2022-08-27,57
2022-09-03,51
2022-09-10,50
2022-09-17,50
2022-09-24,51
2022-10-01,48
2022-10-08,51
2022-10-15,47
2022-10-22,49
2022-10-29,49
2022-11-05,46
2022-11-12,46
2022-11-19,43
2022-11-26,39
2022-12-03,43
2022-12-10,46
2022-12-17,48
2022-12-24,50
2022-12-31,51
2023-01-07,50
2023-01-14,51
2023-01-21,47
2023-01-28,44
2023-02-04,46
2023-02-11,48
2023-02-18,52
2023-02-25,46
2023-03-04,50
2023-03-11,55
2023-03-18,52
2023-03-25,46
2023-04-01,55
2023-04-08,48
2023-04-15,47
2023-04-22,46
2023-04-29,50
2023-05-06,45
2023-05-13,47
2023-05-20,50
2023-05-27,55
2023-06-03,49
2023-06-10,56
2023-06-17,55
2023-06-24,57
2023-07-01,61
2023-07-08,52
2023-07-15,52
2023-07-22,51
2023-07-29,50
2023-08-05,51
2023-08-12,49
2023-08-19,44
2023-08-26,46
2023-09-02,45
2023-09-09,39
2023-09-16,40
2023-09-23,43
2023-09-30,39
2023-10-07,41
2023-10-14,40
2023-10-21,35
2023-10-28,39
2023-11-04,39
2023-11-11,43
2023-11-18,39
2023-11-25,36
2023-12-02,39
2023-12-09,38
2023-12-16,46
2023-12-23,44
2023-12-30,49
2024-01-06,40
2024-01-13,40
2024-01-20,42
2024-01-27,44
2024-02-03,39
2024-02-10,44
2024-02-17,40
2024-02-24,40
2024-03-02,39
2024-03-09,43
2024-03-16,42
2024-03-23,45
2024-03-30,44
2024-04-06,41
2024-04-13,43
2024-04-20,42
2024-04-27,40
2024-05-04,42
2024-05-11,36
2024-05-18,40
2024-05-25,39
