Search Term,vegan recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,64
2012-12-01,65
2012-12-08,69
2012-12-15,77
2012-12-22,90
2012-12-29,84
2013-01-05,77
2013-01-12,74
2013-01-19,78
2013-01-26,75
2013-02-02,78
2013-02-09,78
2013-02-16,77
2013-02-23,74
2013-03-02,72
2013-03-09,73
2013-03-16,82
2013-03-23,86
2013-03-30,68
2013-04-06,69
2013-04-13,69
2013-04-20,68
2013-04-27,67
2013-05-04,65
2013-05-11,63
2013-05-18,66
2013-05-25,66
2013-06-01,63
2013-06-08,70
2013-06-15,67
2013-06-22,68
2013-06-29,69
2013-07-06,70
2013-07-13,70
2013-07-20,68
2013-07-27,70
2013-08-03,73
2013-08-10,73
2013-08-17,69
2013-08-24,66
2013-08-31,66
2013-09-07,66
2013-09-14,63
2013-09-21,65
2013-09-28,68
2013-10-05,70
2013-10-12,70
2013-10-19,66
2013-10-26,66
2013-11-02,67
2013-11-09,67
2013-11-16,68
2013-11-23,89
2013-11-30,64
2013-12-07,70
2013-12-14,74
2013-12-21,87
2013-12-28,78
2014-01-04,80
2014-01-11,74
2014-01-18,73
2014-01-25,74
2014-02-01,68
2014-02-08,65
2014-02-15,68
2014-02-22,67
2014-03-01,67
2014-03-08,68
2014-03-15,70
2014-03-22,67
2014-03-29,65
2014-04-05,63
2014-04-12,74
2014-04-19,62
2014-04-26,58
2014-05-03,60
2014-05-10,57
2014-05-17,54
2014-05-24,57
2014-05-31,54
2014-06-07,58
2014-06-14,56
2014-06-21,58
2014-06-28,58
2014-07-05,57
2014-07-12,57
2014-07-19,61
2014-07-26,61
2014-08-02,61
2014-08-09,60
2014-08-16,59
2014-08-23,56
2014-08-30,56
2014-09-06,56
2014-09-13,55
2014-09-20,59
2014-09-27,59
2014-10-04,63
2014-10-11,59
2014-10-18,60
2014-10-25,59
2014-11-01,61
2014-11-08,61
2014-11-15,67
2014-11-22,85
2014-11-29,59
2014-12-06,61
2014-12-13,67
2014-12-20,81
2014-12-27,68
2015-01-03,70
2015-01-10,62
2015-01-17,68
2015-01-24,66
2015-01-31,61
2015-02-07,60
2015-02-14,63
2015-02-21,63
2015-02-28,58
2015-03-07,60
2015-03-14,56
2015-03-21,57
2015-03-28,61
2015-04-04,55
2015-04-11,50
2015-04-18,52
2015-04-25,51
2015-05-02,53
2015-05-09,54
2015-05-16,52
2015-05-23,55
2015-05-30,57
2015-06-06,57
2015-06-13,56
2015-06-20,52
2015-06-27,58
2015-07-04,58
2015-07-11,59
2015-07-18,61
2015-07-25,60
2015-08-01,67
2015-08-08,60
2015-08-15,57
2015-08-22,57
2015-08-29,58
2015-09-05,62
2015-09-12,58
2015-09-19,73
2015-09-26,64
2015-10-03,62
2015-10-10,65
2015-10-17,61
2015-10-24,70
2015-10-31,69
2015-11-07,69
2015-11-14,68
2015-11-21,85
2015-11-28,64
2015-12-05,69
2015-12-12,77
2015-12-19,100
2015-12-26,78
2016-01-02,69
2016-01-09,71
2016-01-16,73
2016-01-23,71
2016-01-30,68
2016-02-06,88
2016-02-13,70
2016-02-20,68
2016-02-27,65
2016-03-05,75
2016-03-12,63
2016-03-19,78
2016-03-26,78
2016-04-02,68
2016-04-09,69
2016-04-16,66
2016-04-23,69
2016-04-30,73
2016-05-07,67
2016-05-14,71
2016-05-21,66
2016-05-28,77
2016-06-04,70
2016-06-11,66
2016-06-18,68
2016-06-25,68
2016-07-02,67
2016-07-09,66
2016-07-16,68
2016-07-23,67
2016-07-30,70
2016-08-06,63
2016-08-13,62
2016-08-20,65
2016-08-27,65
2016-09-03,68
2016-09-10,71
2016-09-17,64
2016-09-24,66
2016-10-01,74
2016-10-08,65
2016-10-15,69
2016-10-22,67
2016-10-29,73
2016-11-05,65
2016-11-12,65
2016-11-19,88
2016-11-26,68
2016-12-03,73
2016-12-10,73
2016-12-17,99
2016-12-24,78
2016-12-31,87
