Search Term,vegan recipes
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,58
2012-12-01,61
2012-12-08,62
2012-12-15,71
2012-12-22,77
2012-12-29,100
2013-01-05,88
2013-01-12,76
2013-01-19,73
2013-01-26,76
2013-02-02,75
2013-02-09,75
2013-02-16,79
2013-02-23,82
2013-03-02,65
2013-03-09,75
2013-03-16,71
2013-03-23,93
2013-03-30,68
2013-04-06,74
2013-04-13,71
2013-04-20,70
2013-04-27,68
2013-05-04,64
2013-05-11,62
2013-05-18,62
2013-05-25,63
2013-06-01,65
2013-06-08,66
2013-06-15,62
2013-06-22,67
2013-06-29,64
2013-07-06,66
2013-07-13,66
2013-07-20,65
2013-07-27,68
2013-08-03,68
2013-08-10,70
2013-08-17,68
2013-08-24,65
2013-08-31,65
2013-09-07,65
2013-09-14,65
2013-09-21,65
2013-09-28,62
2013-10-05,69
2013-10-12,66
2013-10-19,65
2013-10-26,64
2013-11-02,64
2013-11-09,61
2013-11-16,70
2013-11-23,71
2013-11-30,64
2013-12-07,57
2013-12-14,76
2013-12-21,70
2013-12-28,86
2014-01-04,79
2014-01-11,75
2014-01-18,82
2014-01-25,76
2014-02-01,75
2014-02-08,68
2014-02-15,71
2014-02-22,70
2014-03-01,82
2014-03-08,73
2014-03-15,69
2014-03-22,72
2014-03-29,70
2014-04-05,72
2014-04-12,74
2014-04-19,65
2014-04-26,62
2014-05-03,64
2014-05-10,60
2014-05-17,59
2014-05-24,59
2014-05-31,60
2014-06-07,60
2014-06-14,61
2014-06-21,58
2014-06-28,61
2014-07-05,63
2014-07-12,62
2014-07-19,66
2014-07-26,64
2014-08-02,62
2014-08-09,61
2014-08-16,60
2014-08-23,58
2014-08-30,58
2014-09-06,57
2014-09-13,59
2014-09-20,58
2014-09-27,60
2014-10-04,64
2014-10-11,60
2014-10-18,60
2014-10-25,58
2014-11-01,61
2014-11-08,66
2014-11-15,68
2014-11-22,69
2014-11-29,58
2014-12-06,58
2014-12-13,58
2014-12-20,68
2014-12-27,78
2015-01-03,74
2015-01-10,68
2015-01-17,63
2015-01-24,69
2015-01-31,63
2015-02-07,58
2015-02-14,66
2015-02-21,63
2015-02-28,59
2015-03-07,59
2015-03-14,58
2015-03-21,60
2015-03-28,66
2015-04-04,58
2015-04-11,56
2015-04-18,56
2015-04-25,56
2015-05-02,58
2015-05-09,58
2015-05-16,54
2015-05-23,58
2015-05-30,59
2015-06-06,58
2015-06-13,59
2015-06-20,58
2015-06-27,57
2015-07-04,58
2015-07-11,61
2015-07-18,60
2015-07-25,62
2015-08-01,69
2015-08-08,63
2015-08-15,60
2015-08-22,62
2015-08-29,61
2015-09-05,59
2015-09-12,61
2015-09-19,63
2015-09-26,65
2015-10-03,64
2015-10-10,65
2015-10-17,67
2015-10-24,67
2015-10-31,72
2015-11-07,69
2015-11-14,65
2015-11-21,74
2015-11-28,66
2015-12-05,66
2015-12-12,77
2015-12-19,84
2015-12-26,79
2016-01-02,77
2016-01-09,81
2016-01-16,80
2016-01-23,74
2016-01-30,71
2016-02-06,73
2016-02-13,71
2016-02-20,69
2016-02-27,68
2016-03-05,72
2016-03-12,71
2016-03-19,75
2016-03-26,71
2016-04-02,80
2016-04-09,73
2016-04-16,70
2016-04-23,76
2016-04-30,77
2016-05-07,71
2016-05-14,74
2016-05-21,77
2016-05-28,69
2016-06-04,73
2016-06-11,69
2016-06-18,65
2016-06-25,69
2016-07-02,74
2016-07-09,69
2016-07-16,66
2016-07-23,72
2016-07-30,78
2016-08-06,69
2016-08-13,66
2016-08-20,62
2016-08-27,68
2016-09-03,68
2016-09-10,63
2016-09-17,81
2016-09-24,65
2016-10-01,70
2016-10-08,71
2016-10-15,67
2016-10-22,60
2016-10-29,72
2016-11-05,75
2016-11-12,68
2016-11-19,79
2016-11-26,74
2016-12-03,75
2016-12-10,72
2016-12-17,86
2016-12-24,74
2016-12-31,88
