Search Term,vegan restaurant near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,91
2020-02-01,86
2020-02-08,100
2020-02-15,93
2020-02-22,82
2020-02-29,87
2020-03-07,73
2020-03-14,32
2020-03-21,19
2020-03-28,13
2020-04-04,19
2020-04-11,19
2020-04-18,23
2020-04-25,24
2020-05-02,32
2020-05-09,40
2020-05-16,47
2020-05-23,47
2020-05-30,51
2020-06-06,57
2020-06-13,59
2020-06-20,64
2020-06-27,69
2020-07-04,71
2020-07-11,68
2020-07-18,77
2020-07-25,79
2020-08-01,75
2020-08-08,77
2020-08-15,75
2020-08-22,69
2020-08-29,75
2020-09-05,70
2020-09-12,66
2020-09-19,68
2020-09-26,66
2020-10-03,72
2020-10-10,60
2020-10-17,58
2020-10-24,62
2020-10-31,48
2020-11-07,51
2020-11-14,50
2020-11-21,43
2020-11-28,45
2020-12-05,50
2020-12-12,49
2020-12-19,57
2020-12-26,72
2021-01-02,60
2021-01-09,61
2021-01-16,55
2021-01-23,53
2021-01-30,53
2021-02-06,60
2021-02-13,68
2021-02-20,61
2021-02-27,58
2021-03-06,67
2021-03-13,76
2021-03-20,73
2021-03-27,80
2021-04-03,75
2021-04-10,68
2021-04-17,72
2021-04-24,66
2021-05-01,67
2021-05-08,73
2021-05-15,79
2021-05-22,79
2021-05-29,78
2021-06-05,81
2021-06-12,93
2021-06-19,93
2021-06-26,88
2021-07-03,92
2021-07-10,95
2021-07-17,93
2021-07-24,83
2021-07-31,82
2021-08-07,86
2021-08-14,91
2021-08-21,79
2021-08-28,81
2021-09-04,79
2021-09-11,79
2021-09-18,79
2021-09-25,70
2021-10-02,72
2021-10-09,62
2021-10-16,76
2021-10-23,69
2021-10-30,71
2021-11-06,74
2021-11-13,67
2021-11-20,66
2021-11-27,65
2021-12-04,75
2021-12-11,70
2021-12-18,78
2021-12-25,84
2022-01-01,65
2022-01-08,65
2022-01-15,62
2022-01-22,63
2022-01-29,65
2022-02-05,65
2022-02-12,76
2022-02-19,71
2022-02-26,68
2022-03-05,65
2022-03-12,76
2022-03-19,79
2022-03-26,68
2022-04-02,75
2022-04-09,77
2022-04-16,64
2022-04-23,70
2022-04-30,74
2022-05-07,71
2022-05-14,56
2022-05-21,65
2022-05-28,65
2022-06-04,65
2022-06-11,67
2022-06-18,70
2022-06-25,74
2022-07-02,72
2022-07-09,67
2022-07-16,67
2022-07-23,68
2022-07-30,67
2022-08-06,70
2022-08-13,65
2022-08-20,72
2022-08-27,66
2022-09-03,60
2022-09-10,57
2022-09-17,57
2022-09-24,56
2022-10-01,62
2022-10-08,62
2022-10-15,51
2022-10-22,57
2022-10-29,53
2022-11-05,57
2022-11-12,54
2022-11-19,44
2022-11-26,43
2022-12-03,52
2022-12-10,54
2022-12-17,55
2022-12-24,62
2022-12-31,66
2023-01-07,60
2023-01-14,58
2023-01-21,63
2023-01-28,58
2023-02-04,54
2023-02-11,65
2023-02-18,64
2023-02-25,56
2023-03-04,62
2023-03-11,56
2023-03-18,61
2023-03-25,56
2023-04-01,64
2023-04-08,62
2023-04-15,57
2023-04-22,55
2023-04-29,60
2023-05-06,55
2023-05-13,55
2023-05-20,60
2023-05-27,63
2023-06-03,53
2023-06-10,60
2023-06-17,60
2023-06-24,61
2023-07-01,61
2023-07-08,59
2023-07-15,60
2023-07-22,62
2023-07-29,52
2023-08-05,59
2023-08-12,61
2023-08-19,55
2023-08-26,52
2023-09-02,57
2023-09-09,40
2023-09-16,48
2023-09-23,46
2023-09-30,47
2023-10-07,52
2023-10-14,45
2023-10-21,48
2023-10-28,46
2023-11-04,45
2023-11-11,43
2023-11-18,43
2023-11-25,37
2023-12-02,45
2023-12-09,38
2023-12-16,43
2023-12-23,46
2023-12-30,59
2024-01-06,43
2024-01-13,52
2024-01-20,41
2024-01-27,44
2024-02-03,42
2024-02-10,53
2024-02-17,47
2024-02-24,37
2024-03-02,42
2024-03-09,41
2024-03-16,44
2024-03-23,52
2024-03-30,44
2024-04-06,50
2024-04-13,39
2024-04-20,42
2024-04-27,40
2024-05-04,41
2024-05-11,36
2024-05-18,46
2024-05-25,43
