Search Term,vegan restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,34
2012-12-01,33
2012-12-08,30
2012-12-15,37
2012-12-22,44
2012-12-29,49
2013-01-05,44
2013-01-12,43
2013-01-19,44
2013-01-26,43
2013-02-02,45
2013-02-09,54
2013-02-16,51
2013-02-23,40
2013-03-02,45
2013-03-09,43
2013-03-16,48
2013-03-23,51
2013-03-30,43
2013-04-06,46
2013-04-13,43
2013-04-20,46
2013-04-27,49
2013-05-04,43
2013-05-11,45
2013-05-18,44
2013-05-25,47
2013-06-01,43
2013-06-08,49
2013-06-15,48
2013-06-22,49
2013-06-29,45
2013-07-06,52
2013-07-13,46
2013-07-20,44
2013-07-27,50
2013-08-03,55
2013-08-10,52
2013-08-17,49
2013-08-24,47
2013-08-31,43
2013-09-07,43
2013-09-14,43
2013-09-21,42
2013-09-28,44
2013-10-05,44
2013-10-12,48
2013-10-19,43
2013-10-26,44
2013-11-02,43
2013-11-09,43
2013-11-16,42
2013-11-23,38
2013-11-30,42
2013-12-07,44
2013-12-14,45
2013-12-21,45
2013-12-28,60
2014-01-04,54
2014-01-11,52
2014-01-18,52
2014-01-25,53
2014-02-01,48
2014-02-08,58
2014-02-15,54
2014-02-22,53
2014-03-01,53
2014-03-08,54
2014-03-15,56
2014-03-22,53
2014-03-29,56
2014-04-05,54
2014-04-12,56
2014-04-19,53
2014-04-26,50
2014-05-03,52
2014-05-10,53
2014-05-17,48
2014-05-24,54
2014-05-31,50
2014-06-07,52
2014-06-14,54
2014-06-21,52
2014-06-28,53
2014-07-05,52
2014-07-12,51
2014-07-19,61
2014-07-26,64
2014-08-02,62
2014-08-09,60
2014-08-16,62
2014-08-23,52
2014-08-30,52
2014-09-06,51
2014-09-13,51
2014-09-20,47
2014-09-27,54
2014-10-04,55
2014-10-11,52
2014-10-18,52
2014-10-25,48
2014-11-01,49
2014-11-08,47
2014-11-15,47
2014-11-22,46
2014-11-29,44
2014-12-06,46
2014-12-13,48
2014-12-20,51
2014-12-27,58
2015-01-03,54
2015-01-10,56
2015-01-17,56
2015-01-24,53
2015-01-31,53
2015-02-07,63
2015-02-14,57
2015-02-21,52
2015-02-28,54
2015-03-07,62
2015-03-14,56
2015-03-21,56
2015-03-28,64
2015-04-04,58
2015-04-11,56
2015-04-18,54
2015-04-25,55
2015-05-02,62
2015-05-09,59
2015-05-16,54
2015-05-23,58
2015-05-30,56
2015-06-06,62
2015-06-13,62
2015-06-20,63
2015-06-27,55
2015-07-04,65
2015-07-11,72
2015-07-18,74
2015-07-25,71
2015-08-01,72
2015-08-08,76
2015-08-15,73
2015-08-22,67
2015-08-29,67
2015-09-05,68
2015-09-12,62
2015-09-19,61
2015-09-26,64
2015-10-03,65
2015-10-10,68
2015-10-17,63
2015-10-24,63
2015-10-31,66
2015-11-07,64
2015-11-14,69
2015-11-21,62
2015-11-28,59
2015-12-05,65
2015-12-12,67
2015-12-19,72
2015-12-26,82
2016-01-02,74
2016-01-09,77
2016-01-16,70
2016-01-23,72
2016-01-30,73
2016-02-06,82
2016-02-13,92
2016-02-20,80
2016-02-27,78
2016-03-05,84
2016-03-12,77
2016-03-19,82
2016-03-26,83
2016-04-02,86
2016-04-09,88
2016-04-16,83
2016-04-23,86
2016-04-30,91
2016-05-07,88
2016-05-14,92
2016-05-21,93
2016-05-28,94
2016-06-04,90
2016-06-11,94
2016-06-18,88
2016-06-25,92
2016-07-02,94
2016-07-09,96
2016-07-16,97
2016-07-23,90
2016-07-30,89
2016-08-06,95
2016-08-13,84
2016-08-20,89
2016-08-27,84
2016-09-03,91
2016-09-10,84
2016-09-17,85
2016-09-24,81
2016-10-01,79
2016-10-08,78
2016-10-15,83
2016-10-22,84
2016-10-29,82
2016-11-05,83
2016-11-12,82
2016-11-19,81
2016-11-26,76
2016-12-03,74
2016-12-10,83
2016-12-17,86
2016-12-24,96
2016-12-31,100
