Search Term,vegan restaurants near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,0
2012-12-01,0
2012-12-08,0
2012-12-15,0
2012-12-22,0
2012-12-29,0
2013-01-05,0
2013-01-12,0
2013-01-19,0
2013-01-26,0
2013-02-02,0
2013-02-09,0
2013-02-16,0
2013-02-23,0
2013-03-02,0
2013-03-09,0
2013-03-16,0
2013-03-23,0
2013-03-30,0
2013-04-06,0
2013-04-13,0
2013-04-20,0
2013-04-27,6
2013-05-04,0
2013-05-11,0
2013-05-18,0
2013-05-25,0
2013-06-01,0
2013-06-08,0
2013-06-15,0
2013-06-22,0
2013-06-29,0
2013-07-06,0
2013-07-13,0
2013-07-20,0
2013-07-27,0
2013-08-03,0
2013-08-10,0
2013-08-17,0
2013-08-24,5
2013-08-31,4
2013-09-07,0
2013-09-14,0
2013-09-21,0
2013-09-28,4
2013-10-05,0
2013-10-12,0
2013-10-19,5
2013-10-26,0
2013-11-02,0
2013-11-09,0
2013-11-16,5
2013-11-23,0
2013-11-30,0
2013-12-07,0
2013-12-14,0
2013-12-21,0
2013-12-28,0
2014-01-04,0
2014-01-11,0
2014-01-18,6
2014-01-25,6
2014-02-01,6
2014-02-08,6
2014-02-15,6
2014-02-22,4
2014-03-01,5
2014-03-08,11
2014-03-15,10
2014-03-22,7
2014-03-29,9
2014-04-05,10
2014-04-12,9
2014-04-19,7
2014-04-26,5
2014-05-03,8
2014-05-10,9
2014-05-17,7
2014-05-24,7
2014-05-31,6
2014-06-07,6
2014-06-14,11
2014-06-21,7
2014-06-28,6
2014-07-05,10
2014-07-12,8
2014-07-19,10
2014-07-26,11
2014-08-02,11
2014-08-09,13
2014-08-16,12
2014-08-23,11
2014-08-30,11
2014-09-06,8
2014-09-13,14
2014-09-20,16
2014-09-27,11
2014-10-04,14
2014-10-11,11
2014-10-18,12
2014-10-25,11
2014-11-01,11
2014-11-08,8
2014-11-15,6
2014-11-22,6
2014-11-29,10
2014-12-06,8
2014-12-13,6
2014-12-20,8
2014-12-27,12
2015-01-03,11
2015-01-10,9
2015-01-17,10
2015-01-24,9
2015-01-31,9
2015-02-07,10
2015-02-14,15
2015-02-21,17
2015-02-28,22
2015-03-07,19
2015-03-14,21
2015-03-21,20
2015-03-28,22
2015-04-04,23
2015-04-11,17
2015-04-18,13
2015-04-25,17
2015-05-02,18
2015-05-09,19
2015-05-16,17
2015-05-23,17
2015-05-30,14
2015-06-06,22
2015-06-13,21
2015-06-20,21
2015-06-27,28
2015-07-04,36
2015-07-11,33
2015-07-18,32
2015-07-25,32
2015-08-01,32
2015-08-08,35
2015-08-15,35
2015-08-22,33
2015-08-29,30
2015-09-05,26
2015-09-12,30
2015-09-19,30
2015-09-26,27
2015-10-03,25
2015-10-10,32
2015-10-17,29
2015-10-24,29
2015-10-31,30
2015-11-07,34
2015-11-14,30
2015-11-21,29
2015-11-28,25
2015-12-05,27
2015-12-12,31
2015-12-19,39
2015-12-26,56
2016-01-02,48
2016-01-09,49
2016-01-16,47
2016-01-23,43
2016-01-30,43
2016-02-06,47
2016-02-13,53
2016-02-20,51
2016-02-27,54
2016-03-05,52
2016-03-12,63
2016-03-19,64
2016-03-26,63
2016-04-02,66
2016-04-09,71
2016-04-16,69
2016-04-23,61
2016-04-30,75
2016-05-07,74
2016-05-14,71
2016-05-21,71
2016-05-28,77
2016-06-04,80
2016-06-11,78
2016-06-18,77
2016-06-25,77
2016-07-02,81
2016-07-09,81
2016-07-16,90
2016-07-23,90
2016-07-30,82
2016-08-06,75
2016-08-13,78
2016-08-20,90
2016-08-27,100
2016-09-03,89
2016-09-10,78
2016-09-17,91
2016-09-24,84
2016-10-01,80
2016-10-08,86
2016-10-15,68
2016-10-22,51
2016-10-29,63
2016-11-05,77
2016-11-12,69
2016-11-19,73
2016-11-26,70
2016-12-03,75
2016-12-10,76
2016-12-17,83
2016-12-24,86
2016-12-31,94
