Search Term,vegan restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,27
2012-12-01,27
2012-12-08,31
2012-12-15,31
2012-12-22,40
2012-12-29,43
2013-01-05,40
2013-01-12,44
2013-01-19,42
2013-01-26,40
2013-02-02,42
2013-02-09,51
2013-02-16,47
2013-02-23,40
2013-03-02,40
2013-03-09,43
2013-03-16,48
2013-03-23,48
2013-03-30,42
2013-04-06,40
2013-04-13,39
2013-04-20,43
2013-04-27,40
2013-05-04,38
2013-05-11,39
2013-05-18,39
2013-05-25,40
2013-06-01,46
2013-06-08,42
2013-06-15,41
2013-06-22,43
2013-06-29,42
2013-07-06,48
2013-07-13,49
2013-07-20,47
2013-07-27,49
2013-08-03,51
2013-08-10,49
2013-08-17,46
2013-08-24,41
2013-08-31,40
2013-09-07,39
2013-09-14,36
2013-09-21,35
2013-09-28,38
2013-10-05,36
2013-10-12,38
2013-10-19,33
2013-10-26,33
2013-11-02,34
2013-11-09,36
2013-11-16,33
2013-11-23,33
2013-11-30,35
2013-12-07,33
2013-12-14,37
2013-12-21,39
2013-12-28,50
2014-01-04,48
2014-01-11,46
2014-01-18,44
2014-01-25,43
2014-02-01,44
2014-02-08,47
2014-02-15,47
2014-02-22,45
2014-03-01,50
2014-03-08,49
2014-03-15,46
2014-03-22,49
2014-03-29,50
2014-04-05,47
2014-04-12,47
2014-04-19,44
2014-04-26,44
2014-05-03,46
2014-05-10,47
2014-05-17,45
2014-05-24,47
2014-05-31,45
2014-06-07,46
2014-06-14,48
2014-06-21,47
2014-06-28,48
2014-07-05,49
2014-07-12,48
2014-07-19,50
2014-07-26,51
2014-08-02,48
2014-08-09,49
2014-08-16,48
2014-08-23,46
2014-08-30,37
2014-09-06,37
2014-09-13,39
2014-09-20,42
2014-09-27,36
2014-10-04,42
2014-10-11,37
2014-10-18,36
2014-10-25,33
2014-11-01,36
2014-11-08,37
2014-11-15,35
2014-11-22,33
2014-11-29,35
2014-12-06,34
2014-12-13,35
2014-12-20,39
2014-12-27,48
2015-01-03,43
2015-01-10,46
2015-01-17,46
2015-01-24,42
2015-01-31,42
2015-02-07,50
2015-02-14,44
2015-02-21,47
2015-02-28,47
2015-03-07,48
2015-03-14,46
2015-03-21,47
2015-03-28,46
2015-04-04,46
2015-04-11,44
2015-04-18,46
2015-04-25,46
2015-05-02,47
2015-05-09,47
2015-05-16,44
2015-05-23,48
2015-05-30,50
2015-06-06,54
2015-06-13,54
2015-06-20,55
2015-06-27,52
2015-07-04,62
2015-07-11,62
2015-07-18,61
2015-07-25,61
2015-08-01,63
2015-08-08,64
2015-08-15,58
2015-08-22,57
2015-08-29,54
2015-09-05,54
2015-09-12,50
2015-09-19,55
2015-09-26,54
2015-10-03,55
2015-10-10,56
2015-10-17,54
2015-10-24,49
2015-10-31,60
2015-11-07,57
2015-11-14,51
2015-11-21,44
2015-11-28,46
2015-12-05,53
2015-12-12,56
2015-12-19,60
2015-12-26,76
2016-01-02,70
2016-01-09,68
2016-01-16,71
2016-01-23,66
2016-01-30,65
2016-02-06,77
2016-02-13,79
2016-02-20,74
2016-02-27,73
2016-03-05,77
2016-03-12,80
2016-03-19,82
2016-03-26,83
2016-04-02,83
2016-04-09,84
2016-04-16,83
2016-04-23,84
2016-04-30,91
2016-05-07,88
2016-05-14,92
2016-05-21,87
2016-05-28,92
2016-06-04,92
2016-06-11,90
2016-06-18,92
2016-06-25,97
2016-07-02,95
2016-07-09,91
2016-07-16,96
2016-07-23,93
2016-07-30,95
2016-08-06,89
2016-08-13,85
2016-08-20,86
2016-08-27,85
2016-09-03,84
2016-09-10,82
2016-09-17,79
2016-09-24,79
2016-10-01,77
2016-10-08,80
2016-10-15,78
2016-10-22,70
2016-10-29,80
2016-11-05,78
2016-11-12,79
2016-11-19,75
2016-11-26,76
2016-12-03,72
2016-12-10,75
2016-12-17,79
2016-12-24,93
2016-12-31,100
