Search Term,vegetarian diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,26
2008-12-06,0
2008-12-13,0
2008-12-20,37
2008-12-27,35
2009-01-03,37
2009-01-10,23
2009-01-17,30
2009-01-24,36
2009-01-31,40
2009-02-07,0
2009-02-14,29
2009-02-21,53
2009-02-28,27
2009-03-07,32
2009-03-14,27
2009-03-21,29
2009-03-28,34
2009-04-04,32
2009-04-11,26
2009-04-18,36
2009-04-25,30
2009-05-02,36
2009-05-09,36
2009-05-16,43
2009-05-23,31
2009-05-30,40
2009-06-06,40
2009-06-13,38
2009-06-20,39
2009-06-27,33
2009-07-04,53
2009-07-11,43
2009-07-18,34
2009-07-25,52
2009-08-01,46
2009-08-08,39
2009-08-15,30
2009-08-22,39
2009-08-29,34
2009-09-05,34
2009-09-12,40
2009-09-19,51
2009-09-26,29
2009-10-03,40
2009-10-10,42
2009-10-17,40
2009-10-24,43
2009-10-31,54
2009-11-07,55
2009-11-14,42
2009-11-21,35
2009-11-28,41
2009-12-05,47
2009-12-12,38
2009-12-19,57
2009-12-26,57
2010-01-02,71
2010-01-09,58
2010-01-16,58
2010-01-23,51
2010-01-30,67
2010-02-06,60
2010-02-13,46
2010-02-20,44
2010-02-27,67
2010-03-06,70
2010-03-13,67
2010-03-20,59
2010-03-27,50
2010-04-03,63
2010-04-10,54
2010-04-17,63
2010-04-24,57
2010-05-01,71
2010-05-08,69
2010-05-15,57
2010-05-22,59
2010-05-29,63
2010-06-05,44
2010-06-12,61
2010-06-19,73
2010-06-26,45
2010-07-03,57
2010-07-10,63
2010-07-17,46
2010-07-24,40
2010-07-31,41
2010-08-07,53
2010-08-14,56
2010-08-21,63
2010-08-28,47
2010-09-04,52
2010-09-11,48
2010-09-18,56
2010-09-25,51
2010-10-02,56
2010-10-09,51
2010-10-16,41
2010-10-23,45
2010-10-30,48
2010-11-06,49
2010-11-13,45
2010-11-20,48
2010-11-27,47
2010-12-04,42
2010-12-11,32
2010-12-18,47
2010-12-25,70
2011-01-01,89
2011-01-08,52
2011-01-15,66
2011-01-22,59
2011-01-29,65
2011-02-05,55
2011-02-12,48
2011-02-19,61
2011-02-26,52
2011-03-05,61
2011-03-12,49
2011-03-19,55
2011-03-26,51
2011-04-02,59
2011-04-09,53
2011-04-16,50
2011-04-23,68
2011-04-30,57
2011-05-07,55
2011-05-14,57
2011-05-21,45
2011-05-28,65
2011-06-04,54
2011-06-11,62
2011-06-18,48
2011-06-25,69
2011-07-02,59
2011-07-09,50
2011-07-16,58
2011-07-23,53
2011-07-30,72
2011-08-06,53
2011-08-13,52
2011-08-20,78
2011-08-27,58
2011-09-03,73
2011-09-10,46
2011-09-17,58
2011-09-24,63
2011-10-01,50
2011-10-08,55
2011-10-15,58
2011-10-22,49
2011-10-29,55
2011-11-05,53
2011-11-12,51
2011-11-19,55
2011-11-26,56
2011-12-03,46
2011-12-10,42
2011-12-17,47
2011-12-24,81
2011-12-31,90
2012-01-07,82
2012-01-14,71
2012-01-21,71
2012-01-28,72
2012-02-04,59
2012-02-11,57
2012-02-18,68
2012-02-25,59
2012-03-03,45
2012-03-10,66
2012-03-17,66
2012-03-24,65
2012-03-31,57
2012-04-07,58
2012-04-14,72
2012-04-21,68
2012-04-28,70
2012-05-05,67
2012-05-12,66
2012-05-19,63
2012-05-26,71
2012-06-02,71
2012-06-09,82
2012-06-16,83
2012-06-23,80
2012-06-30,97
2012-07-07,81
2012-07-14,77
2012-07-21,71
2012-07-28,77
2012-08-04,88
2012-08-11,61
2012-08-18,78
2012-08-25,74
2012-09-01,71
2012-09-08,81
2012-09-15,63
2012-09-22,70
2012-09-29,66
2012-10-06,64
2012-10-13,67
2012-10-20,57
2012-10-27,55
2012-11-03,60
2012-11-10,48
2012-11-17,61
2012-11-24,54
2012-12-01,59
2012-12-08,72
2012-12-15,54
2012-12-22,65
2012-12-29,100
