Search Term,vegetarian near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,18
2016-12-03,20
2016-12-10,20
2016-12-17,24
2016-12-24,26
2016-12-31,28
2017-01-07,23
2017-01-14,24
2017-01-21,22
2017-01-28,23
2017-02-04,21
2017-02-11,26
2017-02-18,25
2017-02-25,26
2017-03-04,26
2017-03-11,24
2017-03-18,29
2017-03-25,28
2017-04-01,29
2017-04-08,31
2017-04-15,27
2017-04-22,27
2017-04-29,27
2017-05-06,29
2017-05-13,30
2017-05-20,32
2017-05-27,36
2017-06-03,31
2017-06-10,32
2017-06-17,36
2017-06-24,43
2017-07-01,42
2017-07-08,41
2017-07-15,43
2017-07-22,41
2017-07-29,44
2017-08-05,43
2017-08-12,46
2017-08-19,47
2017-08-26,48
2017-09-02,48
2017-09-09,47
2017-09-16,53
2017-09-23,53
2017-09-30,45
2017-10-07,48
2017-10-14,44
2017-10-21,43
2017-10-28,41
2017-11-04,40
2017-11-11,38
2017-11-18,38
2017-11-25,36
2017-12-02,36
2017-12-09,36
2017-12-16,39
2017-12-23,48
2017-12-30,48
2018-01-06,43
2018-01-13,43
2018-01-20,48
2018-01-27,47
2018-02-03,41
2018-02-10,52
2018-02-17,51
2018-02-24,43
2018-03-03,48
2018-03-10,49
2018-03-17,50
2018-03-24,56
2018-03-31,48
2018-04-07,43
2018-04-14,42
2018-04-21,43
2018-04-28,46
2018-05-05,45
2018-05-12,47
2018-05-19,49
2018-05-26,52
2018-06-02,53
2018-06-09,55
2018-06-16,56
2018-06-23,52
2018-06-30,56
2018-07-07,59
2018-07-14,56
2018-07-21,60
2018-07-28,61
2018-08-04,63
2018-08-11,61
2018-08-18,55
2018-08-25,55
2018-09-01,56
2018-09-08,51
2018-09-15,53
2018-09-22,53
2018-09-29,54
2018-10-06,56
2018-10-13,62
2018-10-20,52
2018-10-27,48
2018-11-03,51
2018-11-10,49
2018-11-17,49
2018-11-24,48
2018-12-01,46
2018-12-08,48
2018-12-15,53
2018-12-22,69
2018-12-29,66
2019-01-05,53
2019-01-12,53
2019-01-19,50
2019-01-26,48
2019-02-02,52
2019-02-09,50
2019-02-16,56
2019-02-23,50
2019-03-02,60
2019-03-09,56
2019-03-16,58
2019-03-23,62
2019-03-30,63
2019-04-06,62
2019-04-13,67
2019-04-20,60
2019-04-27,56
2019-05-04,61
2019-05-11,62
2019-05-18,67
2019-05-25,63
2019-06-01,69
2019-06-08,67
2019-06-15,69
2019-06-22,67
2019-06-29,76
2019-07-06,70
2019-07-13,74
2019-07-20,75
2019-07-27,76
2019-08-03,70
2019-08-10,74
2019-08-17,70
2019-08-24,66
2019-08-31,65
2019-09-07,66
2019-09-14,66
2019-09-21,66
2019-09-28,76
2019-10-05,69
2019-10-12,70
2019-10-19,62
2019-10-26,73
2019-11-02,70
2019-11-09,70
2019-11-16,71
2019-11-23,70
2019-11-30,63
2019-12-07,64
2019-12-14,68
2019-12-21,73
2019-12-28,100
2020-01-04,71
2020-01-11,73
2020-01-18,75
2020-01-25,68
2020-02-01,63
2020-02-08,67
2020-02-15,68
2020-02-22,65
2020-02-29,61
