Search Term,vegetarian restaurant near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,62
2020-02-01,53
2020-02-08,67
2020-02-15,68
2020-02-22,60
2020-02-29,57
2020-03-07,55
2020-03-14,20
2020-03-21,9
2020-03-28,8
2020-04-04,10
2020-04-11,9
2020-04-18,5
2020-04-25,8
2020-05-02,11
2020-05-09,17
2020-05-16,19
2020-05-23,18
2020-05-30,18
2020-06-06,22
2020-06-13,24
2020-06-20,30
2020-06-27,31
2020-07-04,33
2020-07-11,31
2020-07-18,34
2020-07-25,38
2020-08-01,42
2020-08-08,43
2020-08-15,39
2020-08-22,39
2020-08-29,48
2020-09-05,40
2020-09-12,47
2020-09-19,40
2020-09-26,42
2020-10-03,42
2020-10-10,37
2020-10-17,44
2020-10-24,40
2020-10-31,35
2020-11-07,33
2020-11-14,35
2020-11-21,33
2020-11-28,34
2020-12-05,40
2020-12-12,39
2020-12-19,52
2020-12-26,56
2021-01-02,46
2021-01-09,38
2021-01-16,40
2021-01-23,39
2021-01-30,35
2021-02-06,41
2021-02-13,50
2021-02-20,52
2021-02-27,53
2021-03-06,60
2021-03-13,54
2021-03-20,55
2021-03-27,64
2021-04-03,53
2021-04-10,52
2021-04-17,43
2021-04-24,42
2021-05-01,46
2021-05-08,48
2021-05-15,38
2021-05-22,47
2021-05-29,47
2021-06-05,44
2021-06-12,51
2021-06-19,52
2021-06-26,54
2021-07-03,64
2021-07-10,56
2021-07-17,68
2021-07-24,66
2021-07-31,61
2021-08-07,70
2021-08-14,59
2021-08-21,52
2021-08-28,55
2021-09-04,55
2021-09-11,52
2021-09-18,60
2021-09-25,58
2021-10-02,69
2021-10-09,67
2021-10-16,59
2021-10-23,51
2021-10-30,66
2021-11-06,66
2021-11-13,71
2021-11-20,58
2021-11-27,66
2021-12-04,65
2021-12-11,64
2021-12-18,74
2021-12-25,81
2022-01-01,60
2022-01-08,57
2022-01-15,45
2022-01-22,47
2022-01-29,66
2022-02-05,53
2022-02-12,62
2022-02-19,57
2022-02-26,67
2022-03-05,59
2022-03-12,64
2022-03-19,65
2022-03-26,63
2022-04-02,62
2022-04-09,86
2022-04-16,69
2022-04-23,65
2022-04-30,80
2022-05-07,69
2022-05-14,65
2022-05-21,67
2022-05-28,73
2022-06-04,67
2022-06-11,74
2022-06-18,75
2022-06-25,77
2022-07-02,73
2022-07-09,75
2022-07-16,82
2022-07-23,81
2022-07-30,80
2022-08-06,80
2022-08-13,85
2022-08-20,70
2022-08-27,73
2022-09-03,78
2022-09-10,72
2022-09-17,76
2022-09-24,87
2022-10-01,80
2022-10-08,73
2022-10-15,62
2022-10-22,72
2022-10-29,65
2022-11-05,65
2022-11-12,73
2022-11-19,71
2022-11-26,72
2022-12-03,75
2022-12-10,72
2022-12-17,83
2022-12-24,99
2022-12-31,84
2023-01-07,72
2023-01-14,75
2023-01-21,86
2023-01-28,77
2023-02-04,77
2023-02-11,73
2023-02-18,78
2023-02-25,67
2023-03-04,75
2023-03-11,67
2023-03-18,70
2023-03-25,72
2023-04-01,79
2023-04-08,76
2023-04-15,70
2023-04-22,74
2023-04-29,79
2023-05-06,79
2023-05-13,85
2023-05-20,80
2023-05-27,80
2023-06-03,72
2023-06-10,72
2023-06-17,82
2023-06-24,84
2023-07-01,85
2023-07-08,76
2023-07-15,88
2023-07-22,80
2023-07-29,83
2023-08-05,79
2023-08-12,85
2023-08-19,72
2023-08-26,86
2023-09-02,74
2023-09-09,67
2023-09-16,70
2023-09-23,79
2023-09-30,74
2023-10-07,74
2023-10-14,96
2023-10-21,79
2023-10-28,67
2023-11-04,59
2023-11-11,83
2023-11-18,74
2023-11-25,69
2023-12-02,72
2023-12-09,76
2023-12-16,83
2023-12-23,100
2023-12-30,89
2024-01-06,69
2024-01-13,68
2024-01-20,71
2024-01-27,58
2024-02-03,62
2024-02-10,67
2024-02-17,62
2024-02-24,57
2024-03-02,63
2024-03-09,57
2024-03-16,53
2024-03-23,77
2024-03-30,56
2024-04-06,72
2024-04-13,61
2024-04-20,64
2024-04-27,54
2024-05-04,66
2024-05-11,61
2024-05-18,68
2024-05-25,57
