Search Term,vegetarian restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,59
2012-12-01,56
2012-12-08,53
2012-12-15,53
2012-12-22,68
2012-12-29,72
2013-01-05,64
2013-01-12,63
2013-01-19,66
2013-01-26,60
2013-02-02,64
2013-02-09,81
2013-02-16,67
2013-02-23,69
2013-03-02,71
2013-03-09,68
2013-03-16,65
2013-03-23,71
2013-03-30,62
2013-04-06,63
2013-04-13,65
2013-04-20,63
2013-04-27,64
2013-05-04,68
2013-05-11,66
2013-05-18,72
2013-05-25,66
2013-06-01,67
2013-06-08,69
2013-06-15,69
2013-06-22,68
2013-06-29,69
2013-07-06,70
2013-07-13,66
2013-07-20,72
2013-07-27,70
2013-08-03,79
2013-08-10,77
2013-08-17,74
2013-08-24,71
2013-08-31,66
2013-09-07,60
2013-09-14,62
2013-09-21,65
2013-09-28,69
2013-10-05,68
2013-10-12,69
2013-10-19,66
2013-10-26,64
2013-11-02,65
2013-11-09,62
2013-11-16,61
2013-11-23,56
2013-11-30,61
2013-12-07,59
2013-12-14,66
2013-12-21,71
2013-12-28,79
2014-01-04,68
2014-01-11,73
2014-01-18,62
2014-01-25,66
2014-02-01,64
2014-02-08,76
2014-02-15,62
2014-02-22,64
2014-03-01,65
2014-03-08,66
2014-03-15,71
2014-03-22,68
2014-03-29,69
2014-04-05,70
2014-04-12,80
2014-04-19,68
2014-04-26,68
2014-05-03,73
2014-05-10,74
2014-05-17,71
2014-05-24,70
2014-05-31,66
2014-06-07,74
2014-06-14,69
2014-06-21,70
2014-06-28,67
2014-07-05,69
2014-07-12,71
2014-07-19,71
2014-07-26,76
2014-08-02,81
2014-08-09,74
2014-08-16,73
2014-08-23,72
2014-08-30,69
2014-09-06,65
2014-09-13,65
2014-09-20,68
2014-09-27,71
2014-10-04,71
2014-10-11,66
2014-10-18,64
2014-10-25,61
2014-11-01,66
2014-11-08,65
2014-11-15,62
2014-11-22,62
2014-11-29,61
2014-12-06,66
2014-12-13,64
2014-12-20,72
2014-12-27,83
2015-01-03,68
2015-01-10,68
2015-01-17,71
2015-01-24,69
2015-01-31,64
2015-02-07,73
2015-02-14,68
2015-02-21,72
2015-02-28,72
2015-03-07,74
2015-03-14,70
2015-03-21,70
2015-03-28,74
2015-04-04,66
2015-04-11,66
2015-04-18,65
2015-04-25,69
2015-05-02,74
2015-05-09,77
2015-05-16,69
2015-05-23,73
2015-05-30,77
2015-06-06,69
2015-06-13,69
2015-06-20,72
2015-06-27,75
2015-07-04,69
2015-07-11,78
2015-07-18,83
2015-07-25,79
2015-08-01,83
2015-08-08,81
2015-08-15,80
2015-08-22,74
2015-08-29,70
2015-09-05,76
2015-09-12,72
2015-09-19,75
2015-09-26,71
2015-10-03,71
2015-10-10,80
2015-10-17,77
2015-10-24,71
2015-10-31,67
2015-11-07,71
2015-11-14,67
2015-11-21,64
2015-11-28,70
2015-12-05,72
2015-12-12,72
2015-12-19,85
2015-12-26,98
2016-01-02,75
2016-01-09,76
2016-01-16,70
2016-01-23,75
2016-01-30,76
2016-02-06,84
2016-02-13,83
2016-02-20,78
2016-02-27,75
2016-03-05,79
2016-03-12,74
2016-03-19,82
2016-03-26,82
2016-04-02,81
2016-04-09,81
2016-04-16,80
2016-04-23,81
2016-04-30,90
2016-05-07,92
2016-05-14,88
2016-05-21,90
2016-05-28,89
2016-06-04,84
2016-06-11,87
2016-06-18,86
2016-06-25,85
2016-07-02,94
2016-07-09,87
2016-07-16,93
2016-07-23,89
2016-07-30,90
2016-08-06,85
2016-08-13,84
2016-08-20,88
2016-08-27,84
2016-09-03,84
2016-09-10,88
2016-09-17,82
2016-09-24,84
2016-10-01,86
2016-10-08,83
2016-10-15,81
2016-10-22,74
2016-10-29,81
2016-11-05,76
2016-11-12,77
2016-11-19,74
2016-11-26,75
2016-12-03,76
2016-12-10,78
2016-12-17,82
2016-12-24,100
2016-12-31,91
