Search Term,vegetarian restaurants near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,78
2020-02-01,76
2020-02-08,81
2020-02-15,77
2020-02-22,75
2020-02-29,73
2020-03-07,55
2020-03-14,21
2020-03-21,10
2020-03-28,11
2020-04-04,12
2020-04-11,13
2020-04-18,13
2020-04-25,15
2020-05-02,18
2020-05-09,23
2020-05-16,24
2020-05-23,23
2020-05-30,28
2020-06-06,32
2020-06-13,31
2020-06-20,39
2020-06-27,41
2020-07-04,48
2020-07-11,41
2020-07-18,36
2020-07-25,36
2020-08-01,42
2020-08-08,44
2020-08-15,43
2020-08-22,44
2020-08-29,56
2020-09-05,53
2020-09-12,54
2020-09-19,53
2020-09-26,54
2020-10-03,50
2020-10-10,50
2020-10-17,50
2020-10-24,47
2020-10-31,45
2020-11-07,41
2020-11-14,43
2020-11-21,37
2020-11-28,41
2020-12-05,43
2020-12-12,47
2020-12-19,46
2020-12-26,65
2021-01-02,55
2021-01-09,53
2021-01-16,56
2021-01-23,54
2021-01-30,54
2021-02-06,52
2021-02-13,58
2021-02-20,58
2021-02-27,59
2021-03-06,61
2021-03-13,62
2021-03-20,61
2021-03-27,71
2021-04-03,61
2021-04-10,61
2021-04-17,55
2021-04-24,57
2021-05-01,60
2021-05-08,69
2021-05-15,59
2021-05-22,69
2021-05-29,70
2021-06-05,74
2021-06-12,71
2021-06-19,80
2021-06-26,83
2021-07-03,81
2021-07-10,88
2021-07-17,91
2021-07-24,97
2021-07-31,88
2021-08-07,100
2021-08-14,89
2021-08-21,86
2021-08-28,86
2021-09-04,89
2021-09-11,82
2021-09-18,80
2021-09-25,77
2021-10-02,84
2021-10-09,88
2021-10-16,78
2021-10-23,78
2021-10-30,79
2021-11-06,81
2021-11-13,73
2021-11-20,70
2021-11-27,72
2021-12-04,69
2021-12-11,72
2021-12-18,82
2021-12-25,93
2022-01-01,61
2022-01-08,55
2022-01-15,48
2022-01-22,54
2022-01-29,55
2022-02-05,68
2022-02-12,80
2022-02-19,68
2022-02-26,79
2022-03-05,74
2022-03-12,81
2022-03-19,80
2022-03-26,79
2022-04-02,81
2022-04-09,88
2022-04-16,76
2022-04-23,71
2022-04-30,83
2022-05-07,79
2022-05-14,71
2022-05-21,73
2022-05-28,83
2022-06-04,79
2022-06-11,74
2022-06-18,88
2022-06-25,77
2022-07-02,86
2022-07-09,86
2022-07-16,91
2022-07-23,83
2022-07-30,89
2022-08-06,91
2022-08-13,93
2022-08-20,82
2022-08-27,76
2022-09-03,80
2022-09-10,72
2022-09-17,66
2022-09-24,77
2022-10-01,79
2022-10-08,67
2022-10-15,67
2022-10-22,71
2022-10-29,64
2022-11-05,60
2022-11-12,64
2022-11-19,60
2022-11-26,59
2022-12-03,63
2022-12-10,59
2022-12-17,68
2022-12-24,95
2022-12-31,74
2023-01-07,68
2023-01-14,65
2023-01-21,69
2023-01-28,59
2023-02-04,65
2023-02-11,66
2023-02-18,70
2023-02-25,64
2023-03-04,69
2023-03-11,61
2023-03-18,64
2023-03-25,65
2023-04-01,73
2023-04-08,68
2023-04-15,69
2023-04-22,63
2023-04-29,71
2023-05-06,71
2023-05-13,80
2023-05-20,86
2023-05-27,92
2023-06-03,82
2023-06-10,83
2023-06-17,88
2023-06-24,93
2023-07-01,100
2023-07-08,78
2023-07-15,84
2023-07-22,75
2023-07-29,78
2023-08-05,81
2023-08-12,89
2023-08-19,71
2023-08-26,77
2023-09-02,71
2023-09-09,62
2023-09-16,72
2023-09-23,73
2023-09-30,72
2023-10-07,65
2023-10-14,64
2023-10-21,61
2023-10-28,60
2023-11-04,62
2023-11-11,64
2023-11-18,57
2023-11-25,54
2023-12-02,55
2023-12-09,50
2023-12-16,57
2023-12-23,79
2023-12-30,60
2024-01-06,48
2024-01-13,47
2024-01-20,45
2024-01-27,42
2024-02-03,46
2024-02-10,55
2024-02-17,46
2024-02-24,44
2024-03-02,47
2024-03-09,47
2024-03-16,43
2024-03-23,53
2024-03-30,44
2024-04-06,52
2024-04-13,44
2024-04-20,45
2024-04-27,46
2024-05-04,47
2024-05-11,50
2024-05-18,47
2024-05-25,48
