Search Term,vegetarian restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,53
2012-12-01,52
2012-12-08,50
2012-12-15,53
2012-12-22,73
2012-12-29,72
2013-01-05,64
2013-01-12,68
2013-01-19,66
2013-01-26,66
2013-02-02,68
2013-02-09,79
2013-02-16,72
2013-02-23,67
2013-03-02,67
2013-03-09,70
2013-03-16,74
2013-03-23,74
2013-03-30,68
2013-04-06,67
2013-04-13,65
2013-04-20,65
2013-04-27,69
2013-05-04,69
2013-05-11,68
2013-05-18,69
2013-05-25,70
2013-06-01,70
2013-06-08,69
2013-06-15,71
2013-06-22,70
2013-06-29,80
2013-07-06,79
2013-07-13,77
2013-07-20,79
2013-07-27,78
2013-08-03,83
2013-08-10,80
2013-08-17,81
2013-08-24,72
2013-08-31,68
2013-09-07,65
2013-09-14,64
2013-09-21,67
2013-09-28,69
2013-10-05,68
2013-10-12,63
2013-10-19,61
2013-10-26,60
2013-11-02,64
2013-11-09,61
2013-11-16,59
2013-11-23,55
2013-11-30,54
2013-12-07,57
2013-12-14,60
2013-12-21,71
2013-12-28,81
2014-01-04,69
2014-01-11,72
2014-01-18,69
2014-01-25,68
2014-02-01,64
2014-02-08,80
2014-02-15,68
2014-02-22,65
2014-03-01,73
2014-03-08,73
2014-03-15,74
2014-03-22,76
2014-03-29,73
2014-04-05,76
2014-04-12,75
2014-04-19,72
2014-04-26,72
2014-05-03,73
2014-05-10,71
2014-05-17,70
2014-05-24,75
2014-05-31,67
2014-06-07,70
2014-06-14,72
2014-06-21,68
2014-06-28,79
2014-07-05,77
2014-07-12,76
2014-07-19,75
2014-07-26,84
2014-08-02,85
2014-08-09,81
2014-08-16,80
2014-08-23,71
2014-08-30,70
2014-09-06,71
2014-09-13,70
2014-09-20,65
2014-09-27,70
2014-10-04,72
2014-10-11,64
2014-10-18,68
2014-10-25,60
2014-11-01,64
2014-11-08,67
2014-11-15,62
2014-11-22,55
2014-11-29,55
2014-12-06,62
2014-12-13,57
2014-12-20,68
2014-12-27,81
2015-01-03,63
2015-01-10,70
2015-01-17,69
2015-01-24,60
2015-01-31,67
2015-02-07,78
2015-02-14,68
2015-02-21,66
2015-02-28,68
2015-03-07,71
2015-03-14,69
2015-03-21,73
2015-03-28,70
2015-04-04,70
2015-04-11,70
2015-04-18,71
2015-04-25,68
2015-05-02,72
2015-05-09,73
2015-05-16,75
2015-05-23,73
2015-05-30,73
2015-06-06,80
2015-06-13,75
2015-06-20,82
2015-06-27,78
2015-07-04,86
2015-07-11,88
2015-07-18,89
2015-07-25,88
2015-08-01,87
2015-08-08,89
2015-08-15,82
2015-08-22,79
2015-08-29,73
2015-09-05,77
2015-09-12,73
2015-09-19,74
2015-09-26,75
2015-10-03,70
2015-10-10,81
2015-10-17,74
2015-10-24,69
2015-10-31,71
2015-11-07,72
2015-11-14,67
2015-11-21,64
2015-11-28,65
2015-12-05,66
2015-12-12,71
2015-12-19,84
2015-12-26,100
2016-01-02,83
2016-01-09,79
2016-01-16,71
2016-01-23,77
2016-01-30,75
2016-02-06,90
2016-02-13,86
2016-02-20,73
2016-02-27,79
2016-03-05,75
2016-03-12,81
2016-03-19,93
2016-03-26,83
2016-04-02,86
2016-04-09,85
2016-04-16,83
2016-04-23,84
2016-04-30,93
2016-05-07,91
2016-05-14,92
2016-05-21,89
2016-05-28,95
2016-06-04,87
2016-06-11,91
2016-06-18,88
2016-06-25,92
2016-07-02,92
2016-07-09,89
2016-07-16,95
2016-07-23,96
2016-07-30,99
2016-08-06,91
2016-08-13,85
2016-08-20,93
2016-08-27,81
2016-09-03,82
2016-09-10,89
2016-09-17,84
2016-09-24,80
2016-10-01,87
2016-10-08,86
2016-10-15,85
2016-10-22,80
2016-10-29,83
2016-11-05,77
2016-11-12,75
2016-11-19,71
2016-11-26,70
2016-12-03,70
2016-12-10,74
2016-12-17,83
2016-12-24,95
2016-12-31,93
