Search Term,animal welfare
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,88
2012-12-01,85
2012-12-08,80
2012-12-15,71
2012-12-22,59
2012-12-29,77
2013-01-05,90
2013-01-12,87
2013-01-19,93
2013-01-26,89
2013-02-02,91
2013-02-09,85
2013-02-16,89
2013-02-23,91
2013-03-02,91
2013-03-09,89
2013-03-16,92
2013-03-23,80
2013-03-30,76
2013-04-06,83
2013-04-13,89
2013-04-20,88
2013-04-27,88
2013-05-04,89
2013-05-11,89
2013-05-18,84
2013-05-25,79
2013-06-01,85
2013-06-08,83
2013-06-15,80
2013-06-22,82
2013-06-29,71
2013-07-06,77
2013-07-13,76
2013-07-20,73
2013-07-27,79
2013-08-03,75
2013-08-10,77
2013-08-17,82
2013-08-24,84
2013-08-31,80
2013-09-07,87
2013-09-14,86
2013-09-21,87
2013-09-28,96
2013-10-05,88
2013-10-12,90
2013-10-19,89
2013-10-26,79
2013-11-02,87
2013-11-09,89
2013-11-16,91
2013-11-23,86
2013-11-30,83
2013-12-07,84
2013-12-14,74
2013-12-21,57
2013-12-28,70
2014-01-04,92
2014-01-11,93
2014-01-18,91
2014-01-25,88
2014-02-01,86
2014-02-08,85
2014-02-15,90
2014-02-22,95
2014-03-01,93
2014-03-08,88
2014-03-15,92
2014-03-22,92
2014-03-29,86
2014-04-05,84
2014-04-12,78
2014-04-19,85
2014-04-26,93
2014-05-03,93
2014-05-10,94
2014-05-17,94
2014-05-24,88
2014-05-31,87
2014-06-07,84
2014-06-14,82
2014-06-21,80
2014-06-28,73
2014-07-05,82
2014-07-12,82
2014-07-19,79
2014-07-26,80
2014-08-02,79
2014-08-09,74
2014-08-16,88
2014-08-23,85
2014-08-30,82
2014-09-06,91
2014-09-13,86
2014-09-20,90
2014-09-27,92
2014-10-04,89
2014-10-11,85
2014-10-18,89
2014-10-25,86
2014-11-01,95
2014-11-08,94
2014-11-15,93
2014-11-22,81
2014-11-29,88
2014-12-06,83
2014-12-13,75
2014-12-20,51
2014-12-27,65
2015-01-03,89
2015-01-10,91
2015-01-17,86
2015-01-24,90
2015-01-31,88
2015-02-07,85
2015-02-14,87
2015-02-21,89
2015-02-28,88
2015-03-07,90
2015-03-14,88
2015-03-21,84
2015-03-28,81
2015-04-04,79
2015-04-11,86
2015-04-18,92
2015-04-25,89
2015-05-02,92
2015-05-09,89
2015-05-16,88
2015-05-23,85
2015-05-30,89
2015-06-06,83
2015-06-13,89
2015-06-20,83
2015-06-27,77
2015-07-04,78
2015-07-11,77
2015-07-18,77
2015-07-25,81
2015-08-01,74
2015-08-08,83
2015-08-15,83
2015-08-22,81
2015-08-29,83
2015-09-05,86
2015-09-12,90
2015-09-19,90
2015-09-26,85
2015-10-03,90
2015-10-10,87
2015-10-17,84
2015-10-24,82
2015-10-31,88
2015-11-07,87
2015-11-14,88
2015-11-21,80
2015-11-28,86
2015-12-05,86
2015-12-12,81
2015-12-19,63
2015-12-26,64
2016-01-02,100
2016-01-09,87
2016-01-16,81
2016-01-23,83
2016-01-30,87
2016-02-06,87
2016-02-13,81
2016-02-20,91
2016-02-27,90
2016-03-05,89
2016-03-12,89
2016-03-19,80
2016-03-26,87
2016-04-02,91
2016-04-09,91
2016-04-16,87
2016-04-23,89
2016-04-30,94
2016-05-07,87
2016-05-14,91
2016-05-21,87
2016-05-28,81
2016-06-04,77
2016-06-11,82
2016-06-18,77
2016-06-25,77
2016-07-02,76
2016-07-09,75
2016-07-16,82
2016-07-23,78
2016-07-30,72
2016-08-06,70
2016-08-13,72
2016-08-20,79
2016-08-27,80
2016-09-03,84
2016-09-10,88
2016-09-17,88
2016-09-24,81
2016-10-01,86
2016-10-08,85
2016-10-15,84
2016-10-22,80
2016-10-29,79
2016-11-05,70
2016-11-12,72
2016-11-19,67
2016-11-26,69
2016-12-03,67
2016-12-10,66
2016-12-17,49
2016-12-24,42
2016-12-31,55
