Search Term,diet plan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,57
2016-12-03,52
2016-12-10,46
2016-12-17,43
2016-12-24,61
2016-12-31,94
2017-01-07,77
2017-01-14,76
2017-01-21,66
2017-01-28,68
2017-02-04,63
2017-02-11,63
2017-02-18,66
2017-02-25,66
2017-03-04,66
2017-03-11,64
2017-03-18,68
2017-03-25,67
2017-04-01,60
2017-04-08,63
2017-04-15,69
2017-04-22,67
2017-04-29,66
2017-05-06,66
2017-05-13,65
2017-05-20,66
2017-05-27,63
2017-06-03,66
2017-06-10,63
2017-06-17,62
2017-06-24,64
2017-07-01,68
2017-07-08,69
2017-07-15,68
2017-07-22,64
2017-07-29,65
2017-08-05,63
2017-08-12,62
2017-08-19,59
2017-08-26,56
2017-09-02,60
2017-09-09,62
2017-09-16,63
2017-09-23,60
2017-09-30,61
2017-10-07,62
2017-10-14,57
2017-10-21,68
2017-10-28,64
2017-11-04,60
2017-11-11,59
2017-11-18,52
2017-11-25,54
2017-12-02,52
2017-12-09,49
2017-12-16,47
2017-12-23,61
2017-12-30,91
2018-01-06,88
2018-01-13,77
2018-01-20,75
2018-01-27,81
2018-02-03,77
2018-02-10,70
2018-02-17,72
2018-02-24,70
2018-03-03,71
2018-03-10,70
2018-03-17,68
2018-03-24,66
2018-03-31,69
2018-04-07,66
2018-04-14,65
2018-04-21,66
2018-04-28,70
2018-05-05,66
2018-05-12,67
2018-05-19,62
2018-05-26,69
2018-06-02,66
2018-06-09,65
2018-06-16,66
2018-06-23,65
2018-06-30,68
2018-07-07,75
2018-07-14,71
2018-07-21,71
2018-07-28,72
2018-08-04,69
2018-08-11,70
2018-08-18,59
2018-08-25,60
2018-09-01,64
2018-09-08,58
2018-09-15,61
2018-09-22,60
2018-09-29,59
2018-10-06,59
2018-10-13,55
2018-10-20,58
2018-10-27,59
2018-11-03,57
2018-11-10,57
2018-11-17,51
2018-11-24,58
2018-12-01,52
2018-12-08,50
2018-12-15,49
2018-12-22,69
2018-12-29,100
2019-01-05,82
2019-01-12,80
2019-01-19,75
2019-01-26,76
2019-02-02,71
2019-02-09,63
2019-02-16,71
2019-02-23,70
2019-03-02,72
2019-03-09,65
2019-03-16,67
2019-03-23,66
2019-03-30,65
2019-04-06,64
2019-04-13,65
2019-04-20,66
2019-04-27,68
2019-05-04,63
2019-05-11,62
2019-05-18,62
2019-05-25,63
2019-06-01,65
2019-06-08,65
2019-06-15,64
2019-06-22,63
2019-06-29,66
2019-07-06,73
2019-07-13,66
2019-07-20,65
2019-07-27,67
2019-08-03,65
2019-08-10,62
2019-08-17,67
2019-08-24,62
2019-08-31,59
2019-09-07,61
2019-09-14,61
2019-09-21,56
2019-09-28,56
2019-10-05,56
2019-10-12,56
2019-10-19,55
2019-10-26,55
2019-11-02,63
2019-11-09,57
2019-11-16,56
2019-11-23,50
2019-11-30,53
2019-12-07,46
2019-12-14,45
2019-12-21,55
2019-12-28,93
2020-01-04,81
2020-01-11,69
2020-01-18,65
2020-01-25,64
2020-02-01,62
2020-02-08,64
2020-02-15,66
2020-02-22,62
2020-02-29,58
