Search Term,food near me
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,0
2008-12-06,0
2008-12-13,0
2008-12-20,0
2008-12-27,0
2009-01-03,0
2009-01-10,0
2009-01-17,0
2009-01-24,0
2009-01-31,0
2009-02-07,0
2009-02-14,0
2009-02-21,0
2009-02-28,0
2009-03-07,0
2009-03-14,0
2009-03-21,0
2009-03-28,0
2009-04-04,0
2009-04-11,0
2009-04-18,0
2009-04-25,0
2009-05-02,0
2009-05-09,0
2009-05-16,0
2009-05-23,0
2009-05-30,0
2009-06-06,0
2009-06-13,2
2009-06-20,0
2009-06-27,0
2009-07-04,0
2009-07-11,0
2009-07-18,0
2009-07-25,3
2009-08-01,0
2009-08-08,0
2009-08-15,0
2009-08-22,0
2009-08-29,0
2009-09-05,0
2009-09-12,0
2009-09-19,0
2009-09-26,0
2009-10-03,0
2009-10-10,0
2009-10-17,2
2009-10-24,2
2009-10-31,0
2009-11-07,3
2009-11-14,0
2009-11-21,0
2009-11-28,0
2009-12-05,2
2009-12-12,3
2009-12-19,0
2009-12-26,0
2010-01-02,0
2010-01-09,0
2010-01-16,0
2010-01-23,2
2010-01-30,0
2010-02-06,2
2010-02-13,3
2010-02-20,2
2010-02-27,2
2010-03-06,0
2010-03-13,3
2010-03-20,2
2010-03-27,0
2010-04-03,2
2010-04-10,3
2010-04-17,3
2010-04-24,0
2010-05-01,2
2010-05-08,3
2010-05-15,2
2010-05-22,0
2010-05-29,2
2010-06-05,3
2010-06-12,2
2010-06-19,3
2010-06-26,5
2010-07-03,6
2010-07-10,4
2010-07-17,5
2010-07-24,5
2010-07-31,6
2010-08-07,5
2010-08-14,6
2010-08-21,6
2010-08-28,6
2010-09-04,6
2010-09-11,5
2010-09-18,5
2010-09-25,6
2010-10-02,7
2010-10-09,5
2010-10-16,5
2010-10-23,6
2010-10-30,7
2010-11-06,7
2010-11-13,4
2010-11-20,6
2010-11-27,6
2010-12-04,7
2010-12-11,8
2010-12-18,6
2010-12-25,11
2011-01-01,7
2011-01-08,6
2011-01-15,6
2011-01-22,6
2011-01-29,8
2011-02-05,7
2011-02-12,8
2011-02-19,7
2011-02-26,8
2011-03-05,8
2011-03-12,8
2011-03-19,10
2011-03-26,8
2011-04-02,9
2011-04-09,8
2011-04-16,10
2011-04-23,9
2011-04-30,10
2011-05-07,8
2011-05-14,9
2011-05-21,11
2011-05-28,13
2011-06-04,12
2011-06-11,12
2011-06-18,14
2011-06-25,14
2011-07-02,12
2011-07-09,12
2011-07-16,17
2011-07-23,17
2011-07-30,15
2011-08-06,13
2011-08-13,15
2011-08-20,13
2011-08-27,14
2011-09-03,14
2011-09-10,14
2011-09-17,16
2011-09-24,18
2011-10-01,15
2011-10-08,15
2011-10-15,18
2011-10-22,17
2011-10-29,15
2011-11-05,18
2011-11-12,18
2011-11-19,18
2011-11-26,19
2011-12-03,16
2011-12-10,20
2011-12-17,22
2011-12-24,22
2011-12-31,24
2012-01-07,20
2012-01-14,22
2012-01-21,24
2012-01-28,23
2012-02-04,26
2012-02-11,29
2012-02-18,28
2012-02-25,30
2012-03-03,28
2012-03-10,33
2012-03-17,32
2012-03-24,36
2012-03-31,31
2012-04-07,38
2012-04-14,34
2012-04-21,44
2012-04-28,45
2012-05-05,46
2012-05-12,50
2012-05-19,55
2012-05-26,56
2012-06-02,59
2012-06-09,61
2012-06-16,67
2012-06-23,69
2012-06-30,80
2012-07-07,74
2012-07-14,78
2012-07-21,83
2012-07-28,86
2012-08-04,85
2012-08-11,81
2012-08-18,84
2012-08-25,84
2012-09-01,82
2012-09-08,76
2012-09-15,78
2012-09-22,77
2012-09-29,80
2012-10-06,72
2012-10-13,74
2012-10-20,71
2012-10-27,75
2012-11-03,71
2012-11-10,69
2012-11-17,66
2012-11-24,67
2012-12-01,72
2012-12-08,69
2012-12-15,75
2012-12-22,98
2012-12-29,100
