,Search Term,food
0,2003-12-27,47.0
1,2004-01-03,63.0
2,2004-01-10,65.0
3,2004-01-17,63.0
4,2004-01-24,65.0
5,2004-01-31,61.0
6,2004-02-07,64.0
7,2004-02-14,61.0
8,2004-02-21,65.99999999999999
9,2004-02-28,65.0
10,2004-03-06,60.0
11,2004-03-13,63.0
12,2004-03-20,63.0
13,2004-03-27,64.0
14,2004-04-03,61.0
15,2004-04-10,59.0
16,2004-04-17,64.0
17,2004-04-24,62.0
18,2004-05-01,64.0
19,2004-05-08,63.0
20,2004-05-15,67.0
21,2004-05-22,59.0
22,2004-05-29,55.99999999999999
23,2004-06-05,58.00000000000001
24,2004-06-12,52.0
25,2004-06-19,52.0
26,2004-06-26,52.0
27,2004-07-03,52.0
28,2004-07-10,51.0
29,2004-07-17,52.0
30,2004-07-24,55.00000000000001
31,2004-07-31,54.0
32,2004-08-07,53.0
33,2004-08-14,54.0
34,2004-08-21,56.99999999999999
35,2004-08-28,53.0
36,2004-09-04,54.0
37,2004-09-11,60.0
38,2004-09-18,58.00000000000001
39,2004-09-25,60.0
40,2004-10-02,63.0
41,2004-10-09,60.0
42,2004-10-16,64.0
43,2004-10-23,63.0
44,2004-10-30,64.0
45,2004-11-06,59.0
46,2004-11-13,69.0
47,2004-11-20,65.0
48,2004-11-27,64.0
49,2004-12-04,65.0
50,2004-12-11,59.0
51,2004-12-18,53.0
52,2004-12-25,46.0
53,2005-01-01,59.0
54,2005-01-08,61.0
55,2005-01-15,60.0
56,2005-01-22,60.0
57,2005-01-29,65.0
58,2005-02-05,65.0
59,2005-02-12,69.0
60,2005-02-19,72.0
61,2005-02-26,63.0
62,2005-03-05,61.0
63,2005-03-12,61.0
64,2005-03-19,62.0
65,2005-03-26,55.00000000000001
66,2005-04-02,58.00000000000001
67,2005-04-09,60.0
68,2005-04-16,70.0
69,2005-04-23,64.0
70,2005-04-30,68.0
71,2005-05-07,62.0
72,2005-05-14,61.0
73,2005-05-21,59.0
74,2005-05-28,55.99999999999999
75,2005-06-04,55.00000000000001
76,2005-06-11,55.00000000000001
77,2005-06-18,52.0
78,2005-06-25,52.0
79,2005-07-02,51.0
80,2005-07-09,52.0
81,2005-07-16,50.0
82,2005-07-23,51.0
83,2005-07-30,53.0
84,2005-08-06,53.0
85,2005-08-13,52.0
86,2005-08-20,52.0
87,2005-08-27,53.0
88,2005-09-03,54.0
89,2005-09-10,59.0
90,2005-09-17,59.0
91,2005-09-24,62.0
92,2005-10-01,61.0
93,2005-10-08,62.0
94,2005-10-15,59.0
95,2005-10-22,63.0
96,2005-10-29,63.0
97,2005-11-05,60.0
98,2005-11-12,67.0
99,2005-11-19,61.0
100,2005-11-26,63.0
101,2005-12-03,60.0
102,2005-12-10,61.0
103,2005-12-17,56.99999999999999
104,2005-12-24,46.0
105,2005-12-31,54.0
106,2006-01-07,64.0
107,2006-01-14,56.99999999999999
108,2006-01-21,59.0
109,2006-01-28,58.00000000000001
110,2006-02-04,60.0
111,2006-02-11,56.99999999999999
112,2006-02-18,56.99999999999999
113,2006-02-25,60.0
114,2006-03-04,58.00000000000001
115,2006-03-11,55.00000000000001
116,2006-03-18,59.0
117,2006-03-25,55.00000000000001
118,2006-04-01,56.99999999999999
119,2006-04-08,52.0
120,2006-04-15,56.99999999999999
121,2006-04-22,55.99999999999999
122,2006-04-29,60.0
123,2006-05-06,58.00000000000001
124,2006-05-13,58.00000000000001
125,2006-05-20,54.0
126,2006-05-27,51.0
127,2006-06-03,56.99999999999999
128,2006-06-10,53.0
129,2006-06-17,49.0
130,2006-06-24,51.0
131,2006-07-01,48.0
132,2006-07-08,50.0
133,2006-07-15,49.0
134,2006-07-22,51.0
135,2006-07-29,51.0
136,2006-08-05,49.0
137,2006-08-12,50.0
138,2006-08-19,51.0
139,2006-08-26,50.0
140,2006-09-02,51.0
141,2006-09-09,53.0
142,2006-09-16,55.00000000000001
143,2006-09-23,55.99999999999999
144,2006-09-30,55.00000000000001
145,2006-10-07,58.00000000000001
146,2006-10-14,58.00000000000001
147,2006-10-21,56.99999999999999
148,2006-10-28,59.0
149,2006-11-04,56.99999999999999
150,2006-11-11,62.0
151,2006-11-18,59.0
152,2006-11-25,55.00000000000001
153,2006-12-02,56.99999999999999
154,2006-12-09,58.00000000000001
155,2006-12-16,54.0
156,2006-12-23,45.0
157,2006-12-30,52.0
158,2007-01-06,54.0
159,2007-01-13,52.0
160,2007-01-20,54.0
161,2007-01-27,55.99999999999999
162,2007-02-03,55.00000000000001
163,2007-02-10,55.00000000000001
164,2007-02-17,52.0
165,2007-02-24,55.00000000000001
166,2007-03-03,56.99999999999999
167,2007-03-10,56.99999999999999
168,2007-03-17,100.0
169,2007-03-24,71.00000000000001
170,2007-03-31,92.0
171,2007-04-07,62.0
172,2007-04-14,65.99999999999999
173,2007-04-21,60.0
174,2007-04-28,58.00000000000001
175,2007-05-05,62.0
176,2007-05-12,55.00000000000001
177,2007-05-19,55.99999999999999
178,2007-05-26,52.0
179,2007-06-02,56.99999999999999
180,2007-06-09,52.0
181,2007-06-16,49.0
182,2007-06-23,47.0
183,2007-06-30,50.0
184,2007-07-07,53.0
185,2007-07-14,54.0
186,2007-07-21,54.0
187,2007-07-28,49.0
188,2007-08-04,53.0
189,2007-08-11,52.0
190,2007-08-18,52.0
191,2007-08-25,51.0
192,2007-09-01,49.0
193,2007-09-08,55.00000000000001
194,2007-09-15,56.99999999999999
195,2007-09-22,55.99999999999999
196,2007-09-29,56.99999999999999
197,2007-10-06,55.99999999999999
198,2007-10-13,55.99999999999999
199,2007-10-20,55.99999999999999
200,2007-10-27,58.00000000000001
201,2007-11-03,56.99999999999999
202,2007-11-10,58.00000000000001
203,2007-11-17,60.0
204,2007-11-24,56.99999999999999
205,2007-12-01,56.99999999999999
206,2007-12-08,55.99999999999999
207,2007-12-15,59.0
208,2007-12-22,48.0
209,2007-12-29,55.00000000000001
210,2008-01-05,59.0
211,2008-01-12,59.0
212,2008-01-19,58.00000000000001
213,2008-01-26,59.0
214,2008-02-02,55.99999999999999
215,2008-02-09,55.00000000000001
216,2008-02-16,55.00000000000001
217,2008-02-23,56.99999999999999
218,2008-03-01,56.99999999999999
219,2008-03-08,56.99999999999999
220,2008-03-15,55.00000000000001
221,2008-03-22,54.0
222,2008-03-29,55.99999999999999
223,2008-04-05,55.99999999999999
224,2008-04-12,59.0
225,2008-04-19,61.0
226,2008-04-26,60.0
227,2008-05-03,60.0
228,2008-05-10,56.99999999999999
229,2008-05-17,55.99999999999999
230,2008-05-24,53.0
231,2008-05-31,54.0
232,2008-06-07,53.0
233,2008-06-14,55.00000000000001
234,2008-06-21,52.0
235,2008-06-28,50.0
236,2008-07-05,54.0
237,2008-07-12,54.0
238,2008-07-19,53.0
239,2008-07-26,52.0
240,2008-08-02,53.0
241,2008-08-09,52.0
242,2008-08-16,53.0
243,2008-08-23,54.0
244,2008-08-30,54.0
245,2008-09-06,52.0
246,2008-09-13,56.99999999999999
247,2008-09-20,56.99999999999999
248,2008-09-27,56.99999999999999
249,2008-10-04,56.99999999999999
250,2008-10-11,60.0
251,2008-10-18,58.00000000000001
252,2008-10-25,54.0
253,2008-11-01,56.99999999999999
254,2008-11-08,60.0
255,2008-11-15,62.0
256,2008-11-22,61.0
257,2008-11-29,56.905311778291
258,2008-12-06,60.785219399538114
259,2008-12-13,56.258660508083146
260,2008-12-20,53.02540415704389
261,2008-12-27,53.02540415704389
262,2009-01-03,54.96535796766744
263,2009-01-10,55.61200923787529
264,2009-01-17,54.3187066974596
265,2009-01-24,58.19861431870671
266,2009-01-31,56.258660508083146
267,2009-02-07,56.258660508083146
268,2009-02-14,55.61200923787529
269,2009-02-21,60.13856812933026
270,2009-02-28,56.258660508083146
271,2009-03-07,56.905311778291
272,2009-03-14,54.3187066974596
273,2009-03-21,53.67205542725174
274,2009-03-28,54.3187066974596
275,2009-04-04,57.551963048498855
276,2009-04-11,52.37875288683603
277,2009-04-18,53.67205542725174
278,2009-04-25,56.905311778291
279,2009-05-02,56.905311778291
280,2009-05-09,53.67205542725174
281,2009-05-16,53.02540415704389
282,2009-05-23,49.145496535796774
283,2009-05-30,51.73210161662818
284,2009-06-06,52.37875288683603
285,2009-06-13,53.02540415704389
286,2009-06-20,49.79214780600463
287,2009-06-27,49.79214780600463
288,2009-07-04,51.08545034642032
289,2009-07-11,52.37875288683603
290,2009-07-18,53.67205542725174
291,2009-07-25,53.02540415704389
292,2009-08-01,55.61200923787529
293,2009-08-08,54.96535796766744
294,2009-08-15,56.258660508083146
295,2009-08-22,54.96535796766744
296,2009-08-29,52.37875288683603
297,2009-09-05,55.61200923787529
298,2009-09-12,54.3187066974596
299,2009-09-19,56.258660508083146
300,2009-09-26,51.08545034642032
301,2009-10-03,60.785219399538114
302,2009-10-10,55.61200923787529
303,2009-10-17,54.96535796766744
304,2009-10-24,52.37875288683603
305,2009-10-31,56.258660508083146
306,2009-11-07,56.258660508083146
307,2009-11-14,56.905311778291
308,2009-11-21,56.258660508083146
309,2009-11-28,56.258660508083146
310,2009-12-05,54.96535796766744
311,2009-12-12,54.3187066974596
312,2009-12-19,51.08545034642032
313,2009-12-26,50.43879907621248
314,2010-01-02,53.67205542725174
315,2010-01-09,56.258660508083146
316,2010-01-16,52.37875288683603
317,2010-01-23,57.551963048498855
318,2010-01-30,58.84526558891455
319,2010-02-06,56.258660508083146
320,2010-02-13,51.08545034642032
321,2010-02-20,53.67205542725174
322,2010-02-27,56.258660508083146
323,2010-03-06,57.551963048498855
324,2010-03-13,53.67205542725174
325,2010-03-20,56.905311778291
326,2010-03-27,54.3187066974596
327,2010-04-03,51.08545034642032
328,2010-04-10,51.08545034642032
329,2010-04-17,53.67205542725174
330,2010-04-24,56.258660508083146
331,2010-05-01,54.3187066974596
332,2010-05-08,56.258660508083146
333,2010-05-15,54.3187066974596
334,2010-05-22,50.43879907621248
335,2010-05-29,49.145496535796774
336,2010-06-05,50.43879907621248
337,2010-06-12,51.73210161662818
338,2010-06-19,51.08545034642032
339,2010-06-26,51.08545034642032
340,2010-07-03,53.67205542725174
341,2010-07-10,52.37875288683603
342,2010-07-17,52.37875288683603
343,2010-07-24,51.73210161662818
344,2010-07-31,53.67205542725174
345,2010-08-07,54.3187066974596
346,2010-08-14,56.258660508083146
347,2010-08-21,55.61200923787529
348,2010-08-28,54.3187066974596
349,2010-09-04,54.3187066974596
350,2010-09-11,56.258660508083146
351,2010-09-18,55.61200923787529
352,2010-09-25,54.3187066974596
353,2010-10-02,57.551963048498855
354,2010-10-09,56.258660508083146
355,2010-10-16,54.96535796766744
356,2010-10-23,54.3187066974596
357,2010-10-30,57.551963048498855
358,2010-11-06,59.491916859122405
359,2010-11-13,63.37182448036952
360,2010-11-20,57.551963048498855
361,2010-11-27,54.3187066974596
362,2010-12-04,55.61200923787529
363,2010-12-11,55.61200923787529
364,2010-12-18,57.551963048498855
365,2010-12-25,52.37875288683603
366,2011-01-01,56.258660508083146
367,2011-01-08,55.61200923787529
368,2011-01-15,54.96535796766744
369,2011-01-22,56.905311778291
370,2011-01-29,57.551963048498855
371,2011-02-05,56.258660508083146
372,2011-02-12,55.61200923787529
373,2011-02-19,53.67205542725174
374,2011-02-26,54.3187066974596
375,2011-03-05,57.551963048498855
376,2011-03-12,54.96535796766744
377,2011-03-19,56.258660508083146
378,2011-03-26,56.258660508083146
379,2011-04-02,53.67205542725174
380,2011-04-09,52.37875288683603
381,2011-04-16,58.19861431870671
382,2011-04-23,53.67205542725174
383,2011-04-30,56.258660508083146
384,2011-05-07,56.905311778291
385,2011-05-14,55.61200923787529
386,2011-05-21,56.258660508083146
387,2011-05-28,56.258660508083146
388,2011-06-04,53.67205542725174
389,2011-06-11,56.905311778291
390,2011-06-18,55.61200923787529
391,2011-06-25,55.61200923787529
392,2011-07-02,53.67205542725174
393,2011-07-09,55.61200923787529
394,2011-07-16,53.67205542725174
395,2011-07-23,54.3187066974596
396,2011-07-30,56.258660508083146
397,2011-08-06,56.258660508083146
398,2011-08-13,56.258660508083146
399,2011-08-20,55.61200923787529
400,2011-08-27,54.3187066974596
401,2011-09-03,56.258660508083146
402,2011-09-10,55.61200923787529
403,2011-09-17,54.96535796766744
404,2011-09-24,54.96535796766744
405,2011-10-01,56.905311778291
406,2011-10-08,56.905311778291
407,2011-10-15,56.258660508083146
408,2011-10-22,56.258660508083146
409,2011-10-29,58.19861431870671
410,2011-11-05,58.84526558891455
411,2011-11-12,58.84526558891455
412,2011-11-19,57.551963048498855
413,2011-11-26,56.905311778291
414,2011-12-03,54.96535796766744
415,2011-12-10,59.491916859122405
416,2011-12-17,56.258660508083146
417,2011-12-24,56.258660508083146
418,2011-12-31,57.551963048498855
419,2012-01-07,56.905311778291
420,2012-01-14,59.491916859122405
421,2012-01-21,58.19861431870671
422,2012-01-28,58.19861431870671
423,2012-02-04,57.551963048498855
424,2012-02-11,54.96535796766744
425,2012-02-18,58.84526558891455
426,2012-02-25,56.258660508083146
427,2012-03-03,57.551963048498855
428,2012-03-10,57.551963048498855
429,2012-03-17,57.551963048498855
430,2012-03-24,58.84526558891455
431,2012-03-31,58.84526558891455
432,2012-04-07,58.84526558891455
433,2012-04-14,56.258660508083146
434,2012-04-21,57.551963048498855
435,2012-04-28,57.551963048498855
436,2012-05-05,60.785219399538114
437,2012-05-12,57.551963048498855
438,2012-05-19,59.491916859122405
439,2012-05-26,59.491916859122405
440,2012-06-02,60.785219399538114
441,2012-06-09,60.785219399538114
442,2012-06-16,56.905311778291
443,2012-06-23,57.551963048498855
444,2012-06-30,60.785219399538114
445,2012-07-07,62.07852193995382
446,2012-07-14,60.785219399538114
447,2012-07-21,63.37182448036952
448,2012-07-28,56.905311778291
449,2012-08-04,61.43187066974597
450,2012-08-11,60.785219399538114
451,2012-08-18,63.37182448036952
452,2012-08-25,63.37182448036952
453,2012-09-01,62.07852193995382
454,2012-09-08,64.66512702078523
455,2012-09-15,62.725173210161664
456,2012-09-22,60.785219399538114
457,2012-09-29,64.66512702078523
458,2012-10-06,60.13856812933026
459,2012-10-13,61.43187066974597
460,2012-10-20,61.43187066974597
461,2012-10-27,59.491916859122405
462,2012-11-03,58.84526558891455
463,2012-11-10,62.07852193995382
464,2012-11-17,60.785219399538114
465,2012-11-24,59.06361536846527
466,2012-12-01,57.54916369235078
467,2012-12-08,56.79193785429353
468,2012-12-15,61.335292882637006
469,2012-12-22,53.76303450206454
470,2012-12-29,61.335292882637006
471,2013-01-05,59.06361536846527
472,2013-01-12,59.820841206522516
473,2013-01-19,60.57806704457976
474,2013-01-26,60.57806704457976
475,2013-02-02,62.849744558751496
476,2013-02-09,60.57806704457976
477,2013-02-16,58.30638953040802
478,2013-02-23,59.06361536846527
479,2013-03-02,61.335292882637006
480,2013-03-09,64.36419623486599
481,2013-03-16,62.849744558751496
482,2013-03-23,58.30638953040802
483,2013-03-30,58.30638953040802
484,2013-04-06,59.06361536846527
485,2013-04-13,59.820841206522516
486,2013-04-20,60.57806704457976
487,2013-04-27,58.30638953040802
488,2013-05-04,62.849744558751496
