Search Term,recipe
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,39
2008-12-06,45
2008-12-13,53
2008-12-20,76
2008-12-27,54
2009-01-03,39
2009-01-10,40
2009-01-17,38
2009-01-24,42
2009-01-31,38
2009-02-07,40
2009-02-14,34
2009-02-21,37
2009-02-28,35
2009-03-07,36
2009-03-14,36
2009-03-21,37
2009-03-28,36
2009-04-04,44
2009-04-11,39
2009-04-18,34
2009-04-25,35
2009-05-02,39
2009-05-09,37
2009-05-16,37
2009-05-23,39
2009-05-30,38
2009-06-06,41
2009-06-13,42
2009-06-20,38
2009-06-27,44
2009-07-04,42
2009-07-11,43
2009-07-18,46
2009-07-25,46
2009-08-01,45
2009-08-08,47
2009-08-15,45
2009-08-22,48
2009-08-29,44
2009-09-05,46
2009-09-12,46
2009-09-19,46
2009-09-26,46
2009-10-03,50
2009-10-10,49
2009-10-17,49
2009-10-24,51
2009-10-31,48
2009-11-07,47
2009-11-14,54
2009-11-21,76
2009-11-28,48
2009-12-05,56
2009-12-12,65
2009-12-19,100
2009-12-26,69
2010-01-02,50
2010-01-09,48
2010-01-16,49
2010-01-23,51
2010-01-30,53
2010-02-06,51
2010-02-13,49
2010-02-20,46
2010-02-27,45
2010-03-06,46
2010-03-13,47
2010-03-20,46
2010-03-27,54
2010-04-03,45
2010-04-10,42
2010-04-17,42
2010-04-24,46
2010-05-01,48
2010-05-08,43
2010-05-15,44
2010-05-22,41
2010-05-29,45
2010-06-05,42
2010-06-12,43
2010-06-19,45
2010-06-26,45
2010-07-03,51
2010-07-10,48
2010-07-17,49
2010-07-24,48
2010-07-31,49
2010-08-07,48
2010-08-14,48
2010-08-21,48
2010-08-28,47
2010-09-04,49
2010-09-11,48
2010-09-18,47
2010-09-25,48
2010-10-02,51
2010-10-09,49
2010-10-16,47
2010-10-23,50
2010-10-30,49
2010-11-06,50
2010-11-13,57
2010-11-20,77
2010-11-27,50
2010-12-04,57
2010-12-11,63
2010-12-18,97
2010-12-25,63
2011-01-01,54
2011-01-08,52
2011-01-15,52
2011-01-22,49
2011-01-29,55
2011-02-05,50
2011-02-12,48
2011-02-19,45
2011-02-26,45
2011-03-05,48
2011-03-12,46
2011-03-19,44
2011-03-26,44
2011-04-02,43
2011-04-09,44
2011-04-16,54
2011-04-23,44
2011-04-30,44
2011-05-07,43
2011-05-14,43
2011-05-21,43
2011-05-28,46
2011-06-04,44
2011-06-11,45
2011-06-18,48
2011-06-25,47
2011-07-02,48
2011-07-09,48
2011-07-16,50
2011-07-23,48
2011-07-30,51
2011-08-06,50
2011-08-13,49
2011-08-20,48
2011-08-27,48
2011-09-03,49
2011-09-10,48
2011-09-17,48
2011-09-24,49
2011-10-01,49
2011-10-08,48
2011-10-15,50
2011-10-22,52
2011-10-29,52
2011-11-05,54
2011-11-12,56
2011-11-19,77
2011-11-26,53
2011-12-03,57
2011-12-10,65
2011-12-17,97
2011-12-24,68
2011-12-31,56
2012-01-07,54
2012-01-14,54
2012-01-21,54
2012-01-28,51
2012-02-04,53
2012-02-11,54
2012-02-18,64
2012-02-25,51
2012-03-03,48
2012-03-10,51
2012-03-17,48
2012-03-24,46
2012-03-31,57
2012-04-07,51
2012-04-14,48
2012-04-21,49
2012-04-28,51
2012-05-05,50
2012-05-12,53
2012-05-19,49
2012-05-26,52
2012-06-02,52
2012-06-09,52
2012-06-16,54
2012-06-23,54
2012-06-30,60
2012-07-07,54
2012-07-14,56
2012-07-21,58
2012-07-28,56
2012-08-04,56
2012-08-11,58
2012-08-18,57
2012-08-25,57
2012-09-01,56
2012-09-08,56
2012-09-15,54
2012-09-22,56
2012-09-29,57
2012-10-06,58
2012-10-13,57
2012-10-20,58
2012-10-27,60
2012-11-03,54
2012-11-10,62
2012-11-17,84
2012-11-24,57
2012-12-01,59
2012-12-08,63
2012-12-15,81
2012-12-22,96
2012-12-29,72
