Search Term,restaurant
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,70
2012-12-01,73
2012-12-08,73
2012-12-15,73
2012-12-22,76
2012-12-29,81
2013-01-05,73
2013-01-12,74
2013-01-19,75
2013-01-26,74
2013-02-02,75
2013-02-09,86
2013-02-16,72
2013-02-23,73
2013-03-02,78
2013-03-09,78
2013-03-16,74
2013-03-23,79
2013-03-30,71
2013-04-06,69
2013-04-13,74
2013-04-20,68
2013-04-27,82
2013-05-04,76
2013-05-11,72
2013-05-18,72
2013-05-25,72
2013-06-01,73
2013-06-08,74
2013-06-15,74
2013-06-22,77
2013-06-29,75
2013-07-06,76
2013-07-13,80
2013-07-20,79
2013-07-27,82
2013-08-03,85
2013-08-10,84
2013-08-17,81
2013-08-24,79
2013-08-31,75
2013-09-07,74
2013-09-14,74
2013-09-21,74
2013-09-28,71
2013-10-05,75
2013-10-12,75
2013-10-19,75
2013-10-26,75
2013-11-02,76
2013-11-09,77
2013-11-16,73
2013-11-23,72
2013-11-30,72
2013-12-07,73
2013-12-14,73
2013-12-21,86
2013-12-28,84
2014-01-04,72
2014-01-11,76
2014-01-18,80
2014-01-25,77
2014-02-01,76
2014-02-08,95
2014-02-15,77
2014-02-22,75
2014-03-01,77
2014-03-08,73
2014-03-15,72
2014-03-22,75
2014-03-29,72
2014-04-05,74
2014-04-12,78
2014-04-19,77
2014-04-26,77
2014-05-03,82
2014-05-10,75
2014-05-17,74
2014-05-24,78
2014-05-31,72
2014-06-07,73
2014-06-14,75
2014-06-21,75
2014-06-28,74
2014-07-05,81
2014-07-12,81
2014-07-19,84
2014-07-26,82
2014-08-02,87
2014-08-09,86
2014-08-16,86
2014-08-23,79
2014-08-30,74
2014-09-06,71
2014-09-13,75
2014-09-20,76
2014-09-27,76
2014-10-04,72
2014-10-11,76
2014-10-18,77
2014-10-25,75
2014-11-01,75
2014-11-08,79
2014-11-15,78
2014-11-22,72
2014-11-29,74
2014-12-06,78
2014-12-13,77
2014-12-20,78
2014-12-27,92
2015-01-03,70
2015-01-10,76
2015-01-17,79
2015-01-24,77
2015-01-31,74
2015-02-07,94
2015-02-14,85
2015-02-21,78
2015-02-28,79
2015-03-07,79
2015-03-14,78
2015-03-21,79
2015-03-28,79
2015-04-04,81
2015-04-11,73
2015-04-18,79
2015-04-25,84
2015-05-02,83
2015-05-09,81
2015-05-16,83
2015-05-23,77
2015-05-30,78
2015-06-06,74
2015-06-13,79
2015-06-20,82
2015-06-27,80
2015-07-04,84
2015-07-11,86
2015-07-18,90
2015-07-25,95
2015-08-01,86
2015-08-08,88
2015-08-15,84
2015-08-22,84
2015-08-29,82
2015-09-05,79
2015-09-12,75
2015-09-19,80
2015-09-26,75
2015-10-03,77
2015-10-10,79
2015-10-17,77
2015-10-24,77
2015-10-31,80
2015-11-07,82
2015-11-14,77
2015-11-21,75
2015-11-28,77
2015-12-05,80
2015-12-12,83
2015-12-19,83
2015-12-26,97
2016-01-02,83
2016-01-09,82
2016-01-16,83
2016-01-23,80
2016-01-30,86
2016-02-06,94
2016-02-13,94
2016-02-20,85
2016-02-27,84
2016-03-05,86
2016-03-12,86
2016-03-19,85
2016-03-26,87
2016-04-02,87
2016-04-09,85
2016-04-16,86
2016-04-23,89
2016-04-30,95
2016-05-07,87
2016-05-14,88
2016-05-21,85
2016-05-28,86
2016-06-04,86
2016-06-11,90
2016-06-18,89
2016-06-25,87
2016-07-02,94
2016-07-09,89
2016-07-16,94
2016-07-23,97
2016-07-30,98
2016-08-06,93
2016-08-13,90
2016-08-20,87
2016-08-27,87
2016-09-03,89
2016-09-10,86
2016-09-17,89
2016-09-24,85
2016-10-01,83
2016-10-08,83
2016-10-15,86
2016-10-22,85
2016-10-29,88
2016-11-05,83
2016-11-12,85
2016-11-19,82
2016-11-26,81
2016-12-03,80
2016-12-10,85
2016-12-17,88
2016-12-24,100
2016-12-31,89
