Search Term,restaurants
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,73
2020-02-01,72
2020-02-08,86
2020-02-15,78
2020-02-22,73
2020-02-29,71
2020-03-07,62
2020-03-14,65
2020-03-21,31
2020-03-28,28
2020-04-04,27
2020-04-11,31
2020-04-18,30
2020-04-25,34
2020-05-02,41
2020-05-09,45
2020-05-16,45
2020-05-23,50
2020-05-30,54
2020-06-06,58
2020-06-13,62
2020-06-20,65
2020-06-27,66
2020-07-04,65
2020-07-11,65
2020-07-18,65
2020-07-25,69
2020-08-01,73
2020-08-08,73
2020-08-15,76
2020-08-22,72
2020-08-29,71
2020-09-05,72
2020-09-12,63
2020-09-19,64
2020-09-26,65
2020-10-03,63
2020-10-10,63
2020-10-17,60
2020-10-24,54
2020-10-31,47
2020-11-07,53
2020-11-14,50
2020-11-21,49
2020-11-28,48
2020-12-05,50
2020-12-12,50
2020-12-19,62
2020-12-26,68
2021-01-02,49
2021-01-09,54
2021-01-16,52
2021-01-23,52
2021-01-30,53
2021-02-06,62
2021-02-13,59
2021-02-20,57
2021-02-27,59
2021-03-06,64
2021-03-13,67
2021-03-20,64
2021-03-27,72
2021-04-03,68
2021-04-10,67
2021-04-17,66
2021-04-24,67
2021-05-01,72
2021-05-08,74
2021-05-15,74
2021-05-22,78
2021-05-29,82
2021-06-05,79
2021-06-12,86
2021-06-19,89
2021-06-26,87
2021-07-03,92
2021-07-10,91
2021-07-17,100
2021-07-24,96
2021-07-31,93
2021-08-07,91
2021-08-14,87
2021-08-21,86
2021-08-28,81
2021-09-04,82
2021-09-11,80
2021-09-18,81
2021-09-25,77
2021-10-02,80
2021-10-09,79
2021-10-16,77
2021-10-23,74
2021-10-30,81
2021-11-06,77
2021-11-13,71
2021-11-20,72
2021-11-27,66
2021-12-04,68
2021-12-11,71
2021-12-18,84
2021-12-25,87
2022-01-01,63
2022-01-08,60
2022-01-15,57
2022-01-22,59
2022-01-29,68
2022-02-05,73
2022-02-12,79
2022-02-19,73
2022-02-26,72
2022-03-05,76
2022-03-12,79
2022-03-19,78
2022-03-26,73
2022-04-02,76
2022-04-09,80
2022-04-16,78
2022-04-23,77
2022-04-30,82
2022-05-07,78
2022-05-14,73
2022-05-21,75
2022-05-28,77
2022-06-04,74
2022-06-11,86
2022-06-18,81
2022-06-25,79
2022-07-02,80
2022-07-09,83
2022-07-16,84
2022-07-23,82
2022-07-30,83
2022-08-06,82
2022-08-13,82
2022-08-20,75
2022-08-27,73
2022-09-03,74
2022-09-10,67
2022-09-17,69
2022-09-24,70
2022-10-01,73
2022-10-08,71
2022-10-15,68
2022-10-22,66
2022-10-29,67
2022-11-05,65
2022-11-12,59
2022-11-19,58
2022-11-26,59
2022-12-03,64
2022-12-10,62
2022-12-17,65
2022-12-24,91
2022-12-31,79
2023-01-07,68
2023-01-14,66
2023-01-21,68
2023-01-28,67
2023-02-04,68
2023-02-11,73
2023-02-18,70
2023-02-25,66
2023-03-04,66
2023-03-11,68
2023-03-18,67
2023-03-25,68
2023-04-01,69
2023-04-08,70
2023-04-15,69
2023-04-22,68
2023-04-29,66
2023-05-06,69
2023-05-13,69
2023-05-20,70
2023-05-27,72
2023-06-03,74
2023-06-10,72
2023-06-17,82
2023-06-24,79
2023-07-01,84
2023-07-08,76
2023-07-15,79
2023-07-22,79
2023-07-29,79
2023-08-05,77
2023-08-12,76
2023-08-19,69
2023-08-26,66
2023-09-02,69
2023-09-09,64
2023-09-16,65
2023-09-23,62
2023-09-30,65
2023-10-07,65
2023-10-14,63
2023-10-21,63
2023-10-28,59
2023-11-04,61
2023-11-11,61
2023-11-18,61
2023-11-25,57
2023-12-02,63
2023-12-09,62
2023-12-16,64
2023-12-23,83
2023-12-30,68
2024-01-06,56
2024-01-13,57
2024-01-20,56
2024-01-27,60
2024-02-03,62
2024-02-10,65
2024-02-17,64
2024-02-24,61
2024-03-02,61
2024-03-09,60
2024-03-16,58
2024-03-23,63
2024-03-30,64
2024-04-06,61
2024-04-13,59
2024-04-20,62
2024-04-27,60
2024-05-04,61
2024-05-11,63
2024-05-18,61
2024-05-25,63
