Search Term,climate change
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,51
2008-12-06,50
2008-12-13,43
2008-12-20,20
2008-12-27,21
2009-01-03,38
2009-01-10,43
2009-01-17,41
2009-01-24,48
2009-01-31,44
2009-02-07,43
2009-02-14,40
2009-02-21,47
2009-02-28,46
2009-03-07,48
2009-03-14,46
2009-03-21,48
2009-03-28,48
2009-04-04,40
2009-04-11,43
2009-04-18,56
2009-04-25,52
2009-05-02,48
2009-05-09,46
2009-05-16,46
2009-05-23,43
2009-05-30,45
2009-06-06,39
2009-06-13,37
2009-06-20,33
2009-06-27,32
2009-07-04,31
2009-07-11,29
2009-07-18,27
2009-07-25,26
2009-08-01,25
2009-08-08,26
2009-08-15,25
2009-08-22,29
2009-08-29,32
2009-09-05,34
2009-09-12,37
2009-09-19,48
2009-09-26,44
2009-10-03,47
2009-10-10,50
2009-10-17,59
2009-10-24,54
2009-10-31,54
2009-11-07,54
2009-11-14,59
2009-11-21,80
2009-11-28,91
2009-12-05,100
2009-12-12,86
2009-12-19,44
2009-12-26,32
2010-01-02,56
2010-01-09,53
2010-01-16,48
2010-01-23,47
2010-01-30,48
2010-02-06,53
2010-02-13,53
2010-02-20,50
2010-02-27,51
2010-03-06,47
2010-03-13,46
2010-03-20,48
2010-03-27,39
2010-04-03,39
2010-04-10,46
2010-04-17,54
2010-04-24,50
2010-05-01,44
2010-05-08,44
2010-05-15,45
2010-05-22,39
2010-05-29,36
2010-06-05,34
2010-06-12,28
2010-06-19,25
2010-06-26,24
2010-07-03,23
2010-07-10,22
2010-07-17,24
2010-07-24,23
2010-07-31,23
2010-08-07,24
2010-08-14,24
2010-08-21,22
2010-08-28,24
2010-09-04,25
2010-09-11,28
2010-09-18,29
2010-09-25,30
2010-10-02,34
2010-10-09,33
2010-10-16,34
2010-10-23,31
2010-10-30,34
2010-11-06,34
2010-11-13,37
2010-11-20,31
2010-11-27,38
2010-12-04,39
2010-12-11,30
2010-12-18,20
2010-12-25,18
2011-01-01,26
2011-01-08,33
2011-01-15,33
2011-01-22,30
2011-01-29,34
2011-02-05,34
2011-02-12,32
2011-02-19,29
2011-02-26,32
2011-03-05,33
2011-03-12,32
2011-03-19,32
2011-03-26,31
2011-04-02,31
2011-04-09,28
2011-04-16,25
2011-04-23,28
2011-04-30,30
2011-05-07,30
2011-05-14,30
2011-05-21,30
2011-05-28,27
2011-06-04,28
2011-06-11,26
2011-06-18,23
2011-06-25,21
2011-07-02,20
2011-07-09,19
2011-07-16,19
2011-07-23,20
2011-07-30,20
2011-08-06,19
2011-08-13,23
2011-08-20,23
2011-08-27,22
2011-09-03,25
2011-09-10,27
2011-09-17,28
2011-09-24,29
2011-10-01,28
2011-10-08,29
2011-10-15,30
2011-10-22,29
2011-10-29,32
2011-11-05,31
2011-11-12,33
2011-11-19,31
2011-11-26,35
2011-12-03,34
2011-12-10,30
2011-12-17,19
2011-12-24,15
2011-12-31,22
2012-01-07,28
2012-01-14,26
2012-01-21,28
2012-01-28,29
2012-02-04,30
2012-02-11,27
2012-02-18,29
2012-02-25,31
2012-03-03,31
2012-03-10,30
2012-03-17,30
2012-03-24,26
2012-03-31,19
2012-04-07,22
2012-04-14,27
2012-04-21,29
2012-04-28,27
2012-05-05,27
2012-05-12,27
2012-05-19,25
2012-05-26,22
2012-06-02,21
2012-06-09,20
2012-06-16,19
2012-06-23,17
2012-06-30,17
2012-07-07,17
2012-07-14,15
2012-07-21,17
2012-07-28,16
2012-08-04,16
2012-08-11,15
2012-08-18,16
2012-08-25,19
2012-09-01,19
2012-09-08,23
2012-09-15,21
2012-09-22,23
2012-09-29,22
2012-10-06,23
2012-10-13,25
2012-10-20,23
2012-10-27,29
2012-11-03,26
2012-11-10,24
2012-11-17,25
2012-11-24,29
2012-12-01,29
2012-12-08,24
2012-12-15,17
2012-12-22,10
2012-12-29,12
