Search Term,climate
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2008-11-29,68
2008-12-06,63
2008-12-13,60
2008-12-20,47
2008-12-27,48
2009-01-03,58
2009-01-10,68
2009-01-17,61
2009-01-24,65
2009-01-31,62
2009-02-07,62
2009-02-14,65
2009-02-21,58
2009-02-28,64
2009-03-07,65
2009-03-14,61
2009-03-21,63
2009-03-28,63
2009-04-04,57
2009-04-11,62
2009-04-18,65
2009-04-25,60
2009-05-02,62
2009-05-09,65
2009-05-16,66
2009-05-23,65
2009-05-30,61
2009-06-06,56
2009-06-13,58
2009-06-20,56
2009-06-27,47
2009-07-04,50
2009-07-11,47
2009-07-18,52
2009-07-25,49
2009-08-01,47
2009-08-08,50
2009-08-15,53
2009-08-22,56
2009-08-29,72
2009-09-05,62
2009-09-12,64
2009-09-19,71
2009-09-26,72
2009-10-03,74
2009-10-10,70
2009-10-17,79
2009-10-24,73
2009-10-31,79
2009-11-07,75
2009-11-14,76
2009-11-21,85
2009-11-28,92
2009-12-05,100
2009-12-12,87
2009-12-19,65
2009-12-26,59
2010-01-02,91
2010-01-09,93
2010-01-16,79
2010-01-23,70
2010-01-30,83
2010-02-06,79
2010-02-13,74
2010-02-20,78
2010-02-27,72
2010-03-06,74
2010-03-13,69
2010-03-20,67
2010-03-27,59
2010-04-03,61
2010-04-10,72
2010-04-17,74
2010-04-24,69
2010-05-01,64
2010-05-08,67
2010-05-15,72
2010-05-22,66
2010-05-29,63
2010-06-05,59
2010-06-12,59
2010-06-19,49
2010-06-26,56
2010-07-03,56
2010-07-10,55
2010-07-17,59
2010-07-24,53
2010-07-31,52
2010-08-07,53
2010-08-14,52
2010-08-21,56
2010-08-28,60
2010-09-04,59
2010-09-11,58
2010-09-18,68
2010-09-25,66
2010-10-02,67
2010-10-09,65
2010-10-16,65
2010-10-23,64
2010-10-30,70
2010-11-06,73
2010-11-13,67
2010-11-20,65
2010-11-27,70
2010-12-04,68
2010-12-11,65
2010-12-18,51
2010-12-25,55
2011-01-01,63
2011-01-08,73
2011-01-15,67
2011-01-22,63
2011-01-29,82
2011-02-05,72
2011-02-12,61
2011-02-19,63
2011-02-26,60
2011-03-05,62
2011-03-12,64
2011-03-19,64
2011-03-26,64
2011-04-02,62
2011-04-09,58
2011-04-16,55
2011-04-23,56
2011-04-30,56
2011-05-07,62
2011-05-14,59
2011-05-21,59
2011-05-28,57
2011-06-04,54
2011-06-11,52
2011-06-18,55
2011-06-25,61
2011-07-02,53
2011-07-09,51
2011-07-16,49
2011-07-23,49
2011-07-30,53
2011-08-06,48
2011-08-13,53
2011-08-20,56
2011-08-27,57
2011-09-03,58
2011-09-10,59
2011-09-17,60
2011-09-24,60
2011-10-01,68
2011-10-08,70
2011-10-15,65
2011-10-22,67
2011-10-29,60
2011-11-05,68
2011-11-12,68
2011-11-19,64
2011-11-26,75
2011-12-03,70
2011-12-10,65
2011-12-17,56
2011-12-24,46
2011-12-31,58
2012-01-07,67
2012-01-14,60
2012-01-21,61
2012-01-28,67
2012-02-04,72
2012-02-11,72
2012-02-18,64
2012-02-25,59
2012-03-03,62
2012-03-10,59
2012-03-17,62
2012-03-24,58
2012-03-31,54
2012-04-07,58
2012-04-14,55
2012-04-21,64
2012-04-28,55
2012-05-05,55
2012-05-12,59
2012-05-19,62
2012-05-26,56
2012-06-02,56
2012-06-09,53
2012-06-16,57
2012-06-23,49
2012-06-30,49
2012-07-07,50
2012-07-14,48
2012-07-21,44
2012-07-28,45
2012-08-04,53
2012-08-11,57
2012-08-18,58
2012-08-25,55
2012-09-01,56
2012-09-08,61
2012-09-15,61
2012-09-22,63
2012-09-29,61
2012-10-06,62
2012-10-13,65
2012-10-20,61
2012-10-27,66
2012-11-03,71
2012-11-10,66
2012-11-17,63
2012-11-24,64
2012-12-01,62
2012-12-08,63
2012-12-15,59
2012-12-22,54
2012-12-29,67
