Search Term,health
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,68
2016-12-03,70
2016-12-10,60
2016-12-17,50
2016-12-24,50
2016-12-31,67
2017-01-07,71
2017-01-14,79
2017-01-21,97
2017-01-28,91
2017-02-04,90
2017-02-11,88
2017-02-18,87
2017-02-25,89
2017-03-04,92
2017-03-11,91
2017-03-18,96
2017-03-25,100
2017-04-01,92
2017-04-08,86
2017-04-15,87
2017-04-22,88
2017-04-29,93
2017-05-06,90
2017-05-13,89
2017-05-20,86
2017-05-27,87
2017-06-03,87
2017-06-10,84
2017-06-17,75
2017-06-24,76
2017-07-01,86
2017-07-08,84
2017-07-15,83
2017-07-22,86
2017-07-29,85
2017-08-05,86
2017-08-12,84
2017-08-19,85
2017-08-26,85
2017-09-02,87
2017-09-09,90
2017-09-16,91
2017-09-23,92
2017-09-30,91
2017-10-07,91
2017-10-14,90
2017-10-21,90
2017-10-28,87
2017-11-04,90
2017-11-11,90
2017-11-18,77
2017-11-25,80
2017-12-02,84
2017-12-09,81
2017-12-16,70
2017-12-23,63
2017-12-30,77
2018-01-06,92
2018-01-13,91
2018-01-20,91
2018-01-27,100
2018-02-03,96
2018-02-10,84
2018-02-17,81
2018-02-24,72
2018-03-03,75
2018-03-10,75
2018-03-17,71
2018-03-24,68
2018-03-31,72
2018-04-07,75
2018-04-14,75
2018-04-21,75
2018-04-28,72
2018-05-05,71
2018-05-12,74
2018-05-19,69
2018-05-26,67
2018-06-02,68
2018-06-09,69
2018-06-16,63
2018-06-23,65
2018-06-30,63
2018-07-07,66
2018-07-14,68
2018-07-21,72
2018-07-28,73
2018-08-04,73
2018-08-11,71
2018-08-18,70
2018-08-25,73
2018-09-01,72
2018-09-08,78
2018-09-15,67
2018-09-22,72
2018-09-29,70
2018-10-06,71
2018-10-13,67
2018-10-20,68
2018-10-27,69
2018-11-03,70
2018-11-10,73
2018-11-17,66
2018-11-24,78
2018-12-01,79
2018-12-08,76
2018-12-15,67
2018-12-22,56
2018-12-29,72
2019-01-05,80
2019-01-12,80
2019-01-19,81
2019-01-26,80
2019-02-02,77
2019-02-09,79
2019-02-16,84
2019-02-23,82
2019-03-02,81
2019-03-09,79
2019-03-16,81
2019-03-23,83
2019-03-30,82
2019-04-06,79
2019-04-13,73
2019-04-20,79
2019-04-27,76
2019-05-04,77
2019-05-11,78
2019-05-18,77
2019-05-25,80
2019-06-01,78
2019-06-08,86
2019-06-15,83
2019-06-22,88
2019-06-29,78
2019-07-06,81
2019-07-13,85
2019-07-20,79
2019-07-27,81
2019-08-03,79
2019-08-10,80
2019-08-17,86
2019-08-24,82
2019-08-31,81
2019-09-07,88
2019-09-14,85
2019-09-21,82
2019-09-28,81
2019-10-05,83
2019-10-12,82
2019-10-19,83
2019-10-26,82
2019-11-02,83
2019-11-09,82
2019-11-16,80
2019-11-23,75
2019-11-30,78
2019-12-07,75
2019-12-14,67
2019-12-21,58
2019-12-28,73
2020-01-04,87
2020-01-11,87
2020-01-18,87
2020-01-25,89
2020-02-01,87
2020-02-08,85
2020-02-15,88
2020-02-22,89
2020-02-29,95
