Search Term,sustainability
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,56
2020-02-01,59
2020-02-08,62
2020-02-15,62
2020-02-22,60
2020-02-29,60
2020-03-07,55
2020-03-14,45
2020-03-21,48
2020-03-28,51
2020-04-04,44
2020-04-11,51
2020-04-18,60
2020-04-25,60
2020-05-02,62
2020-05-09,60
2020-05-16,63
2020-05-23,59
2020-05-30,62
2020-06-06,59
2020-06-13,54
2020-06-20,52
2020-06-27,51
2020-07-04,48
2020-07-11,48
2020-07-18,48
2020-07-25,47
2020-08-01,47
2020-08-08,49
2020-08-15,49
2020-08-22,58
2020-08-29,60
2020-09-05,64
2020-09-12,66
2020-09-19,70
2020-09-26,61
2020-10-03,63
2020-10-10,61
2020-10-17,65
2020-10-24,59
2020-10-31,54
2020-11-07,64
2020-11-14,63
2020-11-21,64
2020-11-28,71
2020-12-05,64
2020-12-12,54
2020-12-19,33
2020-12-26,32
2021-01-02,46
2021-01-09,51
2021-01-16,57
2021-01-23,58
2021-01-30,57
2021-02-06,57
2021-02-13,59
2021-02-20,66
2021-02-27,68
2021-03-06,66
2021-03-13,65
2021-03-20,66
2021-03-27,56
2021-04-03,59
2021-04-10,63
2021-04-17,76
2021-04-24,66
2021-05-01,70
2021-05-08,68
2021-05-15,67
2021-05-22,70
2021-05-29,68
2021-06-05,71
2021-06-12,65
2021-06-19,60
2021-06-26,56
2021-07-03,52
2021-07-10,51
2021-07-17,46
2021-07-24,49
2021-07-31,50
2021-08-07,53
2021-08-14,52
2021-08-21,57
2021-08-28,59
2021-09-04,66
2021-09-11,71
2021-09-18,69
2021-09-25,70
2021-10-02,75
2021-10-09,68
2021-10-16,73
2021-10-23,72
2021-10-30,72
2021-11-06,78
2021-11-13,80
2021-11-20,77
2021-11-27,77
2021-12-04,72
2021-12-11,64
2021-12-18,42
2021-12-25,36
2022-01-01,57
2022-01-08,66
2022-01-15,68
2022-01-22,69
2022-01-29,73
2022-02-05,77
2022-02-12,91
2022-02-19,88
2022-02-26,88
2022-03-05,89
2022-03-12,88
2022-03-19,94
2022-03-26,95
2022-04-02,90
2022-04-09,71
2022-04-16,85
2022-04-23,88
2022-04-30,83
2022-05-07,90
2022-05-14,87
2022-05-21,91
2022-05-28,83
2022-06-04,85
2022-06-11,75
2022-06-18,77
2022-06-25,68
2022-07-02,62
2022-07-09,57
2022-07-16,58
2022-07-23,57
2022-07-30,60
2022-08-06,58
2022-08-13,63
2022-08-20,70
2022-08-27,68
2022-09-03,77
2022-09-10,80
2022-09-17,82
2022-09-24,76
2022-10-01,78
2022-10-08,80
2022-10-15,85
2022-10-22,82
2022-10-29,77
2022-11-05,89
2022-11-12,89
2022-11-19,83
2022-11-26,82
2022-12-03,79
2022-12-10,73
2022-12-17,52
2022-12-24,38
2022-12-31,52
2023-01-07,70
2023-01-14,72
2023-01-21,75
2023-01-28,77
2023-02-04,80
2023-02-11,79
2023-02-18,81
2023-02-25,84
2023-03-04,87
2023-03-11,90
2023-03-18,86
2023-03-25,86
2023-04-01,70
2023-04-08,80
2023-04-15,83
2023-04-22,87
2023-04-29,81
2023-05-06,90
2023-05-13,90
2023-05-20,93
2023-05-27,86
2023-06-03,87
2023-06-10,82
2023-06-17,79
2023-06-24,71
2023-07-01,64
2023-07-08,67
2023-07-15,63
2023-07-22,62
2023-07-29,62
2023-08-05,64
2023-08-12,66
2023-08-19,71
2023-08-26,72
2023-09-02,80
2023-09-09,83
2023-09-16,88
2023-09-23,87
2023-09-30,86
2023-10-07,88
2023-10-14,91
2023-10-21,89
2023-10-28,82
2023-11-04,92
2023-11-11,90
2023-11-18,91
2023-11-25,92
2023-12-02,87
2023-12-09,76
2023-12-16,60
2023-12-23,42
2023-12-30,53
2024-01-06,72
2024-01-13,76
2024-01-20,80
2024-01-27,85
2024-02-03,83
2024-02-10,81
2024-02-17,91
2024-02-24,94
2024-03-02,94
2024-03-09,90
2024-03-16,91
2024-03-23,77
2024-03-30,86
2024-04-06,87
2024-04-13,96
2024-04-20,100
2024-04-27,88
2024-05-04,88
2024-05-11,89
2024-05-18,91
2024-05-25,84
