Search Term,plant based
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,100
2020-02-01,90
2020-02-08,90
2020-02-15,86
2020-02-22,80
2020-02-29,78
2020-03-07,65
2020-03-14,47
2020-03-21,42
2020-03-28,46
2020-04-04,47
2020-04-11,52
2020-04-18,57
2020-04-25,60
2020-05-02,60
2020-05-09,59
2020-05-16,58
2020-05-23,60
2020-05-30,55
2020-06-06,57
2020-06-13,61
2020-06-20,61
2020-06-27,59
2020-07-04,64
2020-07-11,66
2020-07-18,65
2020-07-25,62
2020-08-01,60
2020-08-08,67
2020-08-15,65
2020-08-22,59
2020-08-29,59
2020-09-05,59
2020-09-12,61
2020-09-19,58
2020-09-26,61
2020-10-03,56
2020-10-10,58
2020-10-17,58
2020-10-24,55
2020-10-31,48
2020-11-07,55
2020-11-14,53
2020-11-21,49
2020-11-28,51
2020-12-05,51
2020-12-12,50
2020-12-19,40
2020-12-26,58
2021-01-02,66
2021-01-09,65
2021-01-16,65
2021-01-23,68
2021-01-30,63
2021-02-06,63
2021-02-13,63
2021-02-20,75
2021-02-27,67
2021-03-06,63
2021-03-13,60
2021-03-20,65
2021-03-27,76
2021-04-03,71
2021-04-10,69
2021-04-17,72
2021-04-24,77
2021-05-01,66
2021-05-08,68
2021-05-15,66
2021-05-22,66
2021-05-29,59
2021-06-05,65
2021-06-12,61
2021-06-19,62
2021-06-26,58
2021-07-03,61
2021-07-10,61
2021-07-17,65
2021-07-24,60
2021-07-31,65
2021-08-07,63
2021-08-14,62
2021-08-21,62
2021-08-28,61
2021-09-04,60
2021-09-11,61
2021-09-18,62
2021-09-25,59
2021-10-02,61
2021-10-09,59
2021-10-16,59
2021-10-23,60
2021-10-30,60
2021-11-06,62
2021-11-13,58
2021-11-20,56
2021-11-27,55
2021-12-04,59
2021-12-11,53
2021-12-18,46
2021-12-25,58
2022-01-01,85
2022-01-08,89
2022-01-15,77
2022-01-22,78
2022-01-29,72
2022-02-05,75
2022-02-12,71
2022-02-19,71
2022-02-26,70
2022-03-05,65
2022-03-12,65
2022-03-19,69
2022-03-26,68
2022-04-02,66
2022-04-09,64
2022-04-16,64
2022-04-23,66
2022-04-30,64
2022-05-07,61
2022-05-14,61
2022-05-21,57
2022-05-28,55
2022-06-04,61
2022-06-11,60
2022-06-18,59
2022-06-25,55
2022-07-02,55
2022-07-09,59
2022-07-16,59
2022-07-23,59
2022-07-30,59
2022-08-06,58
2022-08-13,62
2022-08-20,61
2022-08-27,59
2022-09-03,54
2022-09-10,59
2022-09-17,57
2022-09-24,59
2022-10-01,56
2022-10-08,60
2022-10-15,55
2022-10-22,50
2022-10-29,53
2022-11-05,54
2022-11-12,54
2022-11-19,47
2022-11-26,50
2022-12-03,51
2022-12-10,49
2022-12-17,47
2022-12-24,47
2022-12-31,59
2023-01-07,60
2023-01-14,60
2023-01-21,63
2023-01-28,65
2023-02-04,61
2023-02-11,59
2023-02-18,68
2023-02-25,64
2023-03-04,63
2023-03-11,60
2023-03-18,61
2023-03-25,61
2023-04-01,59
2023-04-08,60
2023-04-15,61
2023-04-22,61
2023-04-29,58
2023-05-06,50
2023-05-13,51
2023-05-20,52
2023-05-27,53
2023-06-03,56
2023-06-10,55
2023-06-17,49
2023-06-24,53
2023-07-01,53
2023-07-08,52
2023-07-15,48
2023-07-22,53
2023-07-29,50
2023-08-05,51
2023-08-12,52
2023-08-19,50
2023-08-26,53
2023-09-02,52
2023-09-09,52
2023-09-16,53
2023-09-23,53
2023-09-30,54
2023-10-07,49
2023-10-14,52
2023-10-21,50
2023-10-28,50
2023-11-04,50
2023-11-11,50
2023-11-18,48
2023-11-25,50
2023-12-02,50
2023-12-09,51
2023-12-16,46
2023-12-23,41
2023-12-30,92
2024-01-06,93
2024-01-13,78
2024-01-20,71
2024-01-27,70
2024-02-03,65
2024-02-10,62
2024-02-17,61
2024-02-24,64
2024-03-02,62
2024-03-09,58
2024-03-16,59
2024-03-23,60
2024-03-30,57
2024-04-06,57
2024-04-13,58
2024-04-20,57
2024-04-27,60
2024-05-04,59
2024-05-11,58
2024-05-18,55
2024-05-25,51
