Search Term,vegan
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,24
2012-12-01,25
2012-12-08,26
2012-12-15,28
2012-12-22,29
2012-12-29,32
2013-01-05,31
2013-01-12,30
2013-01-19,30
2013-01-26,30
2013-02-02,31
2013-02-09,30
2013-02-16,31
2013-02-23,31
2013-03-02,29
2013-03-09,33
2013-03-16,32
2013-03-23,32
2013-03-30,28
2013-04-06,29
2013-04-13,28
2013-04-20,30
2013-04-27,30
2013-05-04,29
2013-05-11,28
2013-05-18,28
2013-05-25,31
2013-06-01,28
2013-06-08,29
2013-06-15,26
2013-06-22,29
2013-06-29,29
2013-07-06,30
2013-07-13,29
2013-07-20,30
2013-07-27,31
2013-08-03,31
2013-08-10,31
2013-08-17,29
2013-08-24,29
2013-08-31,29
2013-09-07,27
2013-09-14,28
2013-09-21,29
2013-09-28,28
2013-10-05,30
2013-10-12,30
2013-10-19,29
2013-10-26,31
2013-11-02,31
2013-11-09,31
2013-11-16,31
2013-11-23,35
2013-11-30,32
2013-12-07,32
2013-12-14,33
2013-12-21,34
2013-12-28,38
2014-01-04,37
2014-01-11,35
2014-01-18,34
2014-01-25,36
2014-02-01,34
2014-02-08,36
2014-02-15,34
2014-02-22,33
2014-03-01,36
2014-03-08,34
2014-03-15,35
2014-03-22,34
2014-03-29,34
2014-04-05,34
2014-04-12,38
2014-04-19,35
2014-04-26,35
2014-05-03,34
2014-05-10,33
2014-05-17,31
2014-05-24,30
2014-05-31,32
2014-06-07,32
2014-06-14,31
2014-06-21,31
2014-06-28,33
2014-07-05,33
2014-07-12,32
2014-07-19,34
2014-07-26,33
2014-08-02,34
2014-08-09,33
2014-08-16,32
2014-08-23,31
2014-08-30,32
2014-09-06,32
2014-09-13,32
2014-09-20,32
2014-09-27,34
2014-10-04,33
2014-10-11,32
2014-10-18,33
2014-10-25,33
2014-11-01,34
2014-11-08,34
2014-11-15,35
2014-11-22,38
2014-11-29,33
2014-12-06,34
2014-12-13,34
2014-12-20,39
2014-12-27,38
2015-01-03,36
2015-01-10,35
2015-01-17,35
2015-01-24,38
2015-01-31,39
2015-02-07,35
2015-02-14,38
2015-02-21,36
2015-02-28,36
2015-03-07,36
2015-03-14,36
2015-03-21,35
2015-03-28,38
2015-04-04,37
2015-04-11,35
2015-04-18,34
2015-04-25,36
2015-05-02,37
2015-05-09,37
2015-05-16,35
2015-05-23,36
2015-05-30,37
2015-06-06,42
2015-06-13,38
2015-06-20,36
2015-06-27,38
2015-07-04,37
2015-07-11,38
2015-07-18,39
2015-07-25,40
2015-08-01,40
2015-08-08,41
2015-08-15,40
2015-08-22,41
2015-08-29,39
2015-09-05,40
2015-09-12,38
2015-09-19,41
2015-09-26,41
2015-10-03,43
2015-10-10,43
2015-10-17,42
2015-10-24,46
2015-10-31,46
2015-11-07,46
2015-11-14,46
2015-11-21,46
2015-11-28,44
2015-12-05,45
2015-12-12,49
2015-12-19,53
2015-12-26,54
2016-01-02,50
2016-01-09,50
2016-01-16,51
2016-01-23,50
2016-01-30,51
2016-02-06,55
2016-02-13,53
2016-02-20,52
2016-02-27,51
2016-03-05,52
2016-03-12,53
2016-03-19,58
2016-03-26,53
2016-04-02,56
2016-04-09,55
2016-04-16,54
2016-04-23,55
2016-04-30,56
2016-05-07,55
2016-05-14,58
2016-05-21,57
2016-05-28,60
2016-06-04,59
2016-06-11,57
2016-06-18,54
2016-06-25,53
2016-07-02,54
2016-07-09,51
2016-07-16,53
2016-07-23,55
2016-07-30,55
2016-08-06,53
2016-08-13,52
2016-08-20,52
2016-08-27,53
2016-09-03,55
2016-09-10,52
2016-09-17,52
2016-09-24,52
2016-10-01,53
2016-10-08,53
2016-10-15,52
2016-10-22,59
2016-10-29,66
2016-11-05,58
2016-11-12,60
2016-11-19,70
2016-11-26,66
2016-12-03,65
2016-12-10,64
2016-12-17,75
2016-12-24,100
2016-12-31,67
