Search Term,vegetarian
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2016-11-26,63
2016-12-03,61
2016-12-10,65
2016-12-17,73
2016-12-24,70
2016-12-31,78
2017-01-07,70
2017-01-14,70
2017-01-21,68
2017-01-28,68
2017-02-04,66
2017-02-11,63
2017-02-18,65
2017-02-25,67
2017-03-04,66
2017-03-11,64
2017-03-18,65
2017-03-25,64
2017-04-01,66
2017-04-08,70
2017-04-15,60
2017-04-22,60
2017-04-29,60
2017-05-06,62
2017-05-13,61
2017-05-20,60
2017-05-27,65
2017-06-03,61
2017-06-10,62
2017-06-17,63
2017-06-24,66
2017-07-01,73
2017-07-08,73
2017-07-15,76
2017-07-22,74
2017-07-29,74
2017-08-05,77
2017-08-12,77
2017-08-19,70
2017-08-26,70
2017-09-02,71
2017-09-09,73
2017-09-16,69
2017-09-23,71
2017-09-30,77
2017-10-07,72
2017-10-14,71
2017-10-21,73
2017-10-28,70
2017-11-04,76
2017-11-11,76
2017-11-18,77
2017-11-25,69
2017-12-02,72
2017-12-09,70
2017-12-16,81
2017-12-23,82
2017-12-30,93
2018-01-06,82
2018-01-13,82
2018-01-20,81
2018-01-27,82
2018-02-03,75
2018-02-10,76
2018-02-17,77
2018-02-24,70
2018-03-03,71
2018-03-10,71
2018-03-17,70
2018-03-24,77
2018-03-31,70
2018-04-07,68
2018-04-14,67
2018-04-21,67
2018-04-28,68
2018-05-05,67
2018-05-12,67
2018-05-19,66
2018-05-26,67
2018-06-02,65
2018-06-09,75
2018-06-16,64
2018-06-23,62
2018-06-30,68
2018-07-07,66
2018-07-14,68
2018-07-21,67
2018-07-28,69
2018-08-04,70
2018-08-11,69
2018-08-18,69
2018-08-25,64
2018-09-01,69
2018-09-08,70
2018-09-15,67
2018-09-22,66
2018-09-29,73
2018-10-06,71
2018-10-13,70
2018-10-20,70
2018-10-27,69
2018-11-03,70
2018-11-10,73
2018-11-17,73
2018-11-24,69
2018-12-01,68
2018-12-08,69
2018-12-15,76
2018-12-22,79
2018-12-29,93
2019-01-05,79
2019-01-12,77
2019-01-19,77
2019-01-26,72
2019-02-02,75
2019-02-09,72
2019-02-16,70
2019-02-23,69
2019-03-02,72
2019-03-09,66
2019-03-16,71
2019-03-23,70
2019-03-30,69
2019-04-06,69
2019-04-13,73
2019-04-20,67
2019-04-27,67
2019-05-04,70
2019-05-11,67
2019-05-18,65
2019-05-25,65
2019-06-01,69
2019-06-08,69
2019-06-15,68
2019-06-22,65
2019-06-29,65
2019-07-06,67
2019-07-13,68
2019-07-20,64
2019-07-27,67
2019-08-03,69
2019-08-10,69
2019-08-17,70
2019-08-24,70
2019-08-31,68
2019-09-07,68
2019-09-14,69
2019-09-21,69
2019-09-28,75
2019-10-05,69
2019-10-12,70
2019-10-19,76
2019-10-26,82
2019-11-02,82
2019-11-09,85
2019-11-16,88
2019-11-23,85
2019-11-30,80
2019-12-07,77
2019-12-14,80
2019-12-21,86
2019-12-28,100
2020-01-04,97
2020-01-11,88
2020-01-18,88
2020-01-25,79
2020-02-01,78
2020-02-08,77
2020-02-15,76
2020-02-22,77
2020-02-29,74
