Search Term,cowspiracy: the sustainability secret
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2012-11-24,0
2012-12-01,0
2012-12-08,0
2012-12-15,0
2012-12-22,0
2012-12-29,0
2013-01-05,0
2013-01-12,0
2013-01-19,0
2013-01-26,0
2013-02-02,0
2013-02-09,0
2013-02-16,0
2013-02-23,0
2013-03-02,0
2013-03-09,0
2013-03-16,0
2013-03-23,0
2013-03-30,0
2013-04-06,0
2013-04-13,0
2013-04-20,0
2013-04-27,0
2013-05-04,0
2013-05-11,0
2013-05-18,0
2013-05-25,0
2013-06-01,0
2013-06-08,0
2013-06-15,0
2013-06-22,0
2013-06-29,0
2013-07-06,0
2013-07-13,0
2013-07-20,0
2013-07-27,0
2013-08-03,0
2013-08-10,0
2013-08-17,0
2013-08-24,0
2013-08-31,0
2013-09-07,0
2013-09-14,0
2013-09-21,0
2013-09-28,0
2013-10-05,0
2013-10-12,0
2013-10-19,0
2013-10-26,0
2013-11-02,0
2013-11-09,0
2013-11-16,0
2013-11-23,0
2013-11-30,0
2013-12-07,0
2013-12-14,0
2013-12-21,0
2013-12-28,0
2014-01-04,0
2014-01-11,0
2014-01-18,0
2014-01-25,0
2014-02-01,0
2014-02-08,0
2014-02-15,0
2014-02-22,0
2014-03-01,0
2014-03-08,0
2014-03-15,0
2014-03-22,0
2014-03-29,0
2014-04-05,0
2014-04-12,0
2014-04-19,1
2014-04-26,1
2014-05-03,0
2014-05-10,0
2014-05-17,0
2014-05-24,0
2014-05-31,1
2014-06-07,1
2014-06-14,2
2014-06-21,2
2014-06-28,1
2014-07-05,1
2014-07-12,4
2014-07-19,5
2014-07-26,3
2014-08-02,3
2014-08-09,5
2014-08-16,5
2014-08-23,7
2014-08-30,7
2014-09-06,6
2014-09-13,6
2014-09-20,7
2014-09-27,7
2014-10-04,6
2014-10-11,7
2014-10-18,6
2014-10-25,5
2014-11-01,7
2014-11-08,9
2014-11-15,11
2014-11-22,9
2014-11-29,10
2014-12-06,12
2014-12-13,8
2014-12-20,8
2014-12-27,9
2015-01-03,13
2015-01-10,13
2015-01-17,10
2015-01-24,9
2015-01-31,8
2015-02-07,7
2015-02-14,9
2015-02-21,11
2015-02-28,9
2015-03-07,7
2015-03-14,8
2015-03-21,9
2015-03-28,8
2015-04-04,15
2015-04-11,8
2015-04-18,18
2015-04-25,13
2015-05-02,10
2015-05-09,10
2015-05-16,9
2015-05-23,8
2015-05-30,9
2015-06-06,8
2015-06-13,7
2015-06-20,6
2015-06-27,6
2015-07-04,7
2015-07-11,6
2015-07-18,6
2015-07-25,7
2015-08-01,7
2015-08-08,7
2015-08-15,7
2015-08-22,8
2015-08-29,8
2015-09-05,17
2015-09-12,50
2015-09-19,100
2015-09-26,86
2015-10-03,67
2015-10-10,56
2015-10-17,43
2015-10-24,42
2015-10-31,50
2015-11-07,43
2015-11-14,38
2015-11-21,36
2015-11-28,41
2015-12-05,33
2015-12-12,32
2015-12-19,26
2015-12-26,30
2016-01-02,31
2016-01-09,29
2016-01-16,34
2016-01-23,35
2016-01-30,28
2016-02-06,27
2016-02-13,27
2016-02-20,27
2016-02-27,40
2016-03-05,28
2016-03-12,28
2016-03-19,26
2016-03-26,29
2016-04-02,26
2016-04-09,26
2016-04-16,28
2016-04-23,23
2016-04-30,23
2016-05-07,21
2016-05-14,23
2016-05-21,20
2016-05-28,22
2016-06-04,20
2016-06-11,14
2016-06-18,13
2016-06-25,14
2016-07-02,14
2016-07-09,13
2016-07-16,13
2016-07-23,14
2016-07-30,13
2016-08-06,13
2016-08-13,12
2016-08-20,14
2016-08-27,14
2016-09-03,15
2016-09-10,15
2016-09-17,15
2016-09-24,15
2016-10-01,14
2016-10-08,14
2016-10-15,14
2016-10-22,14
2016-10-29,22
2016-11-05,20
2016-11-12,17
2016-11-19,16
2016-11-26,16
2016-12-03,15
2016-12-10,14
2016-12-17,13
2016-12-24,14
2016-12-31,16
