Search Term,forks over knives
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,100
2020-02-01,93
2020-02-08,90
2020-02-15,95
2020-02-22,93
2020-02-29,83
2020-03-07,76
2020-03-14,61
2020-03-21,56
2020-03-28,59
2020-04-04,62
2020-04-11,65
2020-04-18,62
2020-04-25,65
2020-05-02,71
2020-05-09,71
2020-05-16,61
2020-05-23,58
2020-05-30,58
2020-06-06,57
2020-06-13,63
2020-06-20,62
2020-06-27,61
2020-07-04,72
2020-07-11,81
2020-07-18,75
2020-07-25,59
2020-08-01,65
2020-08-08,62
2020-08-15,58
2020-08-22,55
2020-08-29,58
2020-09-05,60
2020-09-12,51
2020-09-19,51
2020-09-26,54
2020-10-03,51
2020-10-10,50
2020-10-17,42
2020-10-24,50
2020-10-31,42
2020-11-07,44
2020-11-14,42
2020-11-21,44
2020-11-28,41
2020-12-05,41
2020-12-12,39
2020-12-19,46
2020-12-26,62
2021-01-02,58
2021-01-09,56
2021-01-16,53
2021-01-23,51
2021-01-30,49
2021-02-06,48
2021-02-13,48
2021-02-20,44
2021-02-27,45
2021-03-06,42
2021-03-13,42
2021-03-20,43
2021-03-27,49
2021-04-03,46
2021-04-10,45
2021-04-17,45
2021-04-24,43
2021-05-01,41
2021-05-08,44
2021-05-15,41
2021-05-22,45
2021-05-29,41
2021-06-05,44
2021-06-12,43
2021-06-19,40
2021-06-26,39
2021-07-03,40
2021-07-10,39
2021-07-17,39
2021-07-24,39
2021-07-31,38
2021-08-07,36
2021-08-14,39
2021-08-21,41
2021-08-28,37
2021-09-04,39
2021-09-11,36
2021-09-18,38
2021-09-25,39
2021-10-02,36
2021-10-09,38
2021-10-16,38
2021-10-23,34
2021-10-30,34
2021-11-06,38
2021-11-13,37
2021-11-20,35
2021-11-27,34
2021-12-04,34
2021-12-11,34
2021-12-18,33
2021-12-25,44
2022-01-01,51
2022-01-08,46
2022-01-15,41
2022-01-22,40
2022-01-29,40
2022-02-05,42
2022-02-12,39
2022-02-19,41
2022-02-26,29
2022-03-05,33
2022-03-12,35
2022-03-19,34
2022-03-26,34
2022-04-02,36
2022-04-09,36
2022-04-16,34
2022-04-23,34
2022-04-30,31
2022-05-07,31
2022-05-14,31
2022-05-21,30
2022-05-28,31
2022-06-04,30
2022-06-11,31
2022-06-18,30
2022-06-25,33
2022-07-02,34
2022-07-09,31
2022-07-16,32
2022-07-23,30
2022-07-30,34
2022-08-06,33
2022-08-13,34
2022-08-20,34
2022-08-27,32
2022-09-03,30
2022-09-10,29
2022-09-17,33
2022-09-24,31
2022-10-01,33
2022-10-08,32
2022-10-15,30
2022-10-22,30
2022-10-29,32
2022-11-05,34
2022-11-12,32
2022-11-19,30
2022-11-26,29
2022-12-03,28
2022-12-10,26
2022-12-17,30
2022-12-24,35
2022-12-31,38
2023-01-07,32
2023-01-14,38
2023-01-21,35
2023-01-28,30
2023-02-04,32
2023-02-11,29
2023-02-18,29
2023-02-25,28
2023-03-04,28
2023-03-11,28
2023-03-18,30
2023-03-25,33
2023-04-01,28
2023-04-08,26
2023-04-15,30
2023-04-22,29
2023-04-29,28
2023-05-06,26
2023-05-13,27
2023-05-20,24
2023-05-27,25
2023-06-03,27
2023-06-10,28
2023-06-17,23
2023-06-24,25
2023-07-01,28
2023-07-08,24
2023-07-15,23
2023-07-22,26
2023-07-29,25
2023-08-05,23
2023-08-12,25
2023-08-19,23
2023-08-26,25
2023-09-02,22
2023-09-09,22
2023-09-16,24
2023-09-23,23
2023-09-30,23
2023-10-07,21
2023-10-14,22
2023-10-21,23
2023-10-28,20
2023-11-04,21
2023-11-11,22
2023-11-18,21
2023-11-25,20
2023-12-02,21
2023-12-09,19
2023-12-16,23
2023-12-23,24
2023-12-30,38
2024-01-06,35
2024-01-13,33
2024-01-20,30
2024-01-27,28
2024-02-03,32
2024-02-10,27
2024-02-17,29
2024-02-24,26
2024-03-02,25
2024-03-09,21
2024-03-16,23
2024-03-23,26
2024-03-30,22
2024-04-06,20
2024-04-13,17
2024-04-20,21
2024-04-27,24
2024-05-04,21
2024-05-11,20
2024-05-18,21
2024-05-25,20
