,Search Term,the game changers
0,2016-11-26,0.0
1,2016-12-03,0.0
2,2016-12-10,0.0
3,2016-12-17,0.0
4,2016-12-24,0.0
5,2016-12-31,0.0
6,2017-01-07,0.0
7,2017-01-14,0.0
8,2017-01-21,0.0
9,2017-01-28,0.0
10,2017-02-04,0.0
11,2017-02-11,0.0
12,2017-02-18,0.0
13,2017-02-25,0.0
14,2017-03-04,0.0
15,2017-03-11,0.0
16,2017-03-18,0.0
17,2017-03-25,0.0
18,2017-04-01,0.0
19,2017-04-08,0.0
20,2017-04-15,0.0
21,2017-04-22,0.0
22,2017-04-29,0.0
23,2017-05-06,0.0
24,2017-05-13,0.0
25,2017-05-20,0.0
26,2017-05-27,0.0
27,2017-06-03,0.0
28,2017-06-10,0.0
29,2017-06-17,0.0
30,2017-06-24,0.0
31,2017-07-01,0.0
32,2017-07-08,0.0
33,2017-07-15,0.0
34,2017-07-22,0.0
35,2017-07-29,0.0
36,2017-08-05,0.0
37,2017-08-12,0.0
38,2017-08-19,0.0
39,2017-08-26,0.0
40,2017-09-02,0.0
41,2017-09-09,0.0
42,2017-09-16,0.0
43,2017-09-23,0.0
44,2017-09-30,0.0
45,2017-10-07,0.0
46,2017-10-14,0.0
47,2017-10-21,0.0
48,2017-10-28,0.0
49,2017-11-04,0.0
50,2017-11-11,0.0
51,2017-11-18,0.0
52,2017-11-25,0.0
53,2017-12-02,0.0
54,2017-12-09,0.0
55,2017-12-16,0.0
56,2017-12-23,0.0
57,2017-12-30,0.0
58,2018-01-06,0.0
59,2018-01-13,0.0
60,2018-01-20,0.0
61,2018-01-27,0.0
62,2018-02-03,0.0
63,2018-02-10,0.0
64,2018-02-17,0.0
65,2018-02-24,0.0
66,2018-03-03,0.0
67,2018-03-10,0.0
68,2018-03-17,0.0
69,2018-03-24,0.0
70,2018-03-31,0.0
71,2018-04-07,0.0
72,2018-04-14,0.0
73,2018-04-21,1.0
74,2018-04-28,1.0
75,2018-05-05,2.0
76,2018-05-12,1.0
77,2018-05-19,1.0
78,2018-05-26,2.0
79,2018-06-02,2.0
80,2018-06-09,1.0
81,2018-06-16,1.0
82,2018-06-23,1.0
83,2018-06-30,1.0
84,2018-07-07,1.0
85,2018-07-14,1.0
86,2018-07-21,1.0
87,2018-07-28,1.0
88,2018-08-04,1.0
89,2018-08-11,1.0
90,2018-08-18,1.0
91,2018-08-25,1.0
92,2018-09-01,1.0
93,2018-09-08,1.0
94,2018-09-15,1.0
95,2018-09-22,1.0
96,2018-09-29,2.0
97,2018-10-06,1.0
98,2018-10-13,1.0
99,2018-10-20,1.0
100,2018-10-27,1.0
101,2018-11-03,1.0
102,2018-11-10,1.0
103,2018-11-17,1.0
104,2018-11-24,2.0
105,2018-12-01,2.0
106,2018-12-08,1.0
107,2018-12-15,1.0
108,2018-12-22,1.0
109,2018-12-29,2.0
110,2019-01-05,2.0
111,2019-01-12,2.0
112,2019-01-19,1.0
113,2019-01-26,2.0
114,2019-02-02,1.0
115,2019-02-09,2.0
116,2019-02-16,1.0
117,2019-02-23,1.0
118,2019-03-02,1.0
119,2019-03-09,1.0
120,2019-03-16,2.0
121,2019-03-23,1.0
122,2019-03-30,1.0
123,2019-04-06,1.0
124,2019-04-13,1.0
125,2019-04-20,1.0
126,2019-04-27,1.0
127,2019-05-04,2.0
128,2019-05-11,1.0
129,2019-05-18,1.0
130,2019-05-25,1.0
131,2019-06-01,1.0
132,2019-06-08,1.0
133,2019-06-15,1.0
134,2019-06-22,4.0
135,2019-06-29,5.0
136,2019-07-06,2.9999999999999996
137,2019-07-13,2.9999999999999996
138,2019-07-20,2.9999999999999996
139,2019-07-27,2.9999999999999996
140,2019-08-03,2.9999999999999996
141,2019-08-10,2.9999999999999996
142,2019-08-17,4.0
143,2019-08-24,5.999999999999999
144,2019-08-31,8.0
145,2019-09-07,11.999999999999998
146,2019-09-14,36.99999999999999
147,2019-09-21,13.0
148,2019-09-28,16.0
149,2019-10-05,19.0
150,2019-10-12,41.0
151,2019-10-19,99.0
152,2019-10-26,100.0
153,2019-11-02,90.99999999999999
154,2019-11-09,79.0
155,2019-11-16,78.0
156,2019-11-23,64.99999999999999
157,2019-11-30,54.99999999999999
158,2019-12-07,44.99999999999999
159,2019-12-14,36.99999999999999
160,2019-12-21,32.0
161,2019-12-28,46.0
162,2020-01-04,41.0
163,2020-01-11,35.0
164,2020-01-18,32.99999999999999
165,2020-01-25,24.625267665952894
166,2020-02-01,21.17773019271949
167,2020-02-08,18.96145610278373
168,2020-02-15,17.976445396145614
169,2020-02-22,16.745182012847966
170,2020-02-29,15.513918629550325
171,2020-03-07,12.312633832976447
172,2020-03-14,10.588865096359745
173,2020-03-21,10.342612419700217
174,2020-03-28,9.850107066381158
175,2020-04-04,9.850107066381158
176,2020-04-11,9.60385438972163
177,2020-04-18,9.850107066381158
178,2020-04-25,10.588865096359745
179,2020-05-02,10.096359743040686
180,2020-05-09,9.357601713062099
181,2020-05-16,9.11134903640257
182,2020-05-23,8.618843683083513
183,2020-05-30,7.6338329764453965
184,2020-06-06,7.387580299785869
185,2020-06-13,7.387580299785869
186,2020-06-20,8.126338329764456
187,2020-06-27,8.126338329764456
188,2020-07-04,7.6338329764453965
189,2020-07-11,7.6338329764453965
190,2020-07-18,8.618843683083513
191,2020-07-25,7.6338329764453965
