Search Term,the game changers
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,100
2020-02-01,86
2020-02-08,77
2020-02-15,73
2020-02-22,68
2020-02-29,63
2020-03-07,50
2020-03-14,43
2020-03-21,42
2020-03-28,40
2020-04-04,40
2020-04-11,39
2020-04-18,40
2020-04-25,43
2020-05-02,41
2020-05-09,38
2020-05-16,37
2020-05-23,35
2020-05-30,31
2020-06-06,30
2020-06-13,30
2020-06-20,33
2020-06-27,33
2020-07-04,31
2020-07-11,31
2020-07-18,35
2020-07-25,31
2020-08-01,31
2020-08-08,30
2020-08-15,31
2020-08-22,28
2020-08-29,26
2020-09-05,26
2020-09-12,25
2020-09-19,27
2020-09-26,27
2020-10-03,28
2020-10-10,24
2020-10-17,24
2020-10-24,23
2020-10-31,21
2020-11-07,22
2020-11-14,20
2020-11-21,21
2020-11-28,18
2020-12-05,25
2020-12-12,18
2020-12-19,20
2020-12-26,26
2021-01-02,27
2021-01-09,25
2021-01-16,24
2021-01-23,24
2021-01-30,23
2021-02-06,22
2021-02-13,24
2021-02-20,26
2021-02-27,24
2021-03-06,23
2021-03-13,23
2021-03-20,30
2021-03-27,31
2021-04-03,32
2021-04-10,35
2021-04-17,32
2021-04-24,30
2021-05-01,27
2021-05-08,25
2021-05-15,24
2021-05-22,25
2021-05-29,25
2021-06-05,22
2021-06-12,22
2021-06-19,20
2021-06-26,19
2021-07-03,20
2021-07-10,21
2021-07-17,23
2021-07-24,19
2021-07-31,18
2021-08-07,20
2021-08-14,21
2021-08-21,20
2021-08-28,19
2021-09-04,18
2021-09-11,18
2021-09-18,19
2021-09-25,18
2021-10-02,16
2021-10-09,17
2021-10-16,17
2021-10-23,15
2021-10-30,17
2021-11-06,17
2021-11-13,19
2021-11-20,19
2021-11-27,18
2021-12-04,17
2021-12-11,17
2021-12-18,16
2021-12-25,19
2022-01-01,27
2022-01-08,24
2022-01-15,19
2022-01-22,19
2022-01-29,22
2022-02-05,18
2022-02-12,19
2022-02-19,19
2022-02-26,17
2022-03-05,15
2022-03-12,17
2022-03-19,16
2022-03-26,16
2022-04-02,16
2022-04-09,14
2022-04-16,16
2022-04-23,18
2022-04-30,16
2022-05-07,18
2022-05-14,14
2022-05-21,15
2022-05-28,13
2022-06-04,13
2022-06-11,19
2022-06-18,20
2022-06-25,19
2022-07-02,14
2022-07-09,14
2022-07-16,15
2022-07-23,13
2022-07-30,14
2022-08-06,14
2022-08-13,14
2022-08-20,12
2022-08-27,12
2022-09-03,13
2022-09-10,12
2022-09-17,11
2022-09-24,12
2022-10-01,12
2022-10-08,13
2022-10-15,12
2022-10-22,11
2022-10-29,11
2022-11-05,11
2022-11-12,14
2022-11-19,12
2022-11-26,12
2022-12-03,11
2022-12-10,9
2022-12-17,9
2022-12-24,11
2022-12-31,13
2023-01-07,11
2023-01-14,12
2023-01-21,12
2023-01-28,11
2023-02-04,11
2023-02-11,10
2023-02-18,10
2023-02-25,12
2023-03-04,12
2023-03-11,11
2023-03-18,13
2023-03-25,20
2023-04-01,15
2023-04-08,19
2023-04-15,23
2023-04-22,17
2023-04-29,14
2023-05-06,12
2023-05-13,13
2023-05-20,11
2023-05-27,12
2023-06-03,13
2023-06-10,14
2023-06-17,13
2023-06-24,13
2023-07-01,12
2023-07-08,12
2023-07-15,12
2023-07-22,12
2023-07-29,12
2023-08-05,12
2023-08-12,13
2023-08-19,11
2023-08-26,11
2023-09-02,10
2023-09-09,10
2023-09-16,10
2023-09-23,10
2023-09-30,10
2023-10-07,10
2023-10-14,10
2023-10-21,10
2023-10-28,10
2023-11-04,10
2023-11-11,11
2023-11-18,11
2023-11-25,11
2023-12-02,12
2023-12-09,11
2023-12-16,9
2023-12-23,8
2023-12-30,14
2024-01-06,15
2024-01-13,12
2024-01-20,11
2024-01-27,11
2024-02-03,11
2024-02-10,10
2024-02-17,11
2024-02-24,9
2024-03-02,9
2024-03-09,9
2024-03-16,9
2024-03-23,8
2024-03-30,8
2024-04-06,8
2024-04-13,8
2024-04-20,8
2024-04-27,9
2024-05-04,9
2024-05-11,9
2024-05-18,11
2024-05-25,8
