,Search Term,what the health
0,2016-11-26,0.0
1,2016-12-03,0.0
2,2016-12-10,0.0
3,2016-12-17,0.0
4,2016-12-24,0.0
5,2016-12-31,0.0
6,2017-01-07,0.0
7,2017-01-14,0.0
8,2017-01-21,0.0
9,2017-01-28,0.0
10,2017-02-04,0.0
11,2017-02-11,0.0
12,2017-02-18,0.0
13,2017-02-25,0.0
14,2017-03-04,0.0
15,2017-03-11,0.0
16,2017-03-18,1.0
17,2017-03-25,1.0
18,2017-04-01,1.0
19,2017-04-08,4.0
20,2017-04-15,4.0
21,2017-04-22,4.0
22,2017-04-29,4.0
23,2017-05-06,4.0
24,2017-05-13,3.0
25,2017-05-20,2.0
26,2017-05-27,2.0
27,2017-06-03,3.0
28,2017-06-10,8.0
29,2017-06-17,37.99999999999999
30,2017-06-24,61.0
31,2017-07-01,74.0
32,2017-07-08,90.99999999999999
33,2017-07-15,99.0
34,2017-07-22,100.0
35,2017-07-29,81.0
36,2017-08-05,88.0
37,2017-08-12,59.0
38,2017-08-19,42.0
39,2017-08-26,41.0
40,2017-09-02,35.99999999999999
41,2017-09-09,32.99999999999999
42,2017-09-16,30.0
43,2017-09-23,26.0
44,2017-09-30,25.0
45,2017-10-07,24.0
46,2017-10-14,22.0
47,2017-10-21,21.0
48,2017-10-28,17.999999999999996
49,2017-11-04,17.999999999999996
50,2017-11-11,17.999999999999996
51,2017-11-18,10.0
52,2017-11-25,11.0
53,2017-12-02,15.0
54,2017-12-09,12.0
55,2017-12-16,12.0
56,2017-12-23,13.999999999999998
57,2017-12-30,18.999999999999996
58,2018-01-06,17.999999999999996
59,2018-01-13,17.0
60,2018-01-20,13.999999999999998
61,2018-01-27,13.999999999999998
62,2018-02-03,12.0
63,2018-02-10,12.0
64,2018-02-17,12.0
65,2018-02-24,11.0
66,2018-03-03,10.0
67,2018-03-10,10.0
68,2018-03-17,11.0
69,2018-03-24,10.0
70,2018-03-31,10.0
71,2018-04-07,11.0
72,2018-04-14,8.999999999999998
73,2018-04-21,8.999999999999998
74,2018-04-28,8.999999999999998
75,2018-05-05,8.999999999999998
76,2018-05-12,8.0
77,2018-05-19,6.999999999999999
78,2018-05-26,6.999999999999999
79,2018-06-02,6.999999999999999
80,2018-06-09,6.999999999999999
81,2018-06-16,6.999999999999999
82,2018-06-23,6.0
83,2018-06-30,6.0
84,2018-07-07,6.0
85,2018-07-14,6.0
86,2018-07-21,6.999999999999999
87,2018-07-28,6.999999999999999
88,2018-08-04,6.999999999999999
89,2018-08-11,6.0
90,2018-08-18,6.999999999999999
91,2018-08-25,6.0
92,2018-09-01,6.0
93,2018-09-08,6.0
94,2018-09-15,6.0
95,2018-09-22,6.0
96,2018-09-29,6.0
97,2018-10-06,6.0
98,2018-10-13,6.0
99,2018-10-20,6.0
100,2018-10-27,6.0
101,2018-11-03,6.0
102,2018-11-10,6.0
103,2018-11-17,5.0
104,2018-11-24,6.0
105,2018-12-01,5.0
106,2018-12-08,6.0
107,2018-12-15,5.0
108,2018-12-22,6.0
109,2018-12-29,8.0
110,2019-01-05,8.0
111,2019-01-12,6.999999999999999
112,2019-01-19,6.999999999999999
113,2019-01-26,8.0
114,2019-02-02,6.999999999999999
115,2019-02-09,6.999999999999999
116,2019-02-16,6.999999999999999
117,2019-02-23,6.999999999999999
118,2019-03-02,6.999999999999999
119,2019-03-09,6.0
120,2019-03-16,6.999999999999999
121,2019-03-23,6.0
122,2019-03-30,6.0
123,2019-04-06,6.0
124,2019-04-13,6.0
125,2019-04-20,6.0
126,2019-04-27,6.999999999999999
127,2019-05-04,6.0
128,2019-05-11,6.0
129,2019-05-18,6.0
130,2019-05-25,6.0
131,2019-06-01,5.0
132,2019-06-08,6.0
133,2019-06-15,5.0
134,2019-06-22,5.0
135,2019-06-29,5.0
136,2019-07-06,5.0
137,2019-07-13,6.0
138,2019-07-20,5.0
139,2019-07-27,6.0
140,2019-08-03,6.0
141,2019-08-10,6.0
142,2019-08-17,6.0
143,2019-08-24,5.0
144,2019-08-31,5.0
145,2019-09-07,6.0
146,2019-09-14,5.0
147,2019-09-21,5.0
148,2019-09-28,6.0
149,2019-10-05,5.0
150,2019-10-12,6.0
151,2019-10-19,6.999999999999999
152,2019-10-26,6.999999999999999
153,2019-11-02,8.0
154,2019-11-09,8.999999999999998
155,2019-11-16,8.0
156,2019-11-23,6.0
157,2019-11-30,6.0
158,2019-12-07,5.0
159,2019-12-14,6.0
160,2019-12-21,6.0
161,2019-12-28,6.999999999999999
162,2020-01-04,8.0
163,2020-01-11,8.0
164,2020-01-18,6.999999999999999
165,2020-01-25,6.588129496402878
166,2020-02-01,6.188848920863309
167,2020-02-08,6.52158273381295
168,2020-02-15,6.654676258992806
169,2020-02-22,5.523381294964029
170,2020-02-29,5.523381294964029
171,2020-03-07,4.79136690647482
172,2020-03-14,3.7266187050359707
173,2020-03-21,3.9928057553956835
174,2020-03-28,4.525179856115108
175,2020-04-04,4.658273381294964
176,2020-04-11,5.057553956834533
177,2020-04-18,4.8579136690647475
178,2020-04-25,5.323741007194244
179,2020-05-02,4.591726618705036
180,2020-05-09,4.991007194244604
181,2020-05-16,4.591726618705036
182,2020-05-23,4.525179856115108
183,2020-05-30,3.9262589928057556
184,2020-06-06,3.9928057553956835
185,2020-06-13,3.8597122302158273
186,2020-06-20,3.460431654676259
