Search Term,what the health
Geography,Worldwide
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2020-01-25,99
2020-02-01,93
2020-02-08,98
2020-02-15,100
2020-02-22,83
2020-02-29,83
2020-03-07,72
2020-03-14,56
2020-03-21,60
2020-03-28,68
2020-04-04,70
2020-04-11,76
2020-04-18,73
2020-04-25,80
2020-05-02,69
2020-05-09,75
2020-05-16,69
2020-05-23,68
2020-05-30,59
2020-06-06,60
2020-06-13,58
2020-06-20,52
2020-06-27,70
2020-07-04,64
2020-07-11,66
2020-07-18,68
2020-07-25,62
2020-08-01,66
2020-08-08,61
2020-08-15,70
2020-08-22,67
2020-08-29,65
2020-09-05,61
2020-09-12,68
2020-09-19,72
2020-09-26,61
2020-10-03,63
2020-10-10,56
2020-10-17,58
2020-10-24,52
2020-10-31,43
2020-11-07,47
2020-11-14,46
2020-11-21,44
2020-11-28,46
2020-12-05,40
2020-12-12,43
2020-12-19,38
2020-12-26,53
2021-01-02,62
2021-01-09,56
2021-01-16,54
2021-01-23,51
2021-01-30,50
2021-02-06,46
2021-02-13,51
2021-02-20,46
2021-02-27,53
2021-03-06,45
2021-03-13,46
2021-03-20,50
2021-03-27,69
2021-04-03,67
2021-04-10,71
2021-04-17,66
2021-04-24,62
2021-05-01,59
2021-05-08,54
2021-05-15,48
2021-05-22,49
2021-05-29,44
2021-06-05,42
2021-06-12,41
2021-06-19,35
2021-06-26,40
2021-07-03,38
2021-07-10,43
2021-07-17,40
2021-07-24,36
2021-07-31,40
2021-08-07,37
2021-08-14,42
2021-08-21,39
2021-08-28,39
2021-09-04,36
2021-09-11,38
2021-09-18,39
2021-09-25,37
2021-10-02,37
2021-10-09,32
2021-10-16,40
2021-10-23,36
2021-10-30,56
2021-11-06,42
2021-11-13,39
2021-11-20,35
2021-11-27,39
2021-12-04,36
2021-12-11,32
2021-12-18,29
2021-12-25,37
2022-01-01,51
2022-01-08,49
2022-01-15,45
2022-01-22,43
2022-01-29,44
2022-02-05,43
2022-02-12,41
2022-02-19,39
2022-02-26,34
2022-03-05,38
2022-03-12,35
2022-03-19,35
2022-03-26,39
2022-04-02,40
2022-04-09,36
2022-04-16,39
2022-04-23,35
2022-04-30,36
2022-05-07,31
2022-05-14,34
2022-05-21,35
2022-05-28,31
2022-06-04,34
2022-06-11,31
2022-06-18,33
2022-06-25,33
2022-07-02,37
2022-07-09,32
2022-07-16,31
2022-07-23,33
2022-07-30,33
2022-08-06,28
2022-08-13,29
2022-08-20,31
2022-08-27,29
2022-09-03,27
2022-09-10,25
2022-09-17,27
2022-09-24,29
2022-10-01,28
2022-10-08,25
2022-10-15,28
2022-10-22,32
2022-10-29,28
2022-11-05,27
2022-11-12,29
2022-11-19,26
2022-11-26,25
2022-12-03,26
2022-12-10,26
2022-12-17,24
2022-12-24,21
2022-12-31,39
2023-01-07,69
2023-01-14,70
2023-01-21,52
2023-01-28,42
2023-02-04,44
2023-02-11,34
2023-02-18,34
2023-02-25,37
2023-03-04,34
2023-03-11,32
2023-03-18,35
2023-03-25,30
2023-04-01,30
2023-04-08,33
2023-04-15,38
2023-04-22,32
2023-04-29,29
2023-05-06,40
2023-05-13,32
2023-05-20,28
2023-05-27,27
2023-06-03,29
2023-06-10,28
2023-06-17,26
2023-06-24,25
2023-07-01,22
2023-07-08,27
2023-07-15,24
2023-07-22,25
2023-07-29,24
2023-08-05,29
2023-08-12,33
2023-08-19,30
2023-08-26,26
2023-09-02,28
2023-09-09,21
2023-09-16,23
2023-09-23,22
2023-09-30,22
2023-10-07,28
2023-10-14,43
2023-10-21,45
2023-10-28,32
2023-11-04,26
2023-11-11,25
2023-11-18,25
2023-11-25,23
2023-12-02,20
2023-12-09,23
2023-12-16,18
2023-12-23,22
2023-12-30,31
2024-01-06,34
2024-01-13,33
2024-01-20,30
2024-01-27,33
2024-02-03,30
2024-02-10,27
2024-02-17,27
2024-02-24,26
2024-03-02,25
2024-03-09,21
2024-03-16,20
2024-03-23,22
2024-03-30,20
2024-04-06,14
2024-04-13,18
2024-04-20,18
2024-04-27,17
2024-05-04,19
2024-05-11,18
2024-05-18,16
2024-05-25,13
