Year,Month,Index
1988,1,100
1988,2,89.16
1988,3,94.55
1988,4,90.14
1988,5,90.74
1988,6,100.02
1988,7,96.98
1988,8,106.19
1988,9,95.93
1988,10,92.49
1988,11,87.86
1988,12,86.26
1989,1,94.53
1989,2,83.76
1989,3,88.31
1989,4,81.84
1989,5,91.89
1989,6,93.79
1989,7,89.59
1989,8,97.18
1989,9,87.56
1989,10,91.6
1989,11,89.38
1989,12,87.75
1990,1,93.44
1990,2,83.6
1990,3,92.22
1990,4,83.37
1990,5,93.46
1990,6,94.94
1990,7,93.34
1990,8,95.36
1990,9,86.46
1990,10,96.19
1990,11,87.27
1990,12,83.6
1991,1,92.24
1991,2,78.27
1991,3,81.96
1991,4,88.31
1991,5,90.66
1991,6,92.04
1991,7,95.43
1991,8,95.57
1991,9,90.88
1991,10,94.56
1991,11,81.47
1991,12,79.35
1992,1,94.83
1992,2,75.02
1992,3,84.91
1992,4,82.45
1992,5,87.94
1992,6,92.89
1992,7,90.05
1992,8,86.34
1992,9,84.22
1992,10,88.26
1992,11,74.63
1992,12,77.42
1993,1,91
1993,2,72.83
1993,3,84.72
1993,4,76.82
1993,5,81.13
1993,6,88.92
1993,7,87.51
1993,8,91.17
1993,9,87.8
1993,10,86.44
1993,11,80.1
1993,12,81.46
1994,1,90.39
1994,2,74.76
1994,3,84.71
1994,4,76.68
1994,5,81.49
1994,6,91.74
1994,7,84.97
1994,8,88.3
1994,9,86.72
1994,10,84.98
1994,11,77.23
1994,12,77.9
1995,1,83.52
1995,2,72.1
1995,3,81.83
1995,4,73.83
1995,5,82.81
1995,6,87.86
1995,7,82.21
1995,8,87.31
1995,9,82.78
1995,10,83.63
1995,11,76.99
1995,12,75.91
1996,1,83.7
1996,2,76.17
1996,3,76.67
1996,4,77.97
1996,5,82.67
1996,6,80.48
1996,7,81.71
1996,8,85.89
1996,9,72.26
1996,10,79.14
1996,11,70.68
1996,12,72.65
1997,1,83.1
1997,2,68.3
1997,3,75.6
1997,4,77.62
1997,5,83.3
1997,6,82.1
1997,7,80.5
1997,8,81.14
1997,9,77.02
1997,10,81.04
1997,11,69.1
1997,12,71.66
1998,1,79.66
1998,2,72.64
1998,3,76.09
1998,4,76.57
1998,5,74.94
1998,6,84.89
1998,7,80.11
1998,8,81.19
1998,9,79.64
1998,10,80.77
1998,11,69.82
1998,12,74.14
1999,1,78.49
1999,2,70.5
1999,3,80.82
1999,4,80.77
1999,5,78.78
1999,6,85.21
1999,7,81.3
1999,8,86.9
1999,9,76.47
1999,10,82.9
1999,11,74.11
1999,12,74.69
2000,1,80.22
2000,2,77.57
2000,3,83.61
2000,4,75.13
2000,5,84.47
2000,6,87.51
2000,7,79.28
2000,8,89.78
2000,9,82.06
2000,10,83.86
2000,11,78.09
2000,12,70.57
2001,1,83.3
2001,2,66.76
2001,3,77.15
2001,4,74.21
2001,5,86.84
2001,6,87.88
2001,7,84.08
2001,8,92.08
2001,9,78.32
2001,10,89.2
2001,11,82.63
2001,12,74.28
2002,1,87.05
2002,2,70.12
2002,3,75.46
2002,4,83.45
2002,5,87.75
2002,6,86.02
2002,7,91.29
2002,8,91.18
2002,9,79.47
2002,10,92.44
2002,11,76.44
2002,12,75.1
2003,1,84.44
2003,2,67.66
2003,3,74.39
2003,4,79.82
2003,5,84.4
2003,6,81.57
2003,7,85.21
2003,8,81.39
2003,9,83.66
2003,10,82.27
2003,11,70.18
2003,12,82.8
2004,1,91.34
2004,2,79.06
2004,3,89.91
2004,4,85.62
2004,5,86.95
2004,6,98.64
2004,7,94.59
2004,8,92.99
2004,9,89.65
2004,10,89.17
2004,11,83.46
2004,12,88.91
2005,1,78.1
2005,2,72.34
2005,3,88.5
2005,4,81.18
2005,5,89.39
2005,6,97.35
2005,7,90.07
2005,8,96.98
2005,9,87.96
2005,10,81.96
2005,11,80.21
2005,12,84.84
2006,1,85.08
2006,2,72.08
2006,3,89
2006,4,76.47
2006,5,87.96
2006,6,93.16
2006,7,85.44
2006,8,91.94
2006,9,80.8
2006,10,83.92
2006,11,86
2006,12,76.12
2007,1,83.41
2007,2,74.02
2007,3,81.07
2007,4,79.33
2007,5,88.1
2007,6,89.92
2007,7,87.21
2007,8,91.92
2007,9,77.49
2007,10,88.67
2007,11,79.65
2007,12,75.89
2008,1,79.49
2008,2,72.96
2008,3,76.77
2008,4,79.5
2008,5,84.4
2008,6,80.02
2008,7,81.81
2008,8,77.39
2008,9,78.36
2008,10,82.96
2008,11,72.11
2008,12,79.45
2009,1,77.42
2009,2,70.86
2009,3,78.46
2009,4,78.32
2009,5,78.05
2009,6,81.9
2009,7,80.27
2009,8,73.89
2009,9,76.26
2009,10,77.41
2009,11,68.16
2009,12,72.73
2010,1,71.23
2010,2,65.44
2010,3,76.5
2010,4,73.71
2010,5,71.85
2010,6,82.07
2010,7,78.04
2010,8,77.85
2010,9,75.66
2010,10,75.12
2010,11,73.25
2010,12,74.1
2011,1,72.27
2011,2,67.51
2011,3,75.32
2011,4,69.92
2011,5,72.72
2011,6,80.12
2011,7,69.75
2011,8,80.36
2011,9,73.37
2011,10,73.22
2011,11,72.25
2011,12,71.83
2012,1,76.65
2012,2,69.57
2012,3,79.37
2012,4,70.74
2012,5,79.41
2012,6,78.42
2012,7,75.71
2012,8,79.83
2012,9,67.32
2012,10,79.04
2012,11,76.56
2012,12,71.15
2013,1,82.89
2013,2,67.25
2013,3,75.57
2013,4,78.29
2013,5,76.93
2013,6,74.73
2013,7,77.46
2013,8,74.9
2013,9,71.63
2013,10,80.06
2013,11,72
2013,12,70.11
2014,1,75.5
2014,2,64.35
2014,3,74.15
2014,4,80.06
2014,5,77.29
2014,6,77.53
2014,7,81.07
2014,8,78.49
2014,9,85.5
2014,10,88.79
2014,11,77.6
2014,12,87.26
2015,1,89.87
2015,2,75.87
2015,3,85.56
2015,4,85.86
2015,5,83.08
2015,6,87.7
2015,7,86.97
2015,8,85.95
2015,9,92.02
2015,10,87.68
2015,11,76.04
2015,12,79.61
2016,1,82.36
2016,2,74.39
2016,3,84.48
2016,4,78.94
2016,5,80.69
2016,6,87.69
2016,7,79.95
2016,8,88.08
2016,9,84.77
2016,10,82.46
2016,11,80.44
2016,12,78.41
2017,1,76.17
2017,2,68.04
2017,3,81.77
2017,4,72.81
2017,5,78.91
2017,6,88.45
2017,7,83.21
2017,8,92.35
2017,9,81.95
2017,10,83.41
2017,11,79.49
2017,12,75.61
2018,1,82.5
2018,2,68.34
2018,3,78.54
2018,4,76.49
2018,5,82.88
2018,6,83.63
2018,7,83.6
2018,8,88.26
2018,9,76.85
2018,10,85.25
2018,11,80.63
2018,12,72.05
2019,1,84.26
2019,2,69.06
2019,3,75.86
2019,4,81.67
2019,5,84.33
2019,6,79.9
2019,7,87.55
2019,8,86.27
2019,9,77.19
2019,10,86.4
2019,11,82.9
2019,12,80.93
2020,1,86.4
2020,2,75.76
2020,3,89.33
2020,4,68.82
2020,5,78.62
2020,6,111.31
2020,7,103.57
2020,8,93.13
2020,9,91.79
2020,10,93.31
2020,11,82.65
2020,12,83.42
2021,1,83.87
2021,2,75.05
2021,3,89.4
2021,4,85.39
2021,5,80.4
2021,6,97.52
2021,7,92.13
2021,8,94.74
2021,9,94.94
2021,10,100.07
2021,11,98.18
2021,12,94.37
2022,1,93.71
2022,2,89.46
2022,3,100.63
2022,4,89.51
2022,5,86.21
2022,6,90.28
2022,7,82.79
2022,8,92.03
2022,9,89.93
2022,10,86.73
2022,11,88.29
2022,12,82.48
2023,1,91.69
2023,2,77.06
2023,3,88.34
2023,4,76.58
2023,5,87.51
2023,6,88.62
2023,7,85.39
2023,8,94.22
2023,9,88.28
2023,10,95.9
2023,11,92.23
2023,12,88.9
2024,1,101.15
2024,2,87.07
2024,3,84.14
