Year,Month,Index
1988,1,100
1988,2,89.09
1988,3,94.36
1988,4,89.65
1988,5,90.45
1988,6,100.08
1988,7,96.51
1988,8,105.81
1988,9,95.75
1988,10,91.35
1988,11,87.09
1988,12,85.2
1989,1,92.67
1989,2,81.15
1989,3,86.33
1989,4,79.9
1989,5,90.39
1989,6,92.49
1989,7,87.78
1989,8,95.26
1989,9,85.17
1989,10,90.12
1989,11,87.63
1989,12,85.85
1990,1,91.85
1990,2,80.51
1990,3,89.41
1990,4,80.94
1990,5,92.13
1990,6,92.5
1990,7,90.59
1990,8,93.03
1990,9,83.61
1990,10,93.97
1990,11,85.76
1990,12,81.69
1991,1,90.81
1991,2,75.99
1991,3,80.26
1991,4,86.67
1991,5,88.88
1991,6,89.41
1991,7,92.66
1991,8,92.46
1991,9,87.75
1991,10,91.16
1991,11,78.55
1991,12,76.56
1992,1,91.5
1992,2,72.84
1992,3,82.58
1992,4,80.42
1992,5,85.72
1992,6,91.2
1992,7,88.21
1992,8,84.02
1992,9,82.36
1992,10,86.21
1992,11,73.1
1992,12,75.98
1993,1,88.92
1993,2,71.7
1993,3,84.12
1993,4,75.86
1993,5,80.15
1993,6,87.46
1993,7,85.94
1993,8,89.01
1993,9,86.02
1993,10,84.28
1993,11,78.53
1993,12,79.14
1994,1,87.99
1994,2,72.78
1994,3,83.07
1994,4,74.77
1994,5,79.36
1994,6,89.72
1994,7,83.11
1994,8,86.24
1994,9,84.84
1994,10,82.69
1994,11,76.25
1994,12,76.38
1995,1,82.09
1995,2,71.05
1995,3,80.22
1995,4,72.9
1995,5,81.41
1995,6,87.11
1995,7,81.88
1995,8,86.83
1995,9,82.45
1995,10,83.2
1995,11,76.51
1995,12,75.02
1996,1,82.74
1996,2,75.02
1996,3,75.37
1996,4,77.3
1996,5,82.27
1996,6,80.17
1996,7,81.65
1996,8,85.82
1996,9,72.18
1996,10,79.22
1996,11,71.04
1996,12,72.58
1997,1,82.4
1997,2,67.58
1997,3,74.59
1997,4,77.07
1997,5,82.85
1997,6,81.52
1997,7,80.18
1997,8,80.58
1997,9,76.73
1997,10,80.34
1997,11,68.49
1997,12,71.15
1998,1,78.68
1998,2,71.5
1998,3,74.6
1998,4,75.68
1998,5,74.11
1998,6,84.43
1998,7,79.63
1998,8,80.41
1998,9,78.94
1998,10,79.92
1998,11,69.44
1998,12,73.95
1999,1,77.55
1999,2,69.4
1999,3,79.43
1999,4,80.02
1999,5,78.19
1999,6,84.66
1999,7,81.02
1999,8,86.79
1999,9,76.14
1999,10,82.08
1999,11,74.46
1999,12,75.04
2000,1,79.82
2000,2,76.59
2000,3,82.93
2000,4,75.05
2000,5,84.53
2000,6,87.33
2000,7,78.87
2000,8,89.22
2000,9,81.79
2000,10,83.49
2000,11,77.71
2000,12,70.13
2001,1,82.7
2001,2,66.88
2001,3,77.04
2001,4,74.85
2001,5,87.4
2001,6,88.46
2001,7,84.62
2001,8,92.11
2001,9,78.24
2001,10,88.9
2001,11,82.27
2001,12,73.29
2002,1,85.74
2002,2,68.76
2002,3,74.11
2002,4,82.33
2002,5,86.26
2002,6,85.03
2002,7,90.14
2002,8,90.35
2002,9,78.73
2002,10,90.37
2002,11,75.56
2002,12,74.4
2003,1,83.72
2003,2,67.11
2003,3,74.18
2003,4,80.49
2003,5,84.88
2003,6,81.43
2003,7,84.77
2003,8,81.62
2003,9,83.2
2003,10,83.45
2003,11,72.47
2003,12,83.71
2004,1,90.69
2004,2,78.46
2004,3,89.67
2004,4,86.44
2004,5,86.75
2004,6,99.02
2004,7,95.04
2004,8,93.3
2004,9,89.82
2004,10,88.89
2004,11,83.54
2004,12,89.58
2005,1,78.52
2005,2,72.33
2005,3,88.43
2005,4,82.21
2005,5,90.12
2005,6,97.65
2005,7,89.5
2005,8,96.32
2005,9,87.02
2005,10,81.95
2005,11,79.82
2005,12,84.48
2006,1,84.8
2006,2,72.03
2006,3,87.84
2006,4,76.12
2006,5,87.13
2006,6,91.79
2006,7,84.54
2006,8,91.08
2006,9,79.94
2006,10,82.75
2006,11,84.67
2006,12,74.9
2007,1,82.06
2007,2,73.16
2007,3,81.1
2007,4,79.79
2007,5,88.24
2007,6,89.31
2007,7,86.09
2007,8,90.56
2007,9,76.69
2007,10,87.61
2007,11,78.35
2007,12,74.67
2008,1,77.81
2008,2,71.63
2008,3,75.23
2008,4,78.31
2008,5,83.13
2008,6,78.97
2008,7,80.59
2008,8,76.82
2008,9,77.43
2008,10,82.01
2008,11,71.52
2008,12,78.53
2009,1,76.64
2009,2,69.73
2009,3,77.28
2009,4,77.06
2009,5,77.4
2009,6,81
2009,7,79.51
2009,8,73.32
2009,9,74.88
2009,10,75.94
2009,11,67.56
2009,12,72.08
2010,1,69.95
2010,2,63.95
2010,3,75.35
2010,4,73.01
2010,5,71.58
2010,6,81.27
2010,7,77.03
2010,8,76.55
2010,9,74.61
2010,10,74.1
2010,11,72.25
2010,12,72.58
2011,1,70.29
2011,2,65.36
2011,3,73.23
2011,4,68.46
2011,5,71.54
2011,6,78.44
2011,7,68.06
2011,8,78.97
2011,9,72.69
2011,10,72.26
2011,11,71.76
2011,12,70.85
2012,1,75.44
2012,2,68.11
2012,3,77.42
2012,4,68.9
2012,5,76.67
2012,6,75.23
2012,7,73.19
2012,8,76.82
2012,9,65.19
2012,10,76.25
2012,11,74.31
2012,12,69.1
2013,1,80.14
2013,2,64.89
2013,3,73.49
2013,4,76.33
2013,5,74.91
2013,6,72.78
2013,7,75.54
2013,8,73.11
2013,9,69.82
2013,10,78.1
2013,11,70.34
2013,12,67.89
2014,1,72.95
2014,2,61.97
2014,3,71.86
2014,4,77.56
2014,5,75.37
2014,6,75.25
2014,7,78.56
2014,8,76.04
2014,9,81.83
2014,10,84.51
2014,11,74.59
2014,12,83.11
2015,1,85.74
2015,2,71.57
2015,3,80.64
2015,4,82.1
2015,5,79.38
2015,6,83.16
2015,7,81.63
2015,8,81.03
2015,9,86.06
2015,10,82.25
2015,11,71.59
2015,12,74.06
2016,1,77.95
2016,2,70.17
2016,3,81.31
2016,4,75.45
2016,5,76.62
2016,6,84.15
2016,7,76.49
2016,8,82.56
2016,9,79.53
2016,10,77.41
2016,11,76.11
2016,12,73.71
2017,1,72.21
2017,2,65.48
2017,3,78.97
2017,4,70.35
2017,5,77.38
2017,6,85.53
2017,7,79.24
2017,8,87.54
2017,9,76.74
2017,10,78.69
2017,11,75.32
2017,12,71.48
2018,1,78.5
2018,2,65.57
2018,3,75.18
2018,4,73.36
2018,5,79.4
2018,6,79.26
2018,7,79.67
2018,8,84.5
2018,9,73.07
2018,10,80.79
2018,11,76.64
2018,12,68.46
2019,1,79.76
2019,2,65.88
2019,3,73
2019,4,78.25
2019,5,80.47
2019,6,76.57
2019,7,83.4
2019,8,82.11
2019,9,73.49
2019,10,81.22
2019,11,78.7
2019,12,76.13
2020,1,81.3
2020,2,71.23
2020,3,83.72
2020,4,65.01
2020,5,75.64
2020,6,102.04
2020,7,95.66
2020,8,86.9
2020,9,85.63
2020,10,87.28
2020,11,77.02
2020,12,77.73
2021,1,78.45
2021,2,70.19
2021,3,83.45
2021,4,81.01
2021,5,75.63
2021,6,92.35
2021,7,87.91
2021,8,91.01
2021,9,90.57
2021,10,94.08
2021,11,92.22
2021,12,88.84
2022,1,88.69
2022,2,84.64
2022,3,95.05
2022,4,84.89
2022,5,81.39
2022,6,85.46
2022,7,78.17
2022,8,86.7
2022,9,84.93
2022,10,81.31
2022,11,83.2
2022,12,78.13
2023,1,87.56
2023,2,73.5
2023,3,84.67
2023,4,74.04
2023,5,84.81
2023,6,85.69
2023,7,81.96
2023,8,89.55
2023,9,83.6
2023,10,89.54
2023,11,85.64
2023,12,82.67
2024,1,95.03
2024,2,81.71
2024,3,78.84
