Year,Month,Index
1988,1,100
1988,2,98.38
1988,3,108.1
1988,4,99.66
1988,5,102.58
1988,6,109.04
1988,7,98.91
1988,8,110.9
1988,9,110.71
1988,10,110.2
1988,11,102.83
1988,12,101.89
1989,1,109.11
1989,2,97.04
1989,3,113.11
1989,4,103.15
1989,5,121.65
1989,6,121.4
1989,7,106.61
1989,8,125.82
1989,9,111.25
1989,10,114.4
1989,11,106.4
1989,12,112.29
1990,1,120.52
1990,2,100.76
1990,3,115.44
1990,4,111.78
1990,5,121.82
1990,6,114.67
1990,7,114.3
1990,8,124.95
1990,9,103.11
1990,10,128.33
1990,11,113.48
1990,12,104.33
1991,1,122.69
1991,2,107.97
1991,3,107.82
1991,4,123.09
1991,5,125.78
1991,6,115.58
1991,7,125.26
1991,8,127.21
1991,9,114.48
1991,10,127.5
1991,11,103.26
1991,12,107.19
1992,1,127.83
1992,2,109.53
1992,3,118.2
1992,4,120.77
1992,5,119.24
1992,6,127.89
1992,7,128.94
1992,8,119.75
1992,9,123.21
1992,10,122.1
1992,11,104.43
1992,12,125.36
1993,1,121.6
1993,2,111.11
1993,3,127.45
1993,4,126.91
1993,5,116.73
1993,6,135.15
1993,7,117.46
1993,8,120.44
1993,9,124.41
1993,10,119.35
1993,11,116.37
1993,12,117.62
1994,1,125.42
1994,2,114.53
1994,3,124.07
1994,4,121.68
1994,5,124.35
1994,6,130.24
1994,7,118.21
1994,8,138.56
1994,9,128.27
1994,10,120.75
1994,11,117.09
1994,12,114.87
1995,1,121.8
1995,2,111.51
1995,3,129.52
1995,4,112.44
1995,5,132.38
1995,6,134.72
1995,7,103.54
1995,8,122.77
1995,9,118.84
1995,10,125.83
1995,11,118.17
1995,12,110.7
1996,1,141.57
1996,2,116.91
1996,3,123.39
1996,4,124.54
1996,5,121.89
1996,6,118.83
1996,7,121.72
1996,8,120.54
1996,9,116.72
1996,10,131.01
1996,11,99.06
1996,12,123.74
1997,1,135.79
1997,2,114.68
1997,3,119.85
1997,4,137.69
1997,5,127.94
1997,6,121
1997,7,123.87
1997,8,112.36
1997,9,122.86
1997,10,136.93
1997,11,107.39
1997,12,124.88
1998,1,127.92
1998,2,113.23
1998,3,128.17
1998,4,129.75
1998,5,113.28
1998,6,116.85
1998,7,123.39
1998,8,120.47
1998,9,140.04
1998,10,145.4
1998,11,128.86
1998,12,133.66
1999,1,136.29
1999,2,123.99
1999,3,154.56
1999,4,135.89
1999,5,138.53
1999,6,144.26
1999,7,133.07
1999,8,134.51
1999,9,135.05
1999,10,117.86
1999,11,122.62
1999,12,128.68
2000,1,130.88
2000,2,126.32
2000,3,149.56
2000,4,129.85
2000,5,147.24
2000,6,137.2
2000,7,125.38
2000,8,144.21
2000,9,127.11
2000,10,126.73
2000,11,129.57
2000,12,129.95
2001,1,124.33
2001,2,110.67
2001,3,132.22
2001,4,129.03
2001,5,147.79
2001,6,132.69
2001,7,129.34
2001,8,146.16
2001,9,123.71
2001,10,151.53
2001,11,124.72
2001,12,128.03
2002,1,145.34
2002,2,124.56
2002,3,143.6
2002,4,158.23
2002,5,149
2002,6,133.91
2002,7,149.21
2002,8,143.12
2002,9,143.31
2002,10,155.1
2002,11,120.03
2002,12,135.25
2003,1,141.46
2003,2,119.26
2003,3,132.01
2003,4,154.35
2003,5,144.26
2003,6,136.04
2003,7,149.71
2003,8,141.57
2003,9,147.49
2003,10,150
2003,11,116.08
2003,12,149.46
2004,1,143.8
2004,2,129.92
2004,3,161.34
2004,4,155.29
2004,5,148.99
2004,6,164.02
2004,7,146.42
2004,8,157.41
2004,9,159.69
2004,10,142.62
2004,11,138.5
2004,12,141.78
2005,1,141.99
2005,2,138.39
2005,3,161.92
2005,4,144.37
2005,5,150.59
2005,6,161.69
2005,7,145.13
2005,8,152.36
2005,9,161.52
2005,10,155.29
2005,11,154.26
2005,12,154.69
2006,1,155.54
2006,2,132.96
2006,3,147.45
2006,4,133.69
2006,5,150.25
2006,6,150.28
2006,7,131.7
2006,8,154.84
2006,9,144.15
2006,10,157.56
2006,11,131.03
2006,12,135.52
2007,1,143.58
2007,2,121.98
2007,3,140.26
2007,4,138.77
2007,5,157.92
2007,6,142.76
2007,7,148.79
2007,8,149.71
2007,9,135.32
2007,10,160.02
2007,11,137.71
2007,12,143.2
2008,1,159.56
2008,2,134.48
2008,3,140.46
2008,4,147.89
2008,5,142.55
2008,6,143.48
2008,7,143.03
2008,8,136.94
2008,9,141.72
2008,10,148.42
2008,11,119.4
2008,12,134.24
2009,1,123.66
2009,2,118.08
2009,3,135.08
2009,4,141.3
2009,5,130.35
2009,6,144.18
2009,7,144.33
2009,8,134.24
2009,9,138.45
2009,10,137.1
2009,11,127.29
2009,12,131.59
2010,1,132.33
2010,2,128.18
2010,3,142.25
2010,4,136.8
2010,5,142.18
2010,6,138.48
2010,7,142.57
2010,8,152.58
2010,9,146.46
2010,10,140.35
2010,11,138.14
2010,12,144.11
2011,1,145.77
2011,2,125.7
2011,3,151.19
2011,4,138.84
2011,5,147.17
2011,6,150.91
2011,7,129.24
2011,8,139.69
2011,9,136.47
2011,10,132.38
2011,11,122.18
2011,12,122.51
2012,1,141.67
2012,2,125.67
2012,3,132.92
2012,4,133
2012,5,150.04
2012,6,139.15
2012,7,139.28
2012,8,147.5
2012,9,124.53
2012,10,146.04
2012,11,131.28
2012,12,123.72
2013,1,151.96
2013,2,124.77
2013,3,125.02
2013,4,144.45
2013,5,145.75
2013,6,128.15
2013,7,147.25
2013,8,147.15
2013,9,135.47
2013,10,157.11
2013,11,127.9
2013,12,135.25
2014,1,139.7
2014,2,130.46
2014,3,127.75
2014,4,142.13
2014,5,139.92
2014,6,138
2014,7,147.92
2014,8,139.63
2014,9,145.45
2014,10,157.7
2014,11,130.51
2014,12,153.11
2015,1,153.6
2015,2,136.39
2015,3,151.86
2015,4,151.18
2015,5,141.24
2015,6,153.94
2015,7,162.61
2015,8,158.28
2015,9,163
2015,10,162.26
2015,11,143.52
2015,12,152.27
2016,1,144.77
2016,2,142.64
2016,3,158.19
2016,4,147.46
2016,5,153.71
2016,6,159.13
2016,7,141.88
2016,8,158.8
2016,9,150.56
2016,10,151.12
2016,11,146.95
2016,12,141.61
2017,1,151.55
2017,2,136.82
2017,3,153.74
2017,4,142.84
2017,5,159.97
2017,6,158.63
2017,7,145.02
2017,8,165.36
2017,9,153.74
2017,10,162.4
2017,11,149.91
2017,12,142.64
2018,1,158.76
2018,2,140.96
2018,3,146.56
2018,4,148.31
2018,5,165.91
2018,6,151.84
2018,7,156.84
2018,8,172.06
2018,9,147.6
2018,10,165.84
2018,11,144.08
2018,12,132.7
2019,1,159.18
2019,2,140.11
2019,3,143.47
2019,4,157.19
2019,5,161.18
2019,6,152.13
2019,7,167.6
2019,8,167.99
2019,9,160.45
2019,10,178.1
2019,11,142.41
2019,12,156.6
2020,1,170.05
2020,2,141.91
2020,3,162.13
2020,4,157.17
2020,5,149.69
2020,6,168.66
2020,7,164.45
2020,8,161.47
2020,9,168.33
2020,10,162.97
2020,11,143.21
2020,12,158.66
2021,1,151.11
2021,2,135.03
2021,3,169.68
2021,4,158.37
2021,5,154.86
2021,6,172.65
2021,7,161.84
2021,8,166.94
2021,9,173.96
2021,10,164.98
2021,11,157.01
2021,12,159.53
2022,1,163.52
2022,2,147
2022,3,173.85
2022,4,154.44
2022,5,164.43
2022,6,176.84
2022,7,167.02
2022,8,194.69
2022,9,182.8
2022,10,179.97
2022,11,174.15
2022,12,171.16
2023,1,169.1
2023,2,153.34
2023,3,172.96
2023,4,150.18
2023,5,177.71
2023,6,177
2023,7,162.28
2023,8,182.56
2023,9,167.95
2023,10,186.07
2023,11,167.8
2023,12,151.89
2024,1,173.49
2024,2,160.3
2024,3,155.9
