Year,Month,Index
1988,1,100
1988,2,95.82
1988,3,111.94
1988,4,105.18
1988,5,96.46
1988,6,95.34
1988,7,87.16
1988,8,95.94
1988,9,114.01
1988,10,123.03
1988,11,123.68
1988,12,116.92
1989,1,110.35
1989,2,100.36
1989,3,112.57
1989,4,111.71
1989,5,107.86
1989,6,97.98
1989,7,85.59
1989,8,101.23
1989,9,107.46
1989,10,112.48
1989,11,115.83
1989,12,101.23
1990,1,110.9
1990,2,101.31
1990,3,107.62
1990,4,104.62
1990,5,103.11
1990,6,94.48
1990,7,91.36
1990,8,107.45
1990,9,101.84
1990,10,116.47
1990,11,112.14
1990,12,110.37
1991,1,113.35
1991,2,99.74
1991,3,105.73
1991,4,113.99
1991,5,102.75
1991,6,89.85
1991,7,93.92
1991,8,104.35
1991,9,103.57
1991,10,120.65
1991,11,112.39
1991,12,110.26
1992,1,118.67
1992,2,100.07
1992,3,112.04
1992,4,104.41
1992,5,94.68
1992,6,97.01
1992,7,101.98
1992,8,99.1
1992,9,114.46
1992,10,117.81
1992,11,107.59
1992,12,111.72
1993,1,107.08
1993,2,96.56
1993,3,108.26
1993,4,111.96
1993,5,94.34
1993,6,98.15
1993,7,96.39
1993,8,99.03
1993,9,105.98
1993,10,109.88
1993,11,108.8
1993,12,110.06
1994,1,105.32
1994,2,93.96
1994,3,115.85
1994,4,107.65
1994,5,102.15
1994,6,99.46
1994,7,91.46
1994,8,103.68
1994,9,106.48
1994,10,116.46
1994,11,112.93
1994,12,111.36
1995,1,105.9
1995,2,92.18
1995,3,114.71
1995,4,97.12
1995,5,104.89
1995,6,98
1995,7,86.05
1995,8,97.68
1995,9,94.84
1995,10,106.99
1995,11,112.46
1995,12,102.1
1996,1,109
1996,2,95.4
1996,3,93.03
1996,4,97.89
1996,5,91.77
1996,6,79.94
1996,7,90.77
1996,8,97.29
1996,9,99.59
1996,10,109.22
1996,11,96.55
1996,12,96.97
1997,1,103.8
1997,2,94.32
1997,3,98.96
1997,4,99.45
1997,5,86.35
1997,6,86.85
1997,7,88.99
1997,8,88.58
