Outcome,FOK_se,Cowspiracy_se,Okja/WTH_se,TGC_se,YAWYE_se,All_se,FOK_pe,Cowspiracy_pe,Okja/WTH_pe,TGC_pe,YAWYE_pe,All_pe,FOK_pval,Cowspiracy_pval,Okja/WTH_pval,TGC_pval,YAWYE_pval,All_pval
Searches: `Plant based',0.05859049467947151,0.05486409243422031,0.05390259913793541,0.058493034586971686,0.06206949976175233,0.059373830394096924,-0.020234519626754304,-0.005153856885276749,0.2084675953130964,0.23795114760235425,-0.047345414170798475,0.20548362758638905,0.7301699344852091,0.9252466401362075,0.00014627804019432114,6.687109182947284e-05,0.4464501839597299,0.0006477815849554535
Searches: `Vegan',0.06036116711171914,0.056451190302904124,0.058371340422385225,0.060477033874167946,0.06333046481283414,0.05896037292311922,-0.02944630370474726,0.024322637871456398,0.3517578623921991,0.19573279834666582,0.006863930473466193,0.3660191656377249,0.626170683758022,0.6670069118514257,7.342319614934666e-09,0.00140420368919349,0.9137955628694198,2.6765037354306114e-09
Searches: `Vegetarian',0.04454738531380692,0.04107926779924127,0.04106305139284682,0.04242856795225173,0.04629752470577365,0.04158214609461926,-0.009748325197401616,0.016049851608867977,0.11319666604771947,0.11445606317236356,-0.02115819032122019,0.1359703428247871,0.8269926354266633,0.6964080589821571,0.006348636552684331,0.00754578976481868,0.6481399886493414,0.0012502163914441644
Beef Demand,0.043902990775712886,0.04114435138289452,0.039819412023826724,0.04202267228537008,0.05333031657130886,0.038846952217976245,0.01074266348371573,-0.034523543914952326,0.07354695059964035,0.024865255726631647,0.004049068747366158,0.0839085699598238,0.8069346780920585,0.4023766298363406,0.06615221561433393,0.5546809248460496,0.9395522730646966,0.03187550684207157
Pork Demand,0.04401602255397893,0.04115848381710804,0.03960135991068028,0.041654013067914886,0.054671511086081696,0.038759167757800285,0.026223653326829768,-0.06537068846264564,0.060715179968666905,0.001983290800131222,0.047409672942045594,0.05962509194597733,0.5519669934017162,0.11373027313384723,0.12674181493331696,0.9620695718489424,0.3868463714194086,0.12542712368361708
Chicken Demand,0.04365407440666822,0.04077858600163844,0.03927758714869857,0.04102568031955685,0.055386279113179414,0.03850549873265599,-0.0024422620962721063,-0.036788151460582695,0.024417374890108486,-0.034386318576502095,0.047107670503544204,0.02655275853833853,0.9554381770291667,0.368013999445333,0.5348385682225805,0.4028906124342636,0.39600871882372957,0.4911962700397735
StewartMilk,,0.06397246893859015,0.08123866236025623,,,0.06628337129066424,,-0.019494223742100556,0.07425626714127313,,,-0.016619230990974683,,0.7626771086514993,0.3679784396460417,,,0.8035318968425534
StewartPBMilk,,0.04501406360698224,0.05903569728169938,,,0.056666167776588304,,-0.061804392830665356,0.1327411939050556,,,0.03153537307766835,,0.17992825245219946,0.03204605706241346,,,0.5815059524431064
Zhao,,,0.3445695869935098,0.11857158624538724,,0.06095114813159004,,,0.10641754361740235,0.07258290573741322,,0.04758735857039993,,,0.7678845495253563,0.5629058280336815,,0.4500797499584891
"Searches: `Vegan', Informative",0.06208800833538548,0.05809214758617307,0.05913174365976573,0.06178783941067363,0.06525636975035695,0.05918987014332586,-0.035044498586437337,0.030658142700998144,0.308471244755981,0.17967546490139014,0.015017799302321822,0.3249550247328847,0.573056415699268,0.5982246406687202,4.324596265231642e-07,0.004025300501820387,0.8182105947338869,1.1127937126516977e-07
"Searches: `Vegetarian', Informative",0.04773940019386653,0.044265523105467774,0.04376861407040226,0.0453182387174129,0.05013521823077995,0.04461240252333186,0.01774810434633951,0.005415315012011033,0.0882930368666065,0.1328201520932,-0.025029962319000065,0.12458502433097769,0.710434987369002,0.9027479533091838,0.04492833377515225,0.0037510752044195264,0.6181265276522471,0.005693266784578476
"Searches: `Plant based', Informative",0.058855115602421994,0.05519743578787868,0.05410329325910919,0.05867439209952432,0.06254891189824767,0.059150492453753624,-0.01974538026392921,-0.00392832448958938,0.20227120457494965,0.22889641589809903,-0.04198186868401274,0.20533118124680816,0.7375862538159157,0.9433306594785416,0.0002380502908279,0.00012854861442991483,0.5028405021473952,0.0006242756023841423
"Searches: `Vegan', Behavior",0.055097217546788584,0.05202932411727044,0.05418672203444091,0.055996206090109815,0.05819325316315434,0.056412514157943135,0.0011574421946291447,-0.013801742293007464,0.3666811140937895,0.1859737384457087,-0.05447354842747003,0.36513939954655006,0.983259613736848,0.7910603636927632,1.263482461442769e-10,0.0010554502370700338,0.3503071435852677,6.273473888917215e-10
"Searches: `Vegetarian', Behavior",0.046287987111738545,0.04308070798974848,0.04314570072989969,0.044613777974287026,0.048349521579718974,0.04254432968185252,-0.0459877724934861,0.029960177646240496,0.11108246884798036,0.044252024977632025,-0.013533518654977102,0.11184832347573406,0.32159204619403,0.4875393065199296,0.010716940423688613,0.3223812303626279,0.7798220080943947,0.009173651373998781
"Searches: `Plant based', Behavior",0.05812858200940876,0.0544392796242085,0.05413312367797878,0.05754467362015072,0.0619365799113102,0.06169149160543793,-0.015464521929282948,-0.01966282910777627,0.24609801993790031,0.284991679207754,-0.09830654931911494,0.2207586910164975,0.7904670359612875,0.7183183931905557,9.178923116905267e-06,1.494350002833874e-06,0.11396892239233532,0.00042594104803997705
