Outcome,FOK_se,Cowspiracy_se,Okja_se,WTH_se,TGC_se,YAWYE_se,All_se,FOK_pe,Cowspiracy_pe,Okja_pe,WTH_pe,TGC_pe,YAWYE_pe,All_pe,FOK_pval,Cowspiracy_pval,Okja_pval,WTH_pval,TGC_pval,YAWYE_pval,All_pval
Searches: `Plant based',0.029704954021117776,0.030412739372587764,0.030047734842358665,0.02835949885490774,0.028424277888239025,0.028314575679201436,0.02605268668867255,0.24452902343302027,0.042559823910147274,0.09429384812646927,0.2473102611852182,0.3938465102232801,0.3736950036512407,0.43339389150241975,5.364323584848535e-16,0.16198302437108983,0.0017471557870244502,1.0524031910342002e-17,2.9865984948855884e-40,6.162935384462612e-37,2.1510479467429205e-55
Searches: `Vegan',0.02803427805788141,0.027127200441343806,0.02634273616126879,0.024763989251302874,0.028684566985992116,0.027809640925917777,0.025112120130647984,0.08403143733602111,-0.022508990622204454,0.055986361406049574,0.11292722333046502,0.09156130515536932,0.06423636856772923,0.13768974130076006,0.002785829424285209,0.40686270594974727,0.03379168881050604,5.707054345229875e-06,0.0014543953086653993,0.021087154098768157,5.2254103742844535e-08
Searches: `Vegetarian',0.02858213302027357,0.028085135437302837,0.027387593274097326,0.026256631056129767,0.029491382255523557,0.02871753950993749,0.02638351085036974,0.1427673666670047,-0.006338847346624257,0.04795733192911826,0.08092429265074591,0.0809114441031879,0.05685030218616751,0.13113592324349402,6.876407292229682e-07,0.8214773313597266,0.08022445997002714,0.0021088217538378726,0.0061800906657648496,0.04800244927591507,7.786711634699051e-07
StewartMilk,,0.031712838058194796,0.031517996235888815,0.032625937290070885,,,0.03722756859748944,,0.0067401749299400284,-0.013180672947190213,0.00045388926587836876,,,-0.021109449083909923,,0.8318566735213705,0.6761550312613244,0.9889110915393071,,,0.5711851638118297
StewartPBMilk,,0.023432587512268187,0.024111903719468766,0.027483352018395215,,,0.0317709777260627,,0.023083999052452134,-0.00011994388533301736,-0.007263167534696993,,,-0.016124970612597,,0.32549341073938,0.9960348395954819,0.7917805220391819,,,0.6122145209386617
Zhao,,,0.03114276935672396,0.032411056563894106,0.02915994690131648,,0.034550093980936905,,,0.004634854485590083,-0.004067744985219368,-0.037687620950284606,,-0.022606179572280203,,,0.8818584495148898,0.9002647273795803,0.19786906789563166,,0.5137573334967476
"Searches: `Vegan', Informative",0.027227653350533093,0.02617040434400001,0.02534573227697321,0.023886259777176372,0.027920253646066203,0.026962193892740023,0.024247516796652564,0.062206260978687075,-0.013948470889806082,0.05038053243330934,0.08853053689513549,0.07698926905120049,0.039738679332708894,0.11016831419494354,0.02252879200270302,0.5941545747793828,0.04709800450927671,0.00022114095077152476,0.005925044979039678,0.14081411079607556,6.167777237119596e-06
"Searches: `Vegetarian', Informative",0.02771130513824265,0.026907588457771362,0.026137175118833362,0.024951774327478485,0.028590998509665424,0.02767471121527678,0.025183044825314835,0.10834341089961343,0.0007719227917129498,0.04156572676410433,0.05938653381997972,0.06837680231676532,0.03656869711725127,0.10148408220646216,9.826802618510606e-05,0.9771188844601826,0.11206701740773588,0.01748604466886148,0.01695076591781235,0.1866609179063279,5.9794812482445584e-05
"Searches: `Plant based', Informative",0.029574324517945727,0.03005972665403582,0.029535909179606305,0.027703154808105035,0.028450703630440277,0.028460558213338028,0.02569692721146827,0.2335262633069984,0.03954989955883375,0.09766216473211056,0.24220958628610348,0.38087011169198093,0.3386231057743827,0.4109878688320663,7.140384147357881e-15,0.1885554298499166,0.0009761587620870291,8.741852075029077e-18,7.063614022197208e-38,9.898439863385846e-31,9.558028903908308e-52
"Searches: `Vegan', Behavior",0.028702513364523258,0.028070779480774827,0.027413382782564576,0.02565759962175563,0.029371194736900325,0.02847928287104884,0.026039364975051903,0.11415261653400238,-0.03734521067249944,0.04484556710356753,0.1481714784326802,0.10062314834381945,0.1216175684826567,0.1661134382053599,7.449336694471702e-05,0.18367419735813237,0.10215699656738148,1.010337443148362e-08,0.0006362053433464394,2.1262227790397114e-05,2.651356634385421e-10
"Searches: `Vegetarian', Behavior",0.027702989658117932,0.02709180138704447,0.026341039637599747,0.025090816069866937,0.028749948382569675,0.027798406384985642,0.025300009376568972,0.1399204786603686,-0.011228680518596178,0.038244799837285126,0.07973607847116275,0.06312072326264001,0.05843709993796676,0.11700073833865085,5.178318362215309e-07,0.6786152919750569,0.14682245996725227,0.001526335737070424,0.02834317895516469,0.03577321101304044,4.216839687407347e-06
"Searches: `Plant based', Behavior",0.029692022481230877,0.03043886997759177,0.030171347199948937,0.028689944820747878,0.028840724186749767,0.027023244880616016,0.026300138770724193,0.24826071890196977,0.0411611780709269,0.06523007122297264,0.2066537154119015,0.3638029835232339,0.4608263043170094,0.40773505746371874,1.9317855595816683e-16,0.17658123117602875,0.03084215586218987,1.1148159738281848e-12,4.3093857251328496e-34,8.194728729373183e-58,5.132221820063294e-49
