Outcome,FOK_se,Cowspiracy_se,Okja_se,WTH_se,TGC_se,YAWYE_se,All_se,FOK_pe,Cowspiracy_pe,Okja_pe,WTH_pe,TGC_pe,YAWYE_pe,All_pe,FOK_pval,Cowspiracy_pval,Okja_pval,WTH_pval,TGC_pval,YAWYE_pval,All_pval
Searches: `Plant based',0.025953885976940014,0.02548455683304515,0.025704226554361564,0.029343992461535802,0.025598450011544847,0.022896537283919462,0.02831099155447423,0.17695711528592928,0.01944088688380432,0.07399500818215711,0.20194059282424534,0.3756435264893368,0.32318172106369114,0.39736064058753345,1.5678924799521328e-11,0.4457275300454364,0.004075551088268329,1.0241201426362022e-11,2.0356387789971983e-44,1.7450548868906872e-41,4.157852227407393e-41
Searches: `Vegan',0.026623524097082827,0.025995657314448223,0.025915845134602527,0.03074170351512133,0.026374204241113766,0.025951766711332758,0.027639200222729622,0.09275580282254313,-0.01683267778989991,0.0042407897909501864,0.03825650085418911,0.07658661695038609,0.06193627911355477,0.0988508650389098,0.0005147745623601372,0.5174403592853892,0.8700490276638446,0.21361695557101246,0.003764710634968769,0.01718523401675908,0.00036429793381950287
Searches: `Vegetarian',0.02676163540445828,0.02612167345169347,0.026020633459942877,0.03080161468453852,0.026487151214688396,0.026202112917742652,0.027602931048584814,0.11879298675043254,-0.013206003409389917,0.006996850139799992,0.030358513466862875,0.06598402247133671,0.03551174778588365,0.08556430888733185,1.0014177871614826e-05,0.6132755067900522,0.7880633393678971,0.3245536326149503,0.012888640246087189,0.17561911712342493,0.0019884491573930606
StewartMilk,,0.028137603858909697,0.026988320955080324,0.033187012220049626,,,0.03331362348592264,,-0.002542252945843916,0.0031686996569529127,0.022504060966105542,,,0.009208511206150885,,0.9280878332885667,0.9066384958671505,0.4983968827303513,,,0.7824704217393648
StewartPBMilk,,0.021809391168961485,0.02192848058314557,0.023994970604257135,,,0.026901845605563163,,0.0035692130675499386,0.0073210847247559135,0.006950687735326929,,,0.012810910840751727,,0.870147822234436,0.7387906141267699,0.7723299004725411,,,0.6343695531761794
Zhao,,,0.03127523850058724,0.035628157895017366,0.032186006434271476,,0.03444311914373164,,,0.013555473922100788,0.01665518567824685,-0.01926041660120388,,0.0030267749986925274,,,0.6653327875491479,0.6408447849084851,0.5504752157132478,,0.9300860325506413
"Searches: `Vegan', Informative",0.0273566311630675,0.026790778397371175,0.02664787452827907,0.03176830796309175,0.027213432041897693,0.02667801062601404,0.02823384331223949,0.08415959184680798,-0.011519990213934015,0.012545537252612605,0.03389671897300359,0.062152526075944,0.04201150088742745,0.08970223526821094,0.002150509827825434,0.6672867075734074,0.637890710691819,0.2862225517040105,0.022580548184799303,0.11561891717736782,0.0015313327414099402
"Searches: `Vegetarian', Informative",0.027757678922901766,0.027243610310652772,0.02718037176808707,0.032009437290305136,0.027590746529941625,0.027223002604206167,0.028661044551356363,0.10301149472265089,-0.010606082670525745,0.012266547575937538,0.017879664328631705,0.05819384179238325,0.032133996716667494,0.07963067947671501,0.00021739157669783512,0.6971306895432613,0.6518670396440533,0.5765732454662431,0.03516969772374524,0.23811446863474114,0.005561851395515827
"Searches: `Plant based', Informative",0.026167704738861958,0.025812085204738384,0.026090354576349648,0.029557404447047915,0.025895414700042613,0.0235564364104595,0.028495514679080507,0.16940515263237235,0.017729414732141114,0.081256934813094,0.20899293973223843,0.3589056640001523,0.2909515484799913,0.38788078379569035,1.4754138695625377e-10,0.4923223402417163,0.0018937870259498001,2.8379966550140925e-12,3.500732848960111e-40,8.867223023520296e-33,5.994957952676591e-39
"Searches: `Vegan', Behavior",0.020801070238876333,0.020298473502179906,0.020226502201227608,0.024024313318316476,0.02061011268441612,0.019818529258245312,0.02195311415411442,0.10802592755931578,-0.015599028064970193,-0.02096255530356061,0.04740835396838116,0.0876057633098378,0.1334939881678763,0.11068632479974809,2.4887173333908536e-07,0.44237638365287946,0.30026299999320677,0.04872255068996462,2.32501745173746e-05,2.7072087805805635e-11,5.4345130098001e-07
"Searches: `Vegetarian', Behavior",0.02316959046563991,0.022374315209363036,0.021749265208346757,0.02776625599884465,0.023226652314883824,0.022292095897598695,0.02332775777810857,0.11156305515273596,-0.008201406698211173,0.002879360439015682,0.03787129195412881,0.045896437848416696,0.04350125482926137,0.07025315848874379,1.691581145682049e-06,0.7140265372596624,0.8947025571907388,0.17288657771312954,0.04841824672386969,0.05127807339777826,0.002661877762143567
"Searches: `Plant based', Behavior",0.026592537163448653,0.02600205913541833,0.026012820892696634,0.03034415225325096,0.026236183847611973,0.021504472965379967,0.028005895037900668,0.17528168615314033,0.02388102939350704,0.032609937420557955,0.11327706669351735,0.345992878153292,0.42179741272795973,0.3421978308263953,6.941707692495559e-11,0.35860943798051004,0.21026791466532138,0.00019949671328817526,8.225700381336087e-37,5.036064737493678e-73,3.540389916514826e-32
