Outcome,FOK_se,Cowspiracy_se,Okja_se,WTH_se,TGC_se,YAWYE_se,All_se,FOK_pe,Cowspiracy_pe,Okja_pe,WTH_pe,TGC_pe,YAWYE_pe,All_pe,FOK_pval,Cowspiracy_pval,Okja_pval,WTH_pval,TGC_pval,YAWYE_pval,All_pval
Searches: `Plant based',0.030098672130012778,0.029086046259262224,0.02902084669369726,0.03432334883795399,0.029324272198496423,0.028602087322667908,0.030981914819569606,0.06634576933849574,0.003922445897315975,0.05366603962411673,0.168779736484168,0.15326895360070403,0.1708348099441286,0.2157750193927655,0.027725722445557568,0.8927516112404463,0.06471215489576088,1.020553419807659e-06,2.0890499932174989e-07,3.2104842509928897e-09,5.841829638827569e-12
Searches: `Vegan',0.027227639316824623,0.02578718920644735,0.02486286780775041,0.03344442123521704,0.027281300512153668,0.025767847228932397,0.027243026573426,-0.0014973171706899615,0.0021784570322266688,0.0109122944397476,0.13447942681596434,0.08607462071062379,0.05411452725097469,0.10734387442601934,0.9561550783775998,0.9326926143715,0.6608266675924706,6.218861028911403e-05,0.0016511139889679575,0.03596528865607423,8.685282540745999e-05
Searches: `Vegetarian',0.027868135363464032,0.026869032880219676,0.02590631241421546,0.03446227915358367,0.028244662423934967,0.02704534702701844,0.0275012985317757,0.04110340100843025,0.018151885636758156,0.027081237479321413,0.0784994229011771,0.020147744288733532,0.01275143227796585,0.06938608517770185,0.14053867786464364,0.4994661155926885,0.2961054189176599,0.022940740500264404,0.4758037746213557,0.6373957107202038,0.011784073434077806
StewartMilk,,0.02979800430319912,0.029910938296637237,0.033337797591991895,,,0.0368200586515875,,0.00290342386010738,0.01612291957879285,-0.008552722341338494,,,0.012620738751041525,,0.9224658332247007,0.5903961328828257,0.7977616398531363,,,0.7320833430417328
StewartPBMilk,,0.019634558612629104,0.020178898286045164,0.025225037459239992,,,0.02607739563854657,,-0.03249152382432654,0.014317240870926722,-0.004491781993962887,,,0.010250983281715247,,0.09935047143623645,0.47873599832089697,0.8588287687987708,,,0.6946077574881342
Zhao,,,0.03336369592883914,0.036012569088913135,0.03220688847779422,,0.037809988437818354,,,-0.019804405615705043,-0.03593458120189271,0.011284291967928338,,-0.042598729931468016,,,0.5536976539660011,0.3199993520478139,0.7265634084976029,,0.26163053537349745
"Searches: `Vegan', Informative",0.026650240289222502,0.025187197796958664,0.024207934177769355,0.03287085836070363,0.02680456946012637,0.025179395755942354,0.026367005527743122,-0.01445246057386535,0.004211172272661936,0.011823455347716403,0.10982811617197254,0.07873128460556476,0.04656473234499196,0.0884728893524713,0.5877283639296096,0.8672495080868747,0.625361820782959,0.0008641590161048184,0.0033853315863842204,0.06469897194491019,0.0008211098188247868
"Searches: `Vegetarian', Informative",0.02720365668389094,0.025962856321292225,0.02507612916428774,0.03346831231755881,0.02748041240285757,0.026059462436707818,0.02674850170006638,0.0409418619273588,0.021258437467783716,0.0207788154842844,0.08226940559768113,0.01983738086414862,0.006072631054153888,0.06417444938310068,0.1326275624235181,0.41308899944590816,0.40750635596100426,0.014130245771996872,0.47053626997424003,0.8157847079166596,0.016607556850701474
"Searches: `Plant based', Informative",0.029887488862254803,0.02880740922641516,0.028517581619943607,0.034600156340973034,0.02930782978443401,0.028287065732636348,0.030675756441982352,0.07224344775644675,0.009303188553664358,0.054638421525773063,0.17353660752138675,0.16150227549381135,0.16711597086176297,0.21881161253764467,0.015814292571445315,0.7468030375095311,0.05564759454668328,6.227515440205933e-07,4.520525065340794e-08,4.708930586722811e-09,1.8398813869696977e-12
"Searches: `Vegan', Behavior",0.026895833724469364,0.025717872858238993,0.024632587268588253,0.033403954261415354,0.026966127425883283,0.025315565502891237,0.02760648203276625,0.060046709602158584,-0.007850377493716915,0.006931240859684656,0.15822459169795078,0.07308791919749648,0.06344766790245497,0.13584543590051337,0.02579212229336586,0.7602375820251132,0.7784716857532228,2.476672396551838e-06,0.006832810984096533,0.012354883130744839,1.002048060344281e-06
"Searches: `Vegetarian', Behavior",0.02591492148940351,0.02488154870807578,0.023789729145815074,0.03280536048635943,0.026681969139123178,0.024382185807917123,0.025080879753600776,0.027691224773981588,-0.0018262957153231951,0.02362939176391288,0.04392461321833982,0.012222965652475782,0.006815971036460104,0.046050857482740966,0.28552595574002304,0.9415024010313673,0.320816659538204,0.18088388882768927,0.6469785164243922,0.7798812320834162,0.0666298867361195
"Searches: `Plant based', Behavior",0.02995509839232541,0.028874389318295623,0.028850771047825893,0.03398343953410615,0.029095648442262426,0.027936757393938937,0.03051297404477314,0.0802141661645873,-0.007793661469836598,0.08098832993398915,0.18982816418735887,0.16528005167009757,0.19934862146500956,0.26909426053092583,0.007528459314012976,0.7872789497024302,0.005092655177921198,2.975113521006678e-08,1.7463586403602326e-08,1.8169800710074074e-12,4.8021320025934124e-18
