Outcome,FOK_se,Cowspiracy_se,Okja/WTH_se,TGC_se,YAWYE_se,All_se,FOK_pe,Cowspiracy_pe,Okja/WTH_pe,TGC_pe,YAWYE_pe,All_pe,FOK_pval,Cowspiracy_pval,Okja/WTH_pval,TGC_pval,YAWYE_pval,All_pval
Searches: `Plant based',0.11527335260853756,0.05305418889957645,0.06310412633843053,0.04392905207756323,0.026572462641043893,,-0.06245067918521749,-0.019506468487567555,0.6051001677679804,0.5010971532257331,0.17716504932587696,,0.5895886320026936,0.7137356947591149,3.432484189491803e-17,7.837083660514502e-23,2.055758730510531e-10,
Searches: `Vegan',0.06580575940246536,0.033398211181433095,0.05271161282591274,0.03476286314541029,0.023215917589364806,,-0.16814356570391148,0.005097918364945452,0.10444513420811219,0.01497542348698526,0.016285380349664133,,0.012640051687284664,0.8789259784289432,0.049419542732759836,0.6671587856226384,0.48374478872581184,
Searches: `Vegetarian',0.12854021353846018,0.09545976464837738,0.0893107890729634,0.07150438460179598,0.058000444415663654,,-0.2166997436986354,-0.06423664620436931,0.19554888322107,0.03217842201190425,-0.004142518382649273,,0.0959806716048607,0.5022314135952763,0.03014607395496254,0.6532592173551478,0.9431263462840888,
Beef Demand,0.07719149202946402,0.1290885356910303,0.11292521778860772,0.12075921806958191,0.09207730711030325,,-0.08747248869863994,0.27429062687407213,0.1498227566595231,0.1888195944343979,0.2210756491823232,,0.2607447373264702,0.03555418968056848,0.18666504239598242,0.11973799366056061,0.017186926689613805,
Pork Demand,0.1251746392088279,0.10496827939818075,0.10327373952569369,0.10060069893178869,0.09307357720115103,,0.018286571133898682,-0.029727708404981637,0.13066409136224472,0.13995325558984062,0.02380711455449789,,0.8842434952062117,0.7774832502760306,0.20780773009149672,0.16595864200411756,0.7983545425199908,
Chicken Demand,0.15336314085858901,0.1266926550675802,0.1258034290043907,0.10978356286483712,0.08306653009532153,,0.07073063766166296,0.2380923879308079,0.08157006319564693,0.25445823049649363,0.07423901794497752,,0.645991929080077,0.06251466526201674,0.5177492743121814,0.02162980672918987,0.3724476679368216,
StewartMilk,,0.07034867396068696,0.05562142138372815,,,,,-0.019265361346662638,-0.0381413803903667,,,,,0.787313606425373,0.4970447524378566,,,
StewartPBMilk,,0.03613854736270608,0.057975327938277234,,,,,-0.12472405250409983,-0.03688664216351738,,,,,0.002848678254567739,0.5284292408846782,,,
Zhao,,,inf,0.05184340828896669,,,,,0.10886691608738491,0.1841108559911503,,,,,,0.002659267159932956,,
"Searches: `Vegan', Informative",0.08336800769001933,0.03626975415696623,0.056666799313200275,0.0383992345206939,0.02596172411504978,,-0.15714572295815835,0.027538050859515925,0.10172907186696567,0.004029021050296434,0.00729880565014121,,0.06330849798364936,0.44911716257373946,0.07468801059866109,0.9165572568878797,0.7788682302325446,
"Searches: `Vegetarian', Informative",0.16169610110393504,0.10052810051715898,0.10068490991574199,0.08273928361817207,0.0677976182066253,,-0.10477496928100438,0.06118874990970137,0.2586408629768924,0.09978815859444674,-0.02046983944990585,,0.5189801766840738,0.5438369197066562,0.011207933918218496,0.2294429492038846,0.7629926805065463,
"Searches: `Plant based', Informative",0.12381362875614024,0.05527442867865312,0.06265826928206598,0.047562974014773676,0.026428345313580143,,-0.0836988009070912,-0.02005695151400668,0.5762693751314684,0.35958860787357577,0.1656122590217356,,0.5011158831504454,0.7173164790386195,3.4908233026013686e-16,2.25606190718289e-12,1.909149539047475e-09,
"Searches: `Vegan', Behavior",0.053208952884294385,0.0353513199220606,0.03994228228089549,0.02992787715508253,0.02012066788130643,,-0.1002167907527434,0.0063842177485603155,0.20823047412438933,0.03300916314259237,0.051330387668639586,,0.0635151987832129,0.8569768267909317,6.227737614355511e-07,0.27157773949062547,0.011413318522024013,
"Searches: `Vegetarian', Behavior",0.0796602807112793,0.06972852822563406,0.06574094820295112,0.061040682194866414,0.048358217968565195,,-0.15778074181685142,0.009723287783192518,0.07565847182893896,-0.07794751136418203,0.039286600560319754,,0.05129556775124631,0.8893212370082952,0.25167216406471676,0.2033218521639096,0.41743183395339545,
"Searches: `Plant based', Behavior",0.11305441642632334,0.06668083877512299,0.06573290373671892,0.047370778286791745,0.030035147319194534,,0.0020957266138852404,-0.01169291767444762,0.7557265047911847,0.4590811157707385,0.26468357265647946,,0.9852594276013775,0.8610810184836633,3.4630309639192025e-22,5.172164474536659e-18,3.6705573295138697e-16,
