Outcome,FOK_se,Cowspiracy_se,Okja/WTH_se,TGC_se,YAWYE_se,All_se,FOK_pe,Cowspiracy_pe,Okja/WTH_pe,TGC_pe,YAWYE_pe,All_pe,FOK_pval,Cowspiracy_pval,Okja/WTH_pval,TGC_pval,YAWYE_pval,All_pval
Searches: `Plant based',0.10271825757197987,0.053793959101952095,0.0556175229563008,0.03985216551471387,0.028663008957366686,,0.5713408679581229,0.22853715464650096,-0.18455976059023255,-0.18374605368018887,-0.10306307733706266,,3.915667855589197e-07,4.149981203984191e-05,0.0011431509397633569,7.772389855284102e-06,0.00039905367831743045,
Searches: `Vegan',0.07477282877635716,0.034947799510393986,0.054492060119764985,0.04079762371623695,0.025819556420736064,,0.23316577850720763,0.16157994144422244,0.1474670891793079,-0.025048251120233032,-0.05886421097537373,,0.002579795267869562,9.212871377680636e-06,0.007616518635503343,0.5400459597847999,0.02357188075742666,
Searches: `Vegetarian',0.13398562712608927,0.09648192011056565,0.08433322536434197,0.07042210242167093,0.062213868515904394,,0.11879220264630873,0.028394882334625133,0.04579199371903922,-0.15100755430403226,-0.0809338346018576,,0.3781262548404468,0.7690109580338573,0.5879655352559761,0.03340311763936554,0.19464845894191873,
Beef Demand,0.07330762044341259,0.12064988318774243,0.10472393726780284,0.12147913360184956,0.15394079674755842,,0.11037507517014852,-0.08694579668565466,-0.07901272856454652,-0.1559475932603093,-0.3326909767732924,,0.1363591558829406,0.4724625227959732,0.4517727743093337,0.20094977220758853,0.031767660299010916,
Pork Demand,0.11716735151224014,0.09763315292603494,0.09285350181532356,0.09678829962937895,0.1663864725522997,,-0.06698965439782639,0.09576130254191034,-0.1643742759473908,-0.30680294571539446,-0.17733311209188884,,0.5692054882704157,0.32855725461638285,0.07877197653324117,0.001804149419235237,0.2876919697454946,
Chicken Demand,0.14386433004572263,0.11826686941659155,0.11237897004332337,0.10535917409024807,0.1504694136160926,,-0.26067103129639024,-0.055488903216617286,-0.013074063920825135,-0.19096752966465613,-0.24454258771565773,,0.074001053798357,0.6397490810031199,0.90754370158982,0.0716367768763337,0.10555860156691221,
StewartMilk,,0.07781276638198158,0.05661568944498363,,,,,-0.0025993181261616018,0.011536237103534186,,,,,0.9737194399534244,0.8396252731994143,,,
StewartPBMilk,,0.02753048442909806,0.08300000022005612,,,,,-0.12309197634362298,0.11934875967910924,,,,,0.0002952284101280549,0.15863689416637092,,,
Zhao,,,inf,0.03352844389178055,,,,,0.16995265737562504,0.024943112697611347,,,,,,0.4676989647120602,,
"Searches: `Vegan', Informative",0.08767368882664774,0.036164784597335325,0.062035063891639854,0.045347618459151355,0.02859786525854915,,0.24970905732681006,0.20129590380082796,0.13442371026776895,-0.01310818115216289,-0.05582123480251279,,0.005671350816164319,1.4974556222868285e-07,0.03186455911433305,0.772881579987881,0.0522088528481152,
"Searches: `Vegetarian', Informative",0.147105703962133,0.09474951780172329,0.09614747551083531,0.07892992311344875,0.06805883139950306,,0.19268035667224992,0.14401632578366536,0.054438012759079696,-0.17596357576469726,-0.09522485744926101,,0.19425843042808055,0.1310242092318901,0.5721319528613669,0.027076831637332863,0.16316843053867672,
"Searches: `Plant based', Informative",0.11037440366826487,0.05491154174566051,0.058891738902668606,0.04877311112446585,0.02825480655307814,,0.45997602820476424,0.2283205248790072,-0.147995703022347,-0.1135161241392772,-0.09110787971322948,,8.166176098355752e-05,5.890408922071709e-05,0.013056748221747667,0.021100035855781598,0.0014529016432237485,
"Searches: `Vegan', Behavior",0.05413129992273674,0.0342510573096908,0.03880046055054683,0.03816528023416351,0.0227501620101667,,0.1752976050421305,0.019925767576483316,0.1419576373680684,-0.07614142669472951,-0.06129394557788785,,0.001791969332274752,0.5617702466837706,0.00035339342236123493,0.04760797437695345,0.0075971323381063055,
"Searches: `Vegetarian', Behavior",0.09520828046744106,0.07937845802844096,0.07699716498247257,0.07290972615355708,0.0534830798757289,,-0.04825654269371368,-0.10482215436672151,0.08263038169069067,-0.1487016133835251,-0.010887713122640329,,0.61374538228532,0.18904955150828778,0.2849692816583247,0.04291811761837017,0.8388744858004301,
"Searches: `Plant based', Behavior",0.09822779841362272,0.06316695315271455,0.061187888385229094,0.04818693972212721,0.0309283190750713,,0.8274611747066928,0.18486276330673365,-0.29981583685464164,-0.19848888383590685,-0.18012562639503,,1.8603225264512582e-12,0.004067001259618914,2.517748536045043e-06,5.883990747962436e-05,2.01059501971952e-08,
