Outcome,FOK_se,Cowspiracy_se,Okja/WTH_se,TGC_se,YAWYE_se,All_se,FOK_pe,Cowspiracy_pe,Okja/WTH_pe,TGC_pe,YAWYE_pe,All_pe,FOK_pval,Cowspiracy_pval,Okja/WTH_pval,TGC_pval,YAWYE_pval,All_pval
Searches: `Plant based',0.09803543795647447,0.043490695977344715,0.06071576580831999,0.054027924746865685,0.03617018825921317,,0.5671573157060998,0.06758784556268733,0.13262486561743234,0.11427963478562228,-0.13458104861634113,,1.506495372013472e-08,0.12068494111165633,0.029267140021769045,0.03471356844100976,0.00020923201881734756,
Searches: `Vegan',0.06105267780656886,0.04464165839253193,0.05000944661546547,0.04301722708716034,0.036888624206208,,0.066379892911025,0.16490348884682654,0.16714439498922667,0.055975458084273365,-0.10684645786527072,,0.2776074231148626,0.0002406371450113498,0.0008751919883150986,0.19354313489642258,0.0038529464879230612,
Searches: `Vegetarian',0.12043802858083309,0.07953257614215754,0.06681296846382835,0.05700571750435064,0.06284099512700206,,-0.02146492494325323,0.1746271907484795,0.13661969568956828,0.02295586744979152,-0.18341138394256984,,0.8586414363083021,0.028491495756744024,0.041247281920304274,0.6872779610904554,0.003591057762635717,
StewartMilk,,0.08183370101797012,0.07682524660874604,,,,,0.09896470163801588,-0.0012387032225901727,,,,,0.2286003169534496,0.9871498479129868,,,
StewartPBMilk,,0.09885771238115543,0.07929915268907331,,,,,-0.07760082999220523,-0.0049393243459869875,,,,,0.4338137644110357,0.9503886685534625,,,
Zhao,,,0.049056678778829,0.044462828417603295,,,,,0.003955561810976893,-0.016527088344166725,,,,,0.9364028650333103,0.7106621519837221,,
"Searches: `Vegan', Informative",0.0873493864637177,0.05657396339297489,0.061571908527521306,0.05518506287891815,0.04446626119617315,,0.05023544773725422,0.21556166356058448,0.17412560077109737,0.06133435639906433,-0.09097519764547693,,0.5655550433615064,0.0001528885326703323,0.004817802552101369,0.2667081051744559,0.041013370957772306,
"Searches: `Vegetarian', Informative",0.10174285412995455,0.07955296653362079,0.07715973045772645,0.07342368494222311,0.07125381471880102,,-0.03556395645151432,0.2661603796841667,0.20058774281025635,0.03030723426559911,-0.15409995822599343,,0.7268704611664838,0.0008711471210555503,0.00952879394248395,0.6798813772192445,0.030792125521482725,
"Searches: `Plant based', Informative",0.097040937313132,0.04145967620688026,0.05880153763862278,0.05394301601151002,0.03621120347998418,,0.47513808786569167,0.05574880826016418,0.13934342360055377,0.11229896823753713,-0.11654114540670113,,1.4427371867171967e-06,0.17923762967089338,0.018071585851191712,0.03766892589239429,0.0013290152767800867,
"Searches: `Vegan', Behavior",0.03818631529486663,0.036581699731606285,0.03645300947666254,0.035486789357432276,0.03141029977835345,,0.07280491399156731,0.023710613863980375,0.17825571063293244,0.050107457096986184,-0.12323242305000587,,0.05732428644190572,0.5171285553861997,1.2516494922731389e-06,0.158327483840566,9.306815872898132e-05,
"Searches: `Vegetarian', Behavior",0.0672799353885375,0.0590680906861938,0.06258905559351895,0.05397703289169733,0.06137382089344694,,0.05229137961980659,-0.05398041801389509,0.03956298899442867,0.001628187838314414,-0.1594565408924929,,0.43750816792760816,0.36114745404708004,0.5275232605045932,0.9759432176466613,0.009505974528193769,
"Searches: `Plant based', Behavior",0.10788155629931662,0.05759442733716045,0.07482015195462811,0.06418999332732564,0.04514303299988671,,1.1262165746296087,0.04316267694326157,0.15299293184116142,0.20181219589590338,-0.29492658303295144,,1.2823189019036667e-22,0.45389027442266583,0.04124717232698741,0.0017265291881414168,1.0057035877312261e-10,
