Outcome,FOK_se,Cowspiracy_se,Okja/WTH_se,TGC_se,YAWYE_se,All_se,FOK_pe,Cowspiracy_pe,Okja/WTH_pe,TGC_pe,YAWYE_pe,All_pe,FOK_pval,Cowspiracy_pval,Okja/WTH_pval,TGC_pval,YAWYE_pval,All_pval
Searches: `Plant based',,,,,,,,,,,,,,,,,,
Searches: `Vegan',,,,,,,,,,,,,,,,,,
Searches: `Vegetarian',,,,,,,,,,,,,,,,,,
Beef Demand,0.05428360347267642,0.05110279279249434,0.048332095410834934,0.04035105949424922,0.06704438468110259,0.04857911551450181,-0.044232999006851646,-0.035226087432953974,0.0624632369620807,0.006993123946389488,-0.038185072189100104,0.04946884196077629,0.4159727505677171,0.49129450885540205,0.19748033767055787,0.8625573699013677,0.569520690652779,0.3095623113871007
Pork Demand,0.060874373052585556,0.057956495250519435,0.055173743067712784,0.04745445591318228,0.07026302097289218,0.05538306901215319,-0.010824435674796545,-0.021373788471487326,0.08584308595254019,-0.012456514757487928,0.006392612091531899,0.07526113099487891,0.8590187542470227,0.7126119463284561,0.12106810750122732,0.7931676012713222,0.927584076079774,0.1754585033110049
Chicken Demand,0.05160444627873192,0.04852499842567428,0.045928355496291796,0.037909989519393006,0.06511850635471417,0.04615542898799389,-0.056623480422698144,-0.030898521121967223,0.027947375108252986,-0.04805668133607677,0.015787976861568014,0.007175611204578446,0.2736367872273564,0.5248965954516459,0.5434366261940422,0.20616099552302408,0.8086403536810153,0.876585537345153
StewartMilk,,,,,,,,,,,,,,,,,,
StewartPBMilk,,,,,,,,,,,,,,,,,,
Zhao,,,,,,,,,,,,,,,,,,
"Searches: `Vegan', Informative",,,,,,,,,,,,,,,,,,
"Searches: `Vegetarian', Informative",,,,,,,,,,,,,,,,,,
"Searches: `Plant based', Informative",,,,,,,,,,,,,,,,,,
"Searches: `Vegan', Behavior",,,,,,,,,,,,,,,,,,
"Searches: `Vegetarian', Behavior",,,,,,,,,,,,,,,,,,
"Searches: `Plant based', Behavior",,,,,,,,,,,,,,,,,,
